StartTime,Frames,Bytes
0,26,2724
1800,27,4482
3600,23,2406
5400,24,2544
7200,26,2724
9000,24,4164
10800,26,2724
12600,24,2544
14400,23,2406
16200,27,4490
18000,26,2740
19800,21,2240
21600,26,2740
23400,21,2240
25200,29,4678
27000,24,2560
28800,23,2420
30600,24,2560
32400,29,4678
34200,21,2240
36000,26,2740
37800,24,2560
39600,26,4358
41400,24,2560
43200,23,2420
45000,24,2560
46800,29,4678
48600,21,2240
50400,27,2830
52200,24,2560
54000,26,4358
55800,24,2560
57600,26,2740
59400,24,4178
61200,26,2740
63000,24,2560
64800,23,2420
66600,30,4696
68400,23,2420
70200,26,2692
72000,26,2740
73800,24,4178
75600,26,2740
77400,24,2560
79200,23,2420
81000,27,4498
82800,26,2740
84600,21,2240
86400,26,2740
88200,24,4178
90000,26,2740
91800,24,2560
93600,23,2420
95400,27,4498
97200,26,2740
99000,21,2240
100800,26,2740
102600,27,4498
104400,23,2420
106200,24,2560
108000,26,2740
109800,25,4244
111600,27,2806
113400,21,2240
115200,26,2740
117000,27,4498
118800,23,2420
120600,24,2560
122400,26,2740
124200,24,4178
126000,26,2740
127800,24,2560
129600,23,2420
131400,27,4498
133200,26,2740
135000,21,2240
136800,26,2740
138600,24,4178
140400,26,2740
142200,24,2560
144000,23,2420
145800,27,4498
147600,26,2740
149400,21,2240
151200,28,2872
153000,27,4498
154800,23,2420
156600,24,2560
158400,26,2740
160200,24,4178
162000,26,2740
163800,21,2240
165600,26,2740
167400,24,2560
169200,26,4358
171000,24,2560
172800,29,4678
174600,21,2240
176400,26,2740
178200,24,2560
180000,23,2420
181800,24,2560
183600,23,2420
185400,24,2560
187200,26,2740
189000,21,2240
190800,26,2740
192600,24,2560
194400,26,4358
196200,24,2560
198000,26,2740
199800,21,2240
201600,29,4678
203400,21,2240
205200,26,2740
207000,24,2560
208800,23,2420
210600,27,4498
212400,26,2740
214200,21,2240
216000,26,2740
217800,24,2560
219600,23,2420
221400,24,2560
223200,23,2420
225000,24,2560
226800,26,2740
228600,23,3542
230400,26,2756
232200,24,2576
234000,23,2434
235800,27,4514
237600,26,2756
239400,21,2254
241200,26,2756
243000,24,2576
244800,23,2434
246600,27,4514
248400,23,2434
250200,24,2576
252000,26,2756
253800,21,2254
255600,26,2756
257400,24,2576
259200,23,2434
261000,24,2576
262800,29,4694
264600,21,2254
266400,26,2756
268200,21,2254
270000,29,4694
271800,24,2576
273600,23,2434
275400,24,2576
277200,26,2756
279000,21,2254
280800,26,2756
282600,24,2576
284400,23,2434
286200,27,4514
288000,26,2756
289800,21,2254
291600,26,2756
293400,21,2254
295200,26,2756
297000,24,2576
298800,26,4372
300600,24,2576
302400,26,2756
304200,21,2254
306000,29,4694
307800,24,2576
309600,23,2434
311400,24,2576
313200,23,2434
315000,24,2576
316800,26,2756
318600,21,2254
320400,26,2756
322200,24,2576
324000,26,4372
325800,24,2576
327600,26,2756
329400,21,2254
331200,26,2756
333000,21,2254
334800,26,2756
336600,24,2576
338400,25,2566
340200,24,2576
342000,26,2756
343800,21,2254
345600,29,4694
347400,24,2576
349200,25,2566
351000,26,2708
352800,29,4694
354600,23,2386
356400,24,2576
358200,23,2434
360000,25,2642
361800,30,4760
363600,21,2254
365400,26,2756
367200,24,2576
369000,23,2434
370800,24,2576
372600,26,2756
374400,21,2254
376200,26,2756
378000,21,2254
379800,26,2756
381600,29,4646
383400,23,2434
385200,24,2576
387000,29,4694
388800,21,2254
390600,26,2756
392400,24,2576
394200,23,2434
396000,26,2708
397800,26,2756
399600,21,2254
401400,29,4694
403200,21,2254
405000,26,2756
406800,24,2576
408600,23,2434
410400,24,2576
412200,26,2756
414000,21,2254
415800,26,2756
417600,24,2576
419400,23,2434
421200,27,4514
423000,23,2434
424800,24,2576
426600,26,2756
428400,21,2254
430200,26,2756
432000,24,2576
433800,23,2434
435600,27,4514
437400,26,2756
439200,21,2254
441000,26,2756
442800,24,4192
444600,26,2756
446400,24,2576
448200,23,2434
450000,25,2642
451800,26,2756
453600,21,2254
455400,29,4694
457200,24,2576
459000,23,2434
460800,26,2708
462600,26,2756
464400,21,2254
466200,27,2822
468000,23,2386
469800,29,4694
471600,24,2576
473400,23,2434
475200,24,2576
477000,26,2756
478800,24,4192
480600,26,2756
482400,24,2576
484200,23,2434
486000,24,2576
487800,26,2756
489600,21,2254
491400,26,2756
493200,21,2254
495000,29,4694
496800,24,2576
498600,23,2434
500400,24,2576
502200,26,2756
504000,21,2254
505800,31,4826
507600,24,2576
509400,23,2434
511200,24,2576
513000,26,4372
514800,24,2576
516600,23,2434
