Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
AmazonLight (US1) ,0,60,10715,34,3415,26,7300,0,0,0,0,0,0,60,10715,34,3415,26,7300
AmazonLight (US1) ,1800,30,2424,18,1374,12,1050,0,0,0,0,0,0,30,2424,18,1374,12,1050
AmazonLight (US1) ,3600,70,15260,39,7594,31,7666,0,0,0,0,0,0,70,15260,39,7594,31,7666
AmazonLight (US1) ,5400,30,2424,18,1374,12,1050,0,0,0,0,0,0,30,2424,18,1374,12,1050
AmazonLight (US1) ,7200,58,10535,33,3325,25,7210,0,0,0,0,0,0,58,10535,33,3325,25,7210
AmazonLight (US1) ,9000,30,2424,18,1374,12,1050,0,0,0,0,0,0,30,2424,18,1374,12,1050
AmazonLight (US1) ,10800,65,13514,37,6074,28,7440,0,0,0,0,0,0,65,13514,37,6074,28,7440
AmazonLight (US1) ,12600,58,10535,33,3325,25,7210,0,0,0,0,0,0,58,10535,33,3325,25,7210
AmazonLight (US1) ,14400,30,2424,18,1374,12,1050,0,0,0,0,0,0,30,2424,18,1374,12,1050
AmazonLight (US1) ,16200,58,10535,33,3325,25,7210,0,0,0,0,0,0,58,10535,33,3325,25,7210
AmazonLight (US1) ,18000,33,4937,20,3796,13,1141,0,0,0,0,0,0,33,4937,20,3796,13,1141
AmazonLight (US1) ,19800,60,10715,34,3415,26,7300,0,0,0,0,0,0,60,10715,34,3415,26,7300
AmazonLight (US1) ,21600,30,2424,18,1374,12,1050,0,0,0,0,0,0,30,2424,18,1374,12,1050
AmazonLight (US1) ,23400,58,10535,33,3325,25,7210,0,0,0,0,0,0,58,10535,33,3325,25,7210
AmazonLight (US1) ,25200,38,5518,23,4207,15,1311,0,0,0,0,0,0,38,5518,23,4207,15,1311
AmazonLight (US1) ,27000,58,10535,33,3325,25,7210,0,0,0,0,0,0,58,10535,33,3325,25,7210
AmazonLight (US1) ,28800,30,2424,18,1374,12,1050,0,0,0,0,0,0,30,2424,18,1374,12,1050
AmazonLight (US1) ,30600,58,10535,33,3325,25,7210,0,0,0,0,0,0,58,10535,33,3325,25,7210
AmazonLight (US1) ,32400,32,4153,19,3014,13,1139,0,0,0,0,0,0,32,4153,19,3014,13,1139
AmazonLight (US1) ,34200,57,10481,32,3271,25,7210,0,0,0,0,0,0,57,10481,32,3271,25,7210
AmazonLight (US1) ,36000,30,2424,18,1374,12,1050,0,0,0,0,0,0,30,2424,18,1374,12,1050
AmazonLight (US1) ,37800,58,10535,33,3325,25,7210,0,0,0,0,0,0,58,10535,33,3325,25,7210
AmazonLight (US1) ,39600,37,5403,21,4069,16,1334,0,0,0,0,0,0,37,5403,21,4069,16,1334
AmazonLight (US1) ,41400,60,10715,34,3415,26,7300,0,0,0,0,0,0,60,10715,34,3415,26,7300
AmazonLight (US1) ,43200,30,2424,18,1374,12,1050,0,0,0,0,0,0,30,2424,18,1374,12,1050
AmazonLight (US1) ,45000,65,12596,38,5212,27,7384,0,0,0,0,0,0,65,12596,38,5212,27,7384
AmazonLight (US1) ,46800,30,2424,18,1374,12,1050,0,0,0,0,0,0,30,2424,18,1374,12,1050
AmazonLight (US1) ,48600,58,10535,33,3325,25,7210,0,0,0,0,0,0,58,10535,33,3325,25,7210
AmazonLight (US1) ,50400,30,2424,18,1374,12,1050,0,0,0,0,0,0,30,2424,18,1374,12,1050
