Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
MetaQuest2(US2) ,0,880,369238,433,278893,447,90345,0,0,0,0,0,0,880,369238,433,278893,447,90345
MetaQuest2(US2) ,1800,1040,693539,483,577999,557,115540,0,0,0,0,0,0,1040,693539,483,577999,557,115540
MetaQuest2(US2) ,3600,797,381737,397,295703,400,86034,0,0,0,0,0,0,797,381737,397,295703,400,86034
MetaQuest2(US2) ,5400,949,512964,482,414049,467,98915,0,0,0,0,0,0,949,512964,482,414049,467,98915
MetaQuest2(US2) ,7200,694,354679,340,278801,354,75878,0,0,0,0,0,0,694,354679,340,278801,354,75878
MetaQuest2(US2) ,9000,895,469438,452,372500,443,96938,0,0,0,0,0,0,895,469438,452,372500,443,96938
MetaQuest2(US2) ,10800,993,568941,491,443935,502,125006,0,0,0,0,0,0,993,568941,491,443935,502,125006
MetaQuest2(US2) ,12600,850,396019,432,305312,418,90707,0,0,0,0,0,0,850,396019,432,305312,418,90707
MetaQuest2(US2) ,14400,823,455610,410,362492,413,93118,0,0,0,0,0,0,823,455610,410,362492,413,93118
MetaQuest2(US2) ,16200,802,439317,397,357549,405,81768,0,0,0,0,0,0,802,439317,397,357549,405,81768
MetaQuest2(US2) ,18000,838,424783,417,334484,421,90299,0,0,0,0,0,0,838,424783,417,334484,421,90299
MetaQuest2(US2) ,19800,759,426008,376,344540,383,81468,0,0,0,0,0,0,759,426008,376,344540,383,81468
MetaQuest2(US2) ,21600,797,437373,396,352549,401,84824,0,0,0,0,0,0,797,437373,396,352549,401,84824
MetaQuest2(US2) ,23400,877,462929,442,373967,435,88962,0,0,0,0,0,0,877,462929,442,373967,435,88962
MetaQuest2(US2) ,25200,893,428098,454,323101,439,104997,0,0,0,0,0,0,893,428098,454,323101,439,104997
MetaQuest2(US2) ,27000,790,429017,375,341639,415,87378,0,0,0,0,0,0,790,429017,375,341639,415,87378
MetaQuest2(US2) ,28800,929,483983,464,384115,465,99868,0,0,0,0,0,0,929,483983,464,384115,465,99868
MetaQuest2(US2) ,30600,758,385087,372,312055,386,73032,0,0,0,0,0,0,758,385087,372,312055,386,73032
MetaQuest2(US2) ,32400,823,456265,401,366383,422,89882,0,0,0,0,0,0,823,456265,401,366383,422,89882
MetaQuest2(US2) ,34200,821,423120,409,338667,412,84453,0,0,0,0,0,0,821,423120,409,338667,412,84453
MetaQuest2(US2) ,36000,815,466049,401,377202,414,88847,0,0,0,0,0,0,815,466049,401,377202,414,88847
MetaQuest2(US2) ,37800,751,404469,374,330734,377,73735,0,0,0,0,0,0,751,404469,374,330734,377,73735
MetaQuest2(US2) ,39600,738,319680,374,236400,364,83280,0,0,0,0,0,0,738,319680,374,236400,364,83280
MetaQuest2(US2) ,41400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,43200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,46800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,48600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,50400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,52200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,55800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,57600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,59400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,61200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,64800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,66600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,68400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,70200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,72000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,73800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,75600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,77400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,79200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,82800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,84600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,86400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,91800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,93600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,95400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,97200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,99000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,100800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,102600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,104400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,106200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,109800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,111600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,113400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,115200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,118800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,120600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,122400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,124200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,126000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,127800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,129600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,131400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,133200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,136800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,138600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,140400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,142200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,145800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,147600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,149400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,151200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,153000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,154800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,156600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,158400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,160200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,162000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,163800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,165600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,167400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,169200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,171000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,172800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,174600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,176400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,178200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,181800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,183600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,185400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,187200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,189000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,190800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,192600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,194400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,196200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,199800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,201600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,203400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,205200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,207000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,208800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,210600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,212400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,214200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,217800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,219600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,221400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,223200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,225000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,226800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,228600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,230400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,232200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,234000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,235800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,237600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,239400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,241200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,244800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,246600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,248400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,250200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,252000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,253800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,255600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,257400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaQuest2(US2) ,259200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
