Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
Roborock(US2) ,0,1623,373859,1059,217660,564,156199,349,42229,349,42229,0,0,1274,331630,710,175431,564,156199
Roborock(US2) ,1800,542,62342,482,56162,60,6180,362,43802,362,43802,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,3600,547,62892,486,56646,61,6246,366,44286,366,44286,0,0,181,18606,120,12360,61,6246
Roborock(US2) ,5400,543,62408,482,56162,61,6246,362,43802,362,43802,0,0,181,18606,120,12360,61,6246
Roborock(US2) ,7200,542,62342,482,56162,60,6180,362,43802,362,43802,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,9000,544,62529,483,56283,61,6246,363,43923,363,43923,0,0,181,18606,120,12360,61,6246
Roborock(US2) ,10800,544,62584,484,56404,60,6180,364,44044,364,44044,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,12600,542,62342,482,56162,60,6180,362,43802,362,43802,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,14400,543,62463,483,56283,60,6180,363,43923,363,43923,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,16200,541,62178,480,55920,61,6258,360,43560,360,43560,0,0,181,18618,120,12360,61,6258
Roborock(US2) ,18000,545,62650,484,56404,61,6246,364,44044,364,44044,0,0,181,18606,120,12360,61,6246
Roborock(US2) ,19800,546,62826,486,56646,60,6180,366,44286,366,44286,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,21600,543,62463,483,56283,60,6180,363,43923,363,43923,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,23400,649,76758,576,69081,73,7677,445,53845,445,53845,0,0,204,22913,131,15236,73,7677
Roborock(US2) ,25200,715,93203,622,77634,93,15569,446,53966,446,53966,0,0,269,39237,176,23668,93,15569
Roborock(US2) ,27000,616,80293,530,65702,86,14591,362,43802,362,43802,0,0,254,36491,168,21900,86,14591
Roborock(US2) ,28800,552,64400,487,57779,65,6621,361,43681,361,43681,0,0,191,20719,126,14098,65,6621
Roborock(US2) ,30600,548,63970,484,57452,64,6518,360,43560,360,43560,0,0,188,20410,124,13892,64,6518
Roborock(US2) ,32400,544,62866,483,56583,61,6283,361,43681,361,43681,0,0,183,19185,122,12902,61,6283
Roborock(US2) ,34200,544,62584,484,56404,60,6180,364,44044,364,44044,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,36000,540,62100,480,55920,60,6180,360,43560,360,43560,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,37800,545,62662,484,56404,61,6258,364,44044,364,44044,0,0,181,18618,120,12360,61,6258
Roborock(US2) ,39600,544,62529,483,56283,61,6246,363,43923,363,43923,0,0,181,18606,120,12360,61,6246
Roborock(US2) ,41400,541,62221,481,56041,60,6180,361,43681,361,43681,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,43200,541,62221,481,56041,60,6180,361,43681,361,43681,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,45000,541,62221,481,56041,60,6180,361,43681,361,43681,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,46800,542,62342,482,56162,60,6180,362,43802,362,43802,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,48600,540,62100,480,55920,60,6180,360,43560,360,43560,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,50400,542,62342,482,56162,60,6180,362,43802,362,43802,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,52200,538,61912,479,55835,59,6077,361,43681,361,43681,0,0,177,18231,118,12154,59,6077
Roborock(US2) ,54000,543,62463,483,56283,60,6180,363,43923,363,43923,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,55800,542,62287,481,56041,61,6246,361,43681,361,43681,0,0,181,18606,120,12360,61,6246
Roborock(US2) ,57600,540,62100,480,55920,60,6180,360,43560,360,43560,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,59400,542,62342,482,56162,60,6180,362,43802,362,43802,0,0,180,18540,120,12360,60,6180
Roborock(US2) ,61200,544,62584,484,56404,60,6180,364,44044,364,44044,0,0,180,18540,120,12360,60,6180
