Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
DreamGlassAir (US1-Active),0,82,7140,52,4499,30,2641
DreamGlassAir (US1-Active),3600,77,6767,49,4283,28,2484
DreamGlassAir (US1-Active),7200,79,6954,51,4445,28,2509
DreamGlassAir (US1-Active),10800,77,6767,49,4283,28,2484
DreamGlassAir (US1-Active),14400,79,6954,51,4445,28,2509
DreamGlassAir (US1-Active),18000,76,6701,49,4283,27,2418
DreamGlassAir (US1-Active),21600,79,6954,51,4445,28,2509
DreamGlassAir (US1-Active),25200,128,13508,79,8045,49,5463
DreamGlassAir (US1-Active),28800,80,7020,51,4445,29,2575
DreamGlassAir (US1-Active),32400,78,6833,49,4283,29,2550
DreamGlassAir (US1-Active),36000,80,7020,51,4445,29,2575
DreamGlassAir (US1-Active),39600,92,8827,59,5319,33,3508
DreamGlassAir (US1-Active),43200,96,9136,61,5481,35,3655
DreamGlassAir (US1-Active),46800,76,6701,49,4283,27,2418
DreamGlassAir (US1-Active),50400,80,7020,51,4445,29,2575
DreamGlassAir (US1-Active),54000,96,9136,60,5392,36,3744
DreamGlassAir (US1-Active),57600,76,6694,49,4276,27,2418
DreamGlassAir (US1-Active),61200,81,7079,51,4438,30,2641
DreamGlassAir (US1-Active),64800,129,14838,78,8162,51,6676
DreamGlassAir (US1-Active),68400,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),72000,76,6694,49,4276,27,2418
DreamGlassAir (US1-Active),75600,80,7013,51,4438,29,2575
DreamGlassAir (US1-Active),79200,79,6892,49,4276,30,2616
DreamGlassAir (US1-Active),82800,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),86400,76,6706,50,4330,26,2376
DreamGlassAir (US1-Active),90000,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),93600,77,6760,49,4276,28,2484
DreamGlassAir (US1-Active),97200,80,7013,51,4438,29,2575
DreamGlassAir (US1-Active),100800,77,6760,49,4276,28,2484
DreamGlassAir (US1-Active),104400,131,13747,80,8146,51,5601
DreamGlassAir (US1-Active),108000,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),111600,76,6694,49,4276,27,2418
DreamGlassAir (US1-Active),115200,80,7013,51,4438,29,2575
DreamGlassAir (US1-Active),118800,76,6694,49,4276,27,2418
DreamGlassAir (US1-Active),122400,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),126000,76,6694,49,4276,27,2418
DreamGlassAir (US1-Active),129600,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),133200,79,6892,49,4276,30,2616
DreamGlassAir (US1-Active),136800,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),140400,76,6694,49,4276,27,2418
DreamGlassAir (US1-Active),144000,131,14858,80,8145,51,6713
DreamGlassAir (US1-Active),147600,97,9201,61,5458,36,3743
DreamGlassAir (US1-Active),151200,80,7013,51,4438,29,2575
DreamGlassAir (US1-Active),154800,78,6826,49,4276,29,2550
DreamGlassAir (US1-Active),158400,81,7079,51,4438,30,2641
DreamGlassAir (US1-Active),162000,78,6826,49,4276,29,2550
DreamGlassAir (US1-Active),165600,81,7079,51,4438,30,2641
DreamGlassAir (US1-Active),169200,77,6760,49,4276,28,2484
DreamGlassAir (US1-Active),172800,81,7079,51,4438,30,2641
DreamGlassAir (US1-Active),176400,76,6694,49,4276,27,2418
DreamGlassAir (US1-Active),180000,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),183600,129,13549,79,8038,50,5511
DreamGlassAir (US1-Active),187200,80,7001,52,4492,28,2509
DreamGlassAir (US1-Active),190800,76,6694,49,4276,27,2418
DreamGlassAir (US1-Active),194400,80,7013,51,4438,29,2575
DreamGlassAir (US1-Active),198000,77,6760,49,4276,28,2484
DreamGlassAir (US1-Active),201600,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),205200,77,6760,49,4276,28,2484
DreamGlassAir (US1-Active),208800,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),212400,76,6694,49,4276,27,2418
DreamGlassAir (US1-Active),216000,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),219600,96,9145,60,5392,36,3753
DreamGlassAir (US1-Active),223200,128,14607,78,7983,50,6624
DreamGlassAir (US1-Active),226800,79,6947,51,4438,28,2509
DreamGlassAir (US1-Active),230400,76,6694,49,4276,27,2418
DreamGlassAir (US1-Active),234000,80,7013,51,4438,29,2575
DreamGlassAir (US1-Active),237600,76,6694,49,4276,27,2418
