Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
GoogleNestMini (US1-Active),0,358,54772,358,54772,0,0
GoogleNestMini (US1-Active),3600,343,52757,343,52757,0,0
GoogleNestMini (US1-Active),7200,357,54853,357,54853,0,0
GoogleNestMini (US1-Active),10800,353,53803,353,53803,0,0
GoogleNestMini (US1-Active),14400,346,53173,346,53173,0,0
GoogleNestMini (US1-Active),18000,347,53402,347,53402,0,0
GoogleNestMini (US1-Active),21600,354,54289,354,54289,0,0
GoogleNestMini (US1-Active),25200,385,61172,385,61172,0,0
GoogleNestMini (US1-Active),28800,367,56147,367,56147,0,0
GoogleNestMini (US1-Active),32400,350,53929,350,53929,0,0
GoogleNestMini (US1-Active),36000,361,55440,361,55440,0,0
GoogleNestMini (US1-Active),39600,345,52906,345,52906,0,0
GoogleNestMini (US1-Active),43200,357,54527,357,54527,0,0
GoogleNestMini (US1-Active),46800,335,51185,335,51185,0,0
GoogleNestMini (US1-Active),50400,346,53125,346,53125,0,0
GoogleNestMini (US1-Active),54000,345,52720,345,52720,0,0
GoogleNestMini (US1-Active),57600,344,52894,344,52894,0,0
GoogleNestMini (US1-Active),61200,363,55302,363,55302,0,0
GoogleNestMini (US1-Active),64800,339,51912,339,51912,0,0
GoogleNestMini (US1-Active),68400,380,60409,380,60409,0,0
GoogleNestMini (US1-Active),72000,348,53143,348,53143,0,0
GoogleNestMini (US1-Active),75600,344,53060,344,53060,0,0
GoogleNestMini (US1-Active),79200,350,54131,350,54131,0,0
GoogleNestMini (US1-Active),82800,346,53469,346,53469,0,0
GoogleNestMini (US1-Active),86400,342,52612,342,52612,0,0
GoogleNestMini (US1-Active),90000,348,53631,348,53631,0,0
GoogleNestMini (US1-Active),93600,356,54861,356,54861,0,0
GoogleNestMini (US1-Active),97200,358,54687,358,54687,0,0
GoogleNestMini (US1-Active),100800,341,52156,341,52156,0,0
GoogleNestMini (US1-Active),104400,355,54440,355,54440,0,0
GoogleNestMini (US1-Active),108000,395,62948,395,62948,0,0
GoogleNestMini (US1-Active),111600,361,55205,361,55205,0,0
GoogleNestMini (US1-Active),115200,352,54075,352,54075,0,0
GoogleNestMini (US1-Active),118800,348,53378,348,53378,0,0
GoogleNestMini (US1-Active),122400,348,53271,348,53271,0,0
GoogleNestMini (US1-Active),126000,359,55144,359,55144,0,0
GoogleNestMini (US1-Active),129600,358,55123,358,55123,0,0
GoogleNestMini (US1-Active),133200,352,54384,352,54384,0,0
GoogleNestMini (US1-Active),136800,355,54379,355,54379,0,0
GoogleNestMini (US1-Active),140400,352,53870,352,53870,0,0
GoogleNestMini (US1-Active),144000,346,53114,346,53114,0,0
GoogleNestMini (US1-Active),147600,345,53162,345,53162,0,0
GoogleNestMini (US1-Active),151200,386,61275,386,61275,0,0
GoogleNestMini (US1-Active),154800,370,56221,370,56221,0,0
GoogleNestMini (US1-Active),158400,356,54698,356,54698,0,0
GoogleNestMini (US1-Active),162000,360,55295,360,55295,0,0
GoogleNestMini (US1-Active),165600,340,52298,340,52298,0,0
GoogleNestMini (US1-Active),169200,355,54473,355,54473,0,0
GoogleNestMini (US1-Active),172800,341,52552,341,52552,0,0
GoogleNestMini (US1-Active),176400,334,51340,334,51340,0,0
GoogleNestMini (US1-Active),180000,348,53247,348,53247,0,0
GoogleNestMini (US1-Active),183600,359,55258,359,55258,0,0
GoogleNestMini (US1-Active),187200,373,56970,373,56970,0,0
GoogleNestMini (US1-Active),190800,351,53989,351,53989,0,0
GoogleNestMini (US1-Active),194400,392,64566,392,64566,0,0
GoogleNestMini (US1-Active),198000,367,55867,367,55867,0,0
GoogleNestMini (US1-Active),201600,353,53897,353,53897,0,0
GoogleNestMini (US1-Active),205200,340,52530,340,52530,0,0
GoogleNestMini (US1-Active),208800,350,53770,350,53770,0,0
GoogleNestMini (US1-Active),212400,350,53813,350,53813,0,0
GoogleNestMini (US1-Active),216000,342,52320,342,52320,0,0
GoogleNestMini (US1-Active),219600,349,53498,349,53498,0,0
GoogleNestMini (US1-Active),223200,364,55639,364,55639,0,0
GoogleNestMini (US1-Active),226800,363,55234,363,55234,0,0
GoogleNestMini (US1-Active),230400,337,51883,337,51883,0,0
GoogleNestMini (US1-Active),234000,364,55695,364,55695,0,0
GoogleNestMini (US1-Active),237600,378,60163,378,60163,0,0
