Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
TPLink (US1-Active),0,50,5268,33,3210,17,2058
TPLink (US1-Active),3600,47,4960,31,3020,16,1940
TPLink (US1-Active),7200,49,5112,31,3030,18,2082
TPLink (US1-Active),10800,50,5300,33,3226,17,2074
TPLink (US1-Active),14400,48,5046,31,3030,17,2016
TPLink (US1-Active),18000,48,5046,31,3030,17,2016
TPLink (US1-Active),21600,50,5300,33,3226,17,2074
TPLink (US1-Active),25200,47,4980,31,3030,16,1950
TPLink (US1-Active),28800,47,4980,31,3030,16,1950
TPLink (US1-Active),32400,49,5112,31,3030,18,2082
TPLink (US1-Active),36000,50,5300,33,3226,17,2074
TPLink (US1-Active),39600,62,10606,41,4767,21,5839
TPLink (US1-Active),43200,61,10540,41,4767,20,5773
TPLink (US1-Active),46800,50,5300,33,3226,17,2074
TPLink (US1-Active),50400,47,4980,31,3030,16,1950
TPLink (US1-Active),54000,47,4980,31,3030,16,1950
TPLink (US1-Active),57600,47,4980,31,3030,16,1950
TPLink (US1-Active),61200,52,5432,33,3226,19,2206
TPLink (US1-Active),64800,49,5112,31,3030,18,2082
TPLink (US1-Active),68400,47,4980,31,3030,16,1950
TPLink (US1-Active),72000,50,5300,33,3226,17,2074
TPLink (US1-Active),75600,49,5112,31,3030,18,2082
TPLink (US1-Active),79200,49,5112,31,3030,18,2082
TPLink (US1-Active),82800,47,4980,31,3030,16,1950
TPLink (US1-Active),86400,52,5432,33,3226,19,2206
TPLink (US1-Active),90000,47,4980,31,3030,16,1950
TPLink (US1-Active),93600,47,4980,31,3030,16,1950
TPLink (US1-Active),97200,54,5564,33,3226,21,2338
TPLink (US1-Active),100800,47,4980,31,3030,16,1950
TPLink (US1-Active),104400,49,5112,31,3030,18,2082
TPLink (US1-Active),108000,51,5244,31,3030,20,2214
TPLink (US1-Active),111600,50,5300,33,3226,17,2074
TPLink (US1-Active),115200,49,5112,31,3030,18,2082
TPLink (US1-Active),118800,47,4980,31,3030,16,1950
TPLink (US1-Active),122400,50,5300,33,3226,17,2074
TPLink (US1-Active),126000,47,4980,31,3030,16,1950
TPLink (US1-Active),129600,47,4980,31,3030,16,1950
TPLink (US1-Active),133200,47,4980,31,3030,16,1950
TPLink (US1-Active),136800,52,5432,33,3226,19,2206
TPLink (US1-Active),140400,49,5112,31,3030,18,2082
TPLink (US1-Active),144000,47,4980,31,3030,16,1950
TPLink (US1-Active),147600,50,5300,33,3226,17,2074
TPLink (US1-Active),151200,47,4980,31,3030,16,1950
TPLink (US1-Active),154800,47,4980,31,3030,16,1950
TPLink (US1-Active),158400,47,4980,31,3030,16,1950
TPLink (US1-Active),162000,50,5300,33,3226,17,2074
TPLink (US1-Active),165600,48,5046,31,3030,17,2016
TPLink (US1-Active),169200,48,5046,31,3030,17,2016
TPLink (US1-Active),172800,50,5300,33,3226,17,2074
TPLink (US1-Active),176400,49,5112,31,3030,18,2082
TPLink (US1-Active),180000,47,4980,31,3030,16,1950
TPLink (US1-Active),183600,47,4980,31,3030,16,1950
TPLink (US1-Active),187200,50,5300,33,3226,17,2074
TPLink (US1-Active),190800,47,4980,31,3030,16,1950
TPLink (US1-Active),194400,47,4980,31,3030,16,1950
TPLink (US1-Active),198000,50,5300,33,3226,17,2074
TPLink (US1-Active),201600,50,5250,34,3300,16,1950
TPLink (US1-Active),205200,47,4980,31,3030,16,1950
TPLink (US1-Active),208800,47,4980,31,3030,16,1950
TPLink (US1-Active),212400,50,5300,33,3226,17,2074
TPLink (US1-Active),216000,47,4998,31,3039,16,1959
TPLink (US1-Active),219600,47,5010,31,3045,16,1965
TPLink (US1-Active),223200,50,5332,33,3242,17,2090
TPLink (US1-Active),226800,47,5010,31,3045,16,1965
TPLink (US1-Active),230400,49,5142,31,3045,18,2097
TPLink (US1-Active),234000,47,5010,31,3045,16,1965
TPLink (US1-Active),237600,49,5142,31,3045,18,2097
