Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Govee (US1-H),0,184,18012,120,10518,64,7494
Govee (US1-H),3600,203,20379,130,11659,73,8720
Govee (US1-H),7200,178,17550,118,10341,60,7209
Govee (US1-H),10800,176,17442,117,10287,59,7155
Govee (US1-H),14400,178,17550,118,10341,60,7209
Govee (US1-H),18000,200,20217,130,11659,70,8558
Govee (US1-H),21600,178,17550,117,10287,61,7263
Govee (US1-H),25200,181,17850,120,10518,61,7332
Govee (US1-H),28800,175,17388,117,10287,58,7101
Govee (US1-H),32400,202,20325,130,11659,72,8666
Govee (US1-H),36000,183,17820,118,10341,65,7479
Govee (US1-H),39600,175,17388,117,10287,58,7101
Govee (US1-H),43200,183,17820,118,10341,65,7479
Govee (US1-H),46800,202,20325,129,11605,73,8720
Govee (US1-H),50400,181,17850,120,10518,61,7332
Govee (US1-H),54000,179,17604,118,10341,61,7263
Govee (US1-H),57600,176,17442,117,10287,59,7155
Govee (US1-H),61200,199,20164,130,11659,69,8505
Govee (US1-H),64800,178,17550,117,10287,61,7263
Govee (US1-H),68400,183,17820,118,10341,65,7479
Govee (US1-H),72000,180,17658,118,10341,62,7317
Govee (US1-H),75600,203,20517,131,11782,72,8735
Govee (US1-H),79200,178,17550,118,10341,60,7209
Govee (US1-H),82800,179,17604,117,10287,62,7317
Govee (US1-H),86400,178,17550,118,10341,60,7209
Govee (US1-H),90000,202,20325,130,11659,72,8666
Govee (US1-H),93600,176,17442,117,10287,59,7155
Govee (US1-H),97200,177,17496,118,10341,59,7155
Govee (US1-H),100800,178,17688,119,10464,59,7224
Govee (US1-H),104400,200,20217,130,11659,70,8558
Govee (US1-H),108000,179,17604,118,10341,61,7263
Govee (US1-H),111600,180,17730,118,10377,62,7353
Govee (US1-H),115200,176,17442,118,10341,58,7101
Govee (US1-H),118800,201,20271,129,11605,72,8666
Govee (US1-H),122400,182,17766,118,10341,64,7425
Govee (US1-H),126000,183,17958,120,10518,63,7440
Govee (US1-H),129600,179,17604,117,10287,62,7317
Govee (US1-H),133200,203,20379,130,11659,73,8720
Govee (US1-H),136800,176,17442,117,10287,59,7155
Govee (US1-H),140400,176,17442,118,10341,58,7101
Govee (US1-H),144000,178,17550,118,10341,60,7209
Govee (US1-H),147600,211,20811,130,11659,81,9152
Govee (US1-H),151200,183,17958,120,10518,63,7440
Govee (US1-H),154800,184,17874,117,10287,67,7587
Govee (US1-H),158400,183,17820,118,10341,65,7479
Govee (US1-H),162000,206,20541,131,11713,75,8828
Govee (US1-H),165600,182,17766,117,10287,65,7479
Govee (US1-H),169200,180,17658,118,10341,62,7317
Govee (US1-H),172800,178,17622,118,10377,60,7245
Govee (US1-H),176400,202,20463,132,11836,70,8627
Govee (US1-H),180000,180,17730,119,10431,61,7299
Govee (US1-H),183600,180,17730,118,10377,62,7353
Govee (US1-H),187200,176,17442,118,10341,58,7101
Govee (US1-H),190800,198,20109,129,11605,69,8504
Govee (US1-H),194400,177,17496,118,10341,59,7155
Govee (US1-H),198000,179,17604,118,10341,61,7263
Govee (US1-H),201600,178,17688,119,10464,59,7224
Govee (US1-H),205200,199,20163,130,11659,69,8504
Govee (US1-H),208800,175,17388,117,10287,58,7101
Govee (US1-H),212400,177,17496,118,10341,59,7155
Govee (US1-H),216000,178,17550,118,10341,60,7209
Govee (US1-H),219600,204,20433,129,11605,75,8828
Govee (US1-H),223200,181,17712,118,10341,63,7371
Govee (US1-H),226800,177,17496,117,10287,60,7209
Govee (US1-H),230400,179,17742,120,10518,59,7224
Govee (US1-H),234000,202,20325,131,11713,71,8612
Govee (US1-H),237600,176,17442,117,10287,59,7155
Govee (US1-H),241200,177,17496,118,10341,59,7155
Govee (US1-H),244800,180,17658,117,10287,63,7371
Govee (US1-H),248400,202,20325,130,11659,72,8666
Govee (US1-H),252000,178,17550,117,10287,61,7263
Govee (US1-H),255600,179,17742,120,10518,59,7224
Govee (US1-H),259200,178,17550,118,10341,60,7209
Govee (US1-H),262800,199,20163,129,11605,70,8558
Govee (US1-H),266400,177,17496,118,10341,59,7155
Govee (US1-H),270000,179,17604,117,10287,62,7317
Govee (US1-H),273600,176,17442,118,10341,58,7101
Govee (US1-H),277200,200,20217,131,11713,69,8504
Govee (US1-H),280800,181,17922,120,10554,61,7368
Govee (US1-H),284400,178,17550,118,10341,60,7209
Govee (US1-H),288000,176,17442,117,10287,59,7155
Govee (US1-H),291600,203,20379,130,11659,73,8720
Govee (US1-H),295200,176,17442,118,10341,58,7101
Govee (US1-H),298800,176,17442,117,10287,59,7155
Govee (US1-H),302400,179,17604,118,10341,61,7263
Govee (US1-H),306000,203,20553,132,11872,71,8681
Govee (US1-H),309600,178,17550,118,10341,60,7209
Govee (US1-H),313200,177,17496,118,10341,59,7155
Govee (US1-H),316800,176,17442,117,10287,59,7155
Govee (US1-H),320400,202,20325,130,11659,72,8666
Govee (US1-H),324000,178,17550,117,10287,61,7263
Govee (US1-H),327600,181,17712,118,10341,63,7371
Govee (US1-H),331200,182,17904,120,10518,62,7386
Govee (US1-H),334800,208,20649,130,11659,78,8990
Govee (US1-H),338400,177,17496,118,10341,59,7155
Govee (US1-H),342000,180,17658,117,10287,63,7371
Govee (US1-H),345600,183,17820,118,10341,65,7479
Govee (US1-H),349200,202,20325,130,11659,72,8666
Govee (US1-H),352800,176,17442,117,10287,59,7155
Govee (US1-H),356400,179,17742,120,10518,59,7224
Govee (US1-H),360000,175,17388,117,10287,58,7101
Govee (US1-H),363600,202,20325,130,11659,72,8666
Govee (US1-H),367200,176,17442,118,10341,58,7101
Govee (US1-H),370800,177,17496,117,10287,60,7209
Govee (US1-H),374400,177,17496,118,10341,59,7155
Govee (US1-H),378000,201,20272,130,11659,71,8613
Govee (US1-H),381600,179,17742,120,10518,59,7224
Govee (US1-H),385200,177,17496,118,10341,59,7155
Govee (US1-H),388800,176,17442,117,10287,59,7155
Govee (US1-H),392400,202,20325,130,11659,72,8666
Govee (US1-H),396000,179,17604,117,10287,62,7317
Govee (US1-H),399600,179,17604,118,10341,61,7263
Govee (US1-H),403200,176,17442,118,10341,58,7101
Govee (US1-H),406800,199,20163,129,11605,70,8558
Govee (US1-H),410400,180,17796,120,10518,60,7278
Govee (US1-H),414000,186,17982,117,10287,69,7695
