Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Litokam (US1-H),0,720,188640,720,188640,0,0
Litokam (US1-H),3600,719,188378,719,188378,0,0
Litokam (US1-H),7200,720,188640,720,188640,0,0
Litokam (US1-H),10800,719,188378,719,188378,0,0
Litokam (US1-H),14400,720,188640,720,188640,0,0
Litokam (US1-H),18000,719,188378,719,188378,0,0
Litokam (US1-H),21600,719,188378,719,188378,0,0
Litokam (US1-H),25200,720,188640,720,188640,0,0
Litokam (US1-H),28800,719,188378,719,188378,0,0
Litokam (US1-H),32400,720,188640,720,188640,0,0
Litokam (US1-H),36000,719,188378,719,188378,0,0
Litokam (US1-H),39600,720,188640,720,188640,0,0
Litokam (US1-H),43200,719,188378,719,188378,0,0
Litokam (US1-H),46800,720,188640,720,188640,0,0
Litokam (US1-H),50400,719,188378,719,188378,0,0
Litokam (US1-H),54000,719,188378,719,188378,0,0
Litokam (US1-H),57600,720,188640,720,188640,0,0
Litokam (US1-H),61200,719,188378,719,188378,0,0
Litokam (US1-H),64800,720,188640,720,188640,0,0
Litokam (US1-H),68400,719,188378,719,188378,0,0
Litokam (US1-H),72000,720,188640,720,188640,0,0
Litokam (US1-H),75600,719,188378,719,188378,0,0
Litokam (US1-H),79200,720,188640,720,188640,0,0
Litokam (US1-H),82800,719,188378,719,188378,0,0
Litokam (US1-H),86400,719,188378,719,188378,0,0
Litokam (US1-H),90000,720,188640,720,188640,0,0
Litokam (US1-H),93600,719,188378,719,188378,0,0
Litokam (US1-H),97200,720,188640,720,188640,0,0
Litokam (US1-H),100800,719,188378,719,188378,0,0
Litokam (US1-H),104400,720,188640,720,188640,0,0
Litokam (US1-H),108000,719,188378,719,188378,0,0
Litokam (US1-H),111600,719,188378,719,188378,0,0
Litokam (US1-H),115200,720,188640,720,188640,0,0
Litokam (US1-H),118800,719,188378,719,188378,0,0
Litokam (US1-H),122400,720,188640,720,188640,0,0
Litokam (US1-H),126000,719,188378,719,188378,0,0
Litokam (US1-H),129600,720,188640,720,188640,0,0
Litokam (US1-H),133200,719,188378,719,188378,0,0
Litokam (US1-H),136800,720,188640,720,188640,0,0
Litokam (US1-H),140400,719,188378,719,188378,0,0
Litokam (US1-H),144000,720,188640,720,188640,0,0
Litokam (US1-H),147600,719,188378,719,188378,0,0
Litokam (US1-H),151200,719,188378,719,188378,0,0
Litokam (US1-H),154800,720,188640,720,188640,0,0
Litokam (US1-H),158400,719,188378,719,188378,0,0
