Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
TPLink (US1-1),0,54,5628,37,3570,17,2058
TPLink (US1-1),3600,47,4950,31,3015,16,1935
TPLink (US1-1),7200,47,4950,31,3015,16,1935
TPLink (US1-1),10800,50,5268,33,3210,17,2058
TPLink (US1-1),14400,47,4980,31,3030,16,1950
TPLink (US1-1),18000,47,4980,31,3030,16,1950
TPLink (US1-1),21600,50,5250,34,3300,16,1950
TPLink (US1-1),25200,50,5300,33,3226,17,2074
TPLink (US1-1),28800,47,4980,31,3030,16,1950
TPLink (US1-1),32400,47,4980,31,3030,16,1950
TPLink (US1-1),36000,50,5300,33,3226,17,2074
TPLink (US1-1),39600,48,5046,31,3030,17,2016
TPLink (US1-1),43200,50,5178,31,3030,19,2148
TPLink (US1-1),46800,47,4980,31,3030,16,1950
TPLink (US1-1),50400,50,5300,33,3226,17,2074
TPLink (US1-1),54000,47,4980,31,3030,16,1950
TPLink (US1-1),57600,47,4980,31,3030,16,1950
TPLink (US1-1),61200,50,5300,33,3226,17,2074
TPLink (US1-1),64800,47,4980,31,3030,16,1950
TPLink (US1-1),68400,47,4980,31,3030,16,1950
TPLink (US1-1),72000,47,4980,31,3030,16,1950
TPLink (US1-1),75600,50,5300,33,3226,17,2074
TPLink (US1-1),79200,47,4980,31,3030,16,1950
TPLink (US1-1),82800,47,4980,31,3030,16,1950
TPLink (US1-1),86400,50,5300,33,3226,17,2074
TPLink (US1-1),90000,49,5112,31,3030,18,2082
TPLink (US1-1),93600,47,4980,31,3030,16,1950
TPLink (US1-1),97200,49,5112,31,3030,18,2082
TPLink (US1-1),100800,52,5432,33,3226,19,2206
TPLink (US1-1),104400,47,4980,31,3030,16,1950
TPLink (US1-1),108000,47,4980,31,3030,16,1950
TPLink (US1-1),111600,47,4980,31,3030,16,1950
TPLink (US1-1),115200,50,5300,33,3226,17,2074
TPLink (US1-1),118800,47,4980,31,3030,16,1950
TPLink (US1-1),122400,47,4980,31,3030,16,1950
TPLink (US1-1),126000,50,5300,33,3226,17,2074
TPLink (US1-1),129600,47,4980,31,3030,16,1950
TPLink (US1-1),133200,47,4980,31,3030,16,1950
TPLink (US1-1),136800,47,4980,31,3030,16,1950
TPLink (US1-1),140400,50,5300,33,3226,17,2074
TPLink (US1-1),144000,47,4980,31,3030,16,1950
TPLink (US1-1),147600,47,4980,31,3030,16,1950
TPLink (US1-1),151200,50,5300,33,3226,17,2074
TPLink (US1-1),154800,47,4980,31,3030,16,1950
TPLink (US1-1),158400,47,4980,31,3030,16,1950
TPLink (US1-1),162000,47,4980,31,3030,16,1950
TPLink (US1-1),165600,50,5300,33,3226,17,2074
TPLink (US1-1),169200,47,4980,31,3030,16,1950
TPLink (US1-1),172800,47,4980,31,3030,16,1950
TPLink (US1-1),176400,50,5300,33,3226,17,2074
TPLink (US1-1),180000,47,4980,31,3030,16,1950
TPLink (US1-1),183600,47,4980,31,3030,16,1950
TPLink (US1-1),187200,49,5112,31,3030,18,2082
TPLink (US1-1),190800,52,5432,33,3226,19,2206
TPLink (US1-1),194400,47,4980,31,3030,16,1950
TPLink (US1-1),198000,47,4980,31,3030,16,1950
TPLink (US1-1),201600,51,5390,34,3316,17,2074
TPLink (US1-1),205200,47,4980,31,3030,16,1950
TPLink (US1-1),208800,47,4980,31,3030,16,1950
TPLink (US1-1),212400,47,4980,31,3030,16,1950
TPLink (US1-1),216000,50,5300,33,3226,17,2074
TPLink (US1-1),219600,47,4980,31,3030,16,1950
TPLink (US1-1),223200,47,4982,31,3031,16,1951
TPLink (US1-1),226800,51,5398,33,3242,18,2156
TPLink (US1-1),230400,48,5076,31,3045,17,2031
TPLink (US1-1),234000,47,5010,31,3045,16,1965
TPLink (US1-1),237600,47,5010,31,3045,16,1965
TPLink (US1-1),241200,50,5332,33,3242,17,2090
TPLink (US1-1),244800,47,5010,31,3045,16,1965
TPLink (US1-1),248400,47,5010,31,3045,16,1965
TPLink (US1-1),252000,52,5464,33,3242,19,2222
TPLink (US1-1),255600,47,5010,31,3045,16,1965
TPLink (US1-1),259200,48,5076,31,3045,17,2031
TPLink (US1-1),262800,47,5010,31,3045,16,1965
TPLink (US1-1),266400,52,5464,33,3242,19,2222
TPLink (US1-1),270000,47,5010,31,3045,16,1965
TPLink (US1-1),273600,48,5076,31,3045,17,2031
TPLink (US1-1),277200,51,5398,33,3242,18,2156
TPLink (US1-1),280800,47,5010,31,3045,16,1965
TPLink (US1-1),284400,47,5010,31,3045,16,1965
TPLink (US1-1),288000,48,5076,31,3045,17,2031
TPLink (US1-1),291600,50,5332,33,3242,17,2090
TPLink (US1-1),295200,47,5010,31,3045,16,1965
TPLink (US1-1),298800,47,5010,31,3045,16,1965
TPLink (US1-1),302400,50,5332,33,3242,17,2090
TPLink (US1-1),306000,49,5142,31,3045,18,2097
TPLink (US1-1),309600,49,5142,31,3045,18,2097
TPLink (US1-1),313200,47,5010,31,3045,16,1965
TPLink (US1-1),316800,51,5398,33,3242,18,2156
TPLink (US1-1),320400,50,5280,34,3315,16,1965
TPLink (US1-1),324000,47,5010,31,3045,16,1965
TPLink (US1-1),327600,50,5332,33,3242,17,2090
TPLink (US1-1),331200,47,5010,31,3045,16,1965
TPLink (US1-1),334800,48,5076,31,3045,17,2031
TPLink (US1-1),338400,47,5010,31,3045,16,1965
TPLink (US1-1),342000,52,5464,33,3242,19,2222
TPLink (US1-1),345600,49,5142,31,3045,18,2097
TPLink (US1-1),349200,48,5076,31,3045,17,2031
TPLink (US1-1),352800,50,5332,33,3242,17,2090
TPLink (US1-1),356400,47,5010,31,3045,16,1965
TPLink (US1-1),360000,47,5010,31,3045,16,1965
TPLink (US1-1),363600,50,5332,33,3242,17,2090
TPLink (US1-1),367200,49,5142,31,3045,18,2097
TPLink (US1-1),370800,48,5076,31,3045,17,2031
TPLink (US1-1),374400,47,5010,31,3045,16,1965
TPLink (US1-1),378000,53,5530,33,3242,20,2288
TPLink (US1-1),381600,47,5010,31,3045,16,1965
TPLink (US1-1),385200,50,5208,31,3045,19,2163
TPLink (US1-1),388800,50,5332,33,3242,17,2090
TPLink (US1-1),392400,48,5076,31,3045,17,2031
TPLink (US1-1),396000,50,5256,32,3135,18,2121
TPLink (US1-1),399600,47,5010,31,3045,16,1965
TPLink (US1-1),403200,50,5332,33,3242,17,2090
TPLink (US1-1),406800,47,5010,31,3045,16,1965
TPLink (US1-1),410400,51,5274,31,3045,20,2229
TPLink (US1-1),414000,49,5018,29,2848,20,2170
