Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
NestCamera (FR-1),0,810,109416,409,69680,401,39736
NestCamera (FR-1),3600,938,96614,469,57594,469,39020
NestCamera (FR-1),7200,719,74119,358,43978,361,30141
NestCamera (FR-1),10800,1000,115526,503,69215,497,46311
NestCamera (FR-1),14400,938,96614,469,57594,469,39020
NestCamera (FR-1),18000,751,89541,378,53597,373,35944
NestCamera (FR-1),21600,938,96614,469,57594,469,39020
NestCamera (FR-1),25200,777,92113,390,54959,387,37154
NestCamera (FR-1),28800,938,96614,469,57594,469,39020
NestCamera (FR-1),32400,747,76929,372,45716,375,31213
NestCamera (FR-1),36000,964,111525,484,66719,480,44806
NestCamera (FR-1),39600,938,96614,469,57594,469,39020
NestCamera (FR-1),43200,785,93060,395,55697,390,37363
NestCamera (FR-1),46800,938,96614,469,57594,469,39020
NestCamera (FR-1),50400,937,96548,468,57528,469,39020
NestCamera (FR-1),54000,938,96626,469,57606,469,39020
NestCamera (FR-1),57600,938,96614,469,57594,469,39020
NestCamera (FR-1),61200,938,96614,469,57594,469,39020
NestCamera (FR-1),64800,938,96614,469,57594,469,39020
NestCamera (FR-1),68400,940,96820,470,57660,470,39160
NestCamera (FR-1),72000,936,96408,468,57454,468,38954
NestCamera (FR-1),75600,938,96614,469,57594,469,39020
NestCamera (FR-1),79200,938,96614,469,57594,469,39020
NestCamera (FR-1),82800,938,96614,469,57594,469,39020
NestCamera (FR-1),86400,938,96614,469,57594,469,39020
NestCamera (FR-1),90000,936,96408,468,57454,468,38954
NestCamera (FR-1),93600,938,96614,469,57594,469,39020
NestCamera (FR-1),97200,938,96614,469,57594,469,39020
NestCamera (FR-1),100800,938,96614,469,57594,469,39020
NestCamera (FR-1),104400,938,96614,469,57594,469,39020
NestCamera (FR-1),108000,938,96638,469,57618,469,39020
NestCamera (FR-1),111600,1005,114809,506,68343,499,46466
NestCamera (FR-1),115200,940,96820,470,57660,470,39160
NestCamera (FR-1),118800,936,96420,468,57528,468,38892
NestCamera (FR-1),122400,938,96638,469,57618,469,39020
NestCamera (FR-1),126000,938,96626,469,57606,469,39020
NestCamera (FR-1),129600,938,96626,469,57606,469,39020
NestCamera (FR-1),133200,938,96614,469,57594,469,39020
NestCamera (FR-1),136800,936,96420,468,57466,468,38954
NestCamera (FR-1),140400,933,96160,466,57272,467,38888
NestCamera (FR-1),144000,937,96560,468,57540,469,39020
NestCamera (FR-1),147600,936,96492,468,57538,468,38954
NestCamera (FR-1),151200,934,96300,466,57346,468,38954
NestCamera (FR-1),154800,938,96674,469,57654,469,39020
NestCamera (FR-1),158400,938,96638,469,57618,469,39020
NestCamera (FR-1),162000,933,96148,466,57260,467,38888
NestCamera (FR-1),165600,938,96614,469,57520,469,39094
NestCamera (FR-1),169200,934,96202,467,57314,467,38888
NestCamera (FR-1),172800,933,96148,466,57260,467,38888
NestCamera (FR-1),176400,938,96626,469,57606,469,39020
NestCamera (FR-1),180000,937,96560,468,57540,469,39020
NestCamera (FR-1),183600,938,96662,469,57642,469,39020
NestCamera (FR-1),187200,937,96560,468,57540,469,39020
NestCamera (FR-1),190800,938,96626,469,57606,469,39020
NestCamera (FR-1),194400,934,96276,466,57322,468,38954
NestCamera (FR-1),198000,938,96614,469,57594,469,39020
NestCamera (FR-1),201600,938,96626,469,57606,469,39020
NestCamera (FR-1),205200,938,96638,469,57618,469,39020
NestCamera (FR-1),208800,938,96614,469,57594,469,39020
NestCamera (FR-1),212400,938,96614,469,57594,469,39020
NestCamera (FR-1),216000,940,96820,470,57660,470,39160
NestCamera (FR-1),219600,937,96560,468,57540,469,39020
NestCamera (FR-1),223200,938,96614,469,57594,469,39020
NestCamera (FR-1),226800,938,96614,469,57594,469,39020
NestCamera (FR-1),230400,938,96614,469,57594,469,39020
NestCamera (FR-1),234000,938,96614,469,57594,469,39020
NestCamera (FR-1),237600,938,96614,469,57594,469,39020
NestCamera (FR-1),241200,938,96614,469,57594,469,39020
NestCamera (FR-1),244800,938,96614,469,57594,469,39020
NestCamera (FR-1),248400,936,96420,468,57466,468,38954
NestCamera (FR-1),252000,936,96408,468,57454,468,38954
