Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
SonyTV (FR-1),0,2226,570462,1642,406168,584,164294
SonyTV (FR-1),3600,1858,492815,1318,353227,540,139588
SonyTV (FR-1),7200,2201,578571,1627,432046,574,146525
SonyTV (FR-1),10800,2015,505653,1489,389362,526,116291
SonyTV (FR-1),14400,2233,968766,1670,371447,563,597319
SonyTV (FR-1),18000,2104,556615,1554,399835,550,156780
SonyTV (FR-1),21600,2022,760325,1381,360736,641,399589
SonyTV (FR-1),25200,3301,2723811,2142,555252,1159,2168559
SonyTV (FR-1),28800,1697,408776,1174,287228,523,121548
SonyTV (FR-1),32400,2304,633774,1701,430373,603,203401
SonyTV (FR-1),36000,1787,443362,1288,332121,499,111241
SonyTV (FR-1),39600,2834,1296816,1937,437086,897,859730
SonyTV (FR-1),43200,1625,397879,1090,277977,535,119902
SonyTV (FR-1),46800,2538,664906,1907,473587,631,191319
SonyTV (FR-1),50400,1916,487645,1349,372306,567,115339
SonyTV (FR-1),54000,2617,945083,1825,567614,792,377469
SonyTV (FR-1),57600,1723,426564,1243,318294,480,108270
SonyTV (FR-1),61200,2183,1034578,1486,345408,697,689170
SonyTV (FR-1),64800,2067,702383,1272,352173,795,350210
SonyTV (FR-1),68400,1655,490835,1065,298521,590,192314
SonyTV (FR-1),72000,1258,297485,813,202179,445,95306
SonyTV (FR-1),75600,1727,465789,1192,321615,535,144174
SonyTV (FR-1),79200,1568,425903,1029,299487,539,126416
SonyTV (FR-1),82800,3134,1682392,2070,470476,1064,1211916
SonyTV (FR-1),86400,2962,2504462,1884,486559,1078,2017903
SonyTV (FR-1),90000,2045,540712,1536,403047,509,137665
SonyTV (FR-1),93600,1652,428351,1196,325891,456,102460
SonyTV (FR-1),97200,1634,417887,1175,318710,459,99177
SonyTV (FR-1),100800,1946,481183,1467,363261,479,117922
SonyTV (FR-1),104400,2337,1003846,1715,398180,622,605666
SonyTV (FR-1),108000,1672,497800,1090,321482,582,176318
SonyTV (FR-1),111600,1977,542128,1320,345157,657,196971
SonyTV (FR-1),115200,2979,2499992,1964,518768,1015,1981224
SonyTV (FR-1),118800,1759,483112,1245,330007,514,153105
SonyTV (FR-1),122400,1927,926553,1314,305339,613,621214
SonyTV (FR-1),126000,2477,819255,1745,455331,732,363924
SonyTV (FR-1),129600,1612,401024,1167,299499,445,101525
SonyTV (FR-1),133200,1565,400699,1110,298579,455,102120
SonyTV (FR-1),136800,1682,451044,1223,326726,459,124318
SonyTV (FR-1),140400,2059,992511,1432,371682,627,620829
SonyTV (FR-1),144000,1933,745904,1312,417635,621,328269
SonyTV (FR-1),147600,1681,444281,1216,340617,465,103664
SonyTV (FR-1),151200,2426,852892,1654,453950,772,398942
SonyTV (FR-1),154800,2510,679816,1983,503975,527,175841
SonyTV (FR-1),158400,1583,395085,1142,297758,441,97327
SonyTV (FR-1),162000,2089,976598,1496,378545,593,598053
SonyTV (FR-1),165600,1528,435085,1025,293051,503,142034
SonyTV (FR-1),169200,2707,1018682,1827,470918,880,547764
SonyTV (FR-1),172800,2140,712300,1414,364458,726,347842
SonyTV (FR-1),176400,3099,2722169,2030,571860,1069,2150309
SonyTV (FR-1),180000,2384,625870,1897,502635,487,123235
SonyTV (FR-1),183600,1985,936638,1390,334312,595,602326
SonyTV (FR-1),187200,1669,427999,1223,331195,446,96804
SonyTV (FR-1),190800,1741,447132,1263,324472,478,122660
SonyTV (FR-1),194400,1711,481440,1175,316486,536,164954
SonyTV (FR-1),198000,2419,643589,1794,464460,625,179129
SonyTV (FR-1),201600,2009,497315,1526,386421,483,110894
SonyTV (FR-1),205200,3383,3115054,2261,562758,1122,2552296
SonyTV (FR-1),208800,1789,482191,1312,363674,477,118517
SonyTV (FR-1),212400,2040,571005,1438,365828,602,205177
SonyTV (FR-1),216000,2055,653040,1459,377370,596,275670
SonyTV (FR-1),219600,2335,574144,1918,481870,417,92274
SonyTV (FR-1),223200,1880,513394,1337,375224,543,138170
SonyTV (FR-1),226800,1889,937364,1277,325357,612,612007
SonyTV (FR-1),230400,1745,440031,1251,326456,494,113575
SonyTV (FR-1),234000,1703,429515,1258,327758,445,101757
SonyTV (FR-1),237600,3027,1337777,1920,641037,1107,696740
SonyTV (FR-1),241200,1959,558441,1413,360218,546,198223
SonyTV (FR-1),244800,1526,378131,1106,288956,420,89175
SonyTV (FR-1),248400,1436,372518,998,269043,438,103475
SonyTV (FR-1),252000,2146,1001521,1504,373240,642,628281
