Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
GoogleHome (FR-2),0,7251,986077,4297,613009,2954,373068
GoogleHome (FR-2),3600,7506,1065909,4406,660497,3100,405412
GoogleHome (FR-2),7200,7175,1028630,4242,655907,2933,372723
GoogleHome (FR-2),10800,7937,1093617,4612,662321,3325,431296
GoogleHome (FR-2),14400,7869,1101210,4567,695278,3302,405932
GoogleHome (FR-2),18000,6959,1004214,4111,630084,2848,374130
GoogleHome (FR-2),21600,7907,1099044,4851,714897,3056,384147
GoogleHome (FR-2),25200,16641,1895959,8874,1087850,7767,808109
GoogleHome (FR-2),28800,19459,2152521,10161,1217572,9298,934949
GoogleHome (FR-2),32400,21070,2527521,11219,1346477,9851,1181044
GoogleHome (FR-2),36000,18482,2390207,9804,1224497,8678,1165710
GoogleHome (FR-2),39600,18500,2463791,9827,1259762,8673,1204029
GoogleHome (FR-2),43200,18730,2397923,9909,1215921,8821,1182002
GoogleHome (FR-2),46800,8803,1509540,5087,766332,3716,743208
GoogleHome (FR-2),50400,10075,1677509,5861,892694,4214,784815
GoogleHome (FR-2),54000,8542,1484840,4893,752829,3649,732011
GoogleHome (FR-2),57600,9486,1575915,5357,787872,4129,788043
GoogleHome (FR-2),61200,9271,1505690,5274,773677,3997,732013
GoogleHome (FR-2),64800,8906,1467307,5100,745725,3806,721582
GoogleHome (FR-2),68400,9156,1553998,5252,797050,3904,756948
GoogleHome (FR-2),72000,10357,1623571,5861,829999,4496,793572
GoogleHome (FR-2),75600,9597,1644236,5448,856640,4149,787596
GoogleHome (FR-2),79200,10640,1699343,5911,845913,4729,853430
GoogleHome (FR-2),82800,9444,1547031,5335,770100,4109,776931
GoogleHome (FR-2),86400,9190,1516100,5266,778161,3924,737939
GoogleHome (FR-2),90000,9132,1422203,5165,701132,3967,721071
GoogleHome (FR-2),93600,8373,1400174,4831,716197,3542,683977
GoogleHome (FR-2),97200,9738,1585481,5639,837484,4099,747997
GoogleHome (FR-2),100800,8199,1313964,4723,648013,3476,665951
GoogleHome (FR-2),104400,8618,1360078,4922,679470,3696,680608
GoogleHome (FR-2),108000,8560,1433809,4922,731764,3638,702045
GoogleHome (FR-2),111600,9171,1391578,5137,668770,4034,722808
GoogleHome (FR-2),115200,8746,1432020,5085,719465,3661,712555
GoogleHome (FR-2),118800,16347,1904959,8549,872803,7798,1032156
GoogleHome (FR-2),122400,18269,1991096,9609,925859,8660,1065237
GoogleHome (FR-2),126000,16386,1769975,8580,791748,7806,978227
GoogleHome (FR-2),129600,15659,1698879,8119,745664,7540,953215
GoogleHome (FR-2),133200,16081,1714056,8436,762989,7645,951067
GoogleHome (FR-2),136800,15801,1678124,8272,745093,7529,933031
GoogleHome (FR-2),140400,14799,1553913,7689,662887,7110,891026
