Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
GoogleHome (FR-2),0,2739,610646,1455,382280,1284,228366
GoogleHome (FR-2),3600,2851,642638,1514,404541,1337,238097
GoogleHome (FR-2),7200,2742,594844,1445,371543,1297,223301
GoogleHome (FR-2),10800,3052,1154243,1561,409234,1491,745009
GoogleHome (FR-2),14400,2685,578607,1418,362284,1267,216323
GoogleHome (FR-2),18000,2874,649543,1524,409378,1350,240165
GoogleHome (FR-2),21600,2660,575259,1408,358196,1252,217063
GoogleHome (FR-2),25200,2539,593082,1341,375483,1198,217599
GoogleHome (FR-2),28800,2698,1089876,1408,370418,1290,719458
GoogleHome (FR-2),32400,6249,5946199,2824,905113,3425,5041086
GoogleHome (FR-2),36000,2351,578329,1261,383874,1090,194455
GoogleHome (FR-2),39600,2409,593126,1283,387786,1126,205340
GoogleHome (FR-2),43200,2379,587109,1269,385349,1110,201760
GoogleHome (FR-2),46800,2437,602454,1306,380338,1131,222116
GoogleHome (FR-2),50400,2688,1127708,1383,405035,1305,722673
GoogleHome (FR-2),54000,2533,634653,1357,408921,1176,225732
GoogleHome (FR-2),57600,2378,572885,1269,372588,1109,200297
GoogleHome (FR-2),61200,2508,629587,1348,409273,1160,220314
GoogleHome (FR-2),64800,2370,564670,1262,363545,1108,201125
GoogleHome (FR-2),68400,2502,623860,1323,399416,1179,224444
GoogleHome (FR-2),72000,2589,1106101,1350,390747,1239,715354
GoogleHome (FR-2),75600,2522,627054,1349,400457,1173,226597
GoogleHome (FR-2),79200,2398,586741,1280,374062,1118,212679
GoogleHome (FR-2),82800,2460,608617,1316,386175,1144,222442
GoogleHome (FR-2),86400,2413,583079,1286,372466,1127,210613
GoogleHome (FR-2),90000,2631,1116260,1371,390688,1260,725572
GoogleHome (FR-2),93600,2344,559581,1253,365477,1091,194104
GoogleHome (FR-2),97200,2473,608498,1330,385315,1143,223183
GoogleHome (FR-2),100800,2297,553225,1224,360135,1073,193090
GoogleHome (FR-2),104400,2563,634847,1367,413277,1196,221570
GoogleHome (FR-2),108000,2441,595000,1307,388492,1134,206508
GoogleHome (FR-2),111600,2699,1137792,1411,401166,1288,736626
GoogleHome (FR-2),115200,2349,567230,1250,366202,1099,201028
GoogleHome (FR-2),118800,6521,5968763,3042,908207,3479,5060556
GoogleHome (FR-2),122400,2544,647393,1355,441833,1189,205560
GoogleHome (FR-2),126000,2318,555071,1247,363007,1071,192064
GoogleHome (FR-2),129600,2312,540149,1239,354771,1073,185378
GoogleHome (FR-2),133200,2431,583239,1308,380226,1123,203013
GoogleHome (FR-2),136800,2357,555686,1257,355862,1100,199824
GoogleHome (FR-2),140400,2542,1066548,1336,361503,1206,705045
GoogleHome (FR-2),144000,2441,590166,1313,374021,1128,216145
GoogleHome (FR-2),147600,2407,575234,1290,371765,1117,203469
GoogleHome (FR-2),151200,2291,531719,1226,340357,1065,191362
GoogleHome (FR-2),154800,2339,547466,1255,349848,1084,197618
GoogleHome (FR-2),158400,2688,1101481,1408,373816,1280,727665
GoogleHome (FR-2),162000,2509,627240,1354,402449,1155,224791
GoogleHome (FR-2),165600,2371,549960,1269,345635,1102,204325
GoogleHome (FR-2),169200,2337,546972,1250,347335,1087,199637
GoogleHome (FR-2),172800,2341,538108,1248,345342,1093,192766
GoogleHome (FR-2),176400,2412,571103,1292,363978,1120,207125
GoogleHome (FR-2),180000,2691,1178174,1414,373659,1277,804515
GoogleHome (FR-2),183600,2318,543307,1242,344549,1076,198758
GoogleHome (FR-2),187200,2347,548190,1255,353385,1092,194805
GoogleHome (FR-2),190800,2385,564682,1279,363417,1106,201265
