Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
NestMini (FR-2),0,5688,4339275,2856,775964,2832,3563311
NestMini (FR-2),3600,3638,2118425,1906,535396,1732,1583029
NestMini (FR-2),7200,2448,560918,1294,361691,1154,199227
NestMini (FR-2),10800,2897,1237951,1526,406465,1371,831486
NestMini (FR-2),14400,3146,1914772,1637,451413,1509,1463359
NestMini (FR-2),18000,1565,381306,829,269795,736,111511
NestMini (FR-2),21600,3011,1890219,1565,440877,1446,1449342
NestMini (FR-2),25200,7652,7242304,3627,1082260,4025,6160044
NestMini (FR-2),28800,2477,628769,1311,426933,1166,201836
NestMini (FR-2),32400,4495,2938389,2303,675095,2192,2263294
NestMini (FR-2),36000,3882,2069702,2024,558099,1858,1511603
NestMini (FR-2),39600,4332,2791654,2202,597437,2130,2194217
NestMini (FR-2),43200,4018,2668339,2067,547460,1951,2120879
NestMini (FR-2),46800,5094,3528993,2663,700707,2431,2828286
NestMini (FR-2),50400,7774,6374294,4010,970238,3764,5404056
NestMini (FR-2),54000,3206,1416593,1681,463526,1525,953067
NestMini (FR-2),57600,2227,510879,1176,345814,1051,165065
NestMini (FR-2),61200,3793,2038796,2001,524956,1792,1513840
NestMini (FR-2),64800,3550,1964270,1856,486523,1694,1477747
NestMini (FR-2),68400,4161,2698221,2165,549166,1996,2149055
NestMini (FR-2),72000,6026,4848885,3038,746243,2988,4102642
NestMini (FR-2),75600,3756,1997299,1970,495770,1786,1501529
NestMini (FR-2),79200,2236,505986,1183,349980,1053,156006
NestMini (FR-2),82800,3218,1375010,1667,496454,1551,878556
NestMini (FR-2),86400,3321,1899363,1760,442771,1561,1456592
NestMini (FR-2),90000,3083,1270044,1600,419676,1483,850368
NestMini (FR-2),93600,3564,1962671,1889,478664,1675,1484007
NestMini (FR-2),97200,2171,492098,1144,327967,1027,164131
NestMini (FR-2),100800,2891,1206092,1554,393219,1337,812873
NestMini (FR-2),104400,2150,482347,1127,315450,1023,166897
NestMini (FR-2),108000,3691,1979701,1940,488491,1751,1491210
