Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
SonyTV (FR-2),0,464,169021,449,167789,15,1232
SonyTV (FR-2),3600,483,178312,468,177080,15,1232
SonyTV (FR-2),7200,455,166807,440,165575,15,1232
SonyTV (FR-2),10800,435,157023,420,155791,15,1232
SonyTV (FR-2),14400,432,157821,417,156589,15,1232
SonyTV (FR-2),18000,451,163233,436,162001,15,1232
SonyTV (FR-2),21600,539,183219,524,181987,15,1232
SonyTV (FR-2),25200,503,182834,488,181602,15,1232
SonyTV (FR-2),28800,475,164687,460,163455,15,1232
SonyTV (FR-2),32400,482,179512,467,178280,15,1232
SonyTV (FR-2),36000,492,184916,477,183684,15,1232
SonyTV (FR-2),39600,480,179583,465,178351,15,1232
SonyTV (FR-2),43200,477,176859,462,175627,15,1232
SonyTV (FR-2),46800,452,164568,437,163336,15,1232
SonyTV (FR-2),50400,591,212113,576,210881,15,1232
SonyTV (FR-2),54000,463,171071,448,169839,15,1232
SonyTV (FR-2),57600,468,172358,453,171126,15,1232
SonyTV (FR-2),61200,459,170505,444,169273,15,1232
SonyTV (FR-2),64800,479,174097,464,172865,15,1232
SonyTV (FR-2),68400,498,186341,483,185109,15,1232
SonyTV (FR-2),72000,521,188831,487,183410,34,5421
SonyTV (FR-2),75600,495,183306,480,182074,15,1232
SonyTV (FR-2),79200,457,171203,442,169971,15,1232
SonyTV (FR-2),82800,452,166062,437,164830,15,1232
SonyTV (FR-2),86400,469,166997,454,165765,15,1232
SonyTV (FR-2),90000,445,159606,430,158374,15,1232
SonyTV (FR-2),93600,486,176767,470,175457,16,1310
SonyTV (FR-2),97200,549,189054,534,187822,15,1232
SonyTV (FR-2),100800,456,169161,441,167929,15,1232
SonyTV (FR-2),104400,459,169549,443,168239,16,1310
SonyTV (FR-2),108000,441,158945,426,157713,15,1232
SonyTV (FR-2),111600,443,165052,428,163820,15,1232
SonyTV (FR-2),115200,497,169692,482,168460,15,1232
SonyTV (FR-2),118800,397,121728,382,120496,15,1232
SonyTV (FR-2),122400,386,118674,371,117442,15,1232
SonyTV (FR-2),126000,358,109907,343,108675,15,1232
SonyTV (FR-2),129600,390,112932,375,111700,15,1232
SonyTV (FR-2),133200,393,116402,378,115170,15,1232
SonyTV (FR-2),136800,382,112053,367,110821,15,1232
SonyTV (FR-2),140400,349,106896,334,105664,15,1232
SonyTV (FR-2),144000,463,132668,448,131436,15,1232
SonyTV (FR-2),147600,484,136478,469,135246,15,1232
SonyTV (FR-2),151200,348,106821,333,105589,15,1232
SonyTV (FR-2),154800,442,125821,427,124589,15,1232
SonyTV (FR-2),158400,422,135397,388,129964,34,5433
SonyTV (FR-2),162000,437,138061,413,136223,24,1838
SonyTV (FR-2),165600,368,107552,353,106320,15,1232
SonyTV (FR-2),169200,333,102075,318,100843,15,1232
SonyTV (FR-2),172800,361,107306,346,106074,15,1232
SonyTV (FR-2),176400,360,107604,345,106372,15,1232
SonyTV (FR-2),180000,346,105619,331,104387,15,1232
SonyTV (FR-2),183600,547,146843,532,145611,15,1232
SonyTV (FR-2),187200,365,111230,350,109998,15,1232
SonyTV (FR-2),190800,372,108390,357,107158,15,1232
SonyTV (FR-2),194400,371,112439,356,111207,15,1232
SonyTV (FR-2),198000,349,111727,334,110495,15,1232
SonyTV (FR-2),201600,378,110574,363,109342,15,1232
SonyTV (FR-2),205200,389,115999,374,114767,15,1232
SonyTV (FR-2),208800,379,112089,364,110857,15,1232
SonyTV (FR-2),212400,418,119802,403,118570,15,1232
SonyTV (FR-2),216000,270,78751,270,78751,0,0
SonyTV (FR-2),219600,452,136898,422,134434,30,2464
SonyTV (FR-2),223200,356,107875,341,106643,15,1232
SonyTV (FR-2),226800,397,118036,382,116804,15,1232
SonyTV (FR-2),230400,412,122099,397,120867,15,1232
SonyTV (FR-2),234000,564,151975,549,150743,15,1232
SonyTV (FR-2),237600,598,157324,583,156092,15,1232
SonyTV (FR-2),241200,709,200106,663,193869,46,6237
SonyTV (FR-2),244800,769,214163,754,212931,15,1232
SonyTV (FR-2),248400,689,199288,674,198056,15,1232
SonyTV (FR-2),252000,525,150176,510,148944,15,1232
SonyTV (FR-2),255600,433,126498,418,125266,15,1232
SonyTV (FR-2),259200,389,117377,374,116145,15,1232
SonyTV (FR-2),262800,582,164239,567,163007,15,1232
SonyTV (FR-2),266400,487,142269,472,141037,15,1232
SonyTV (FR-2),270000,466,134222,451,132990,15,1232
SonyTV (FR-2),273600,406,116840,391,115608,15,1232
SonyTV (FR-2),277200,479,138767,464,137535,15,1232
SonyTV (FR-2),280800,313,88461,313,88461,0,0
SonyTV (FR-2),284400,473,146365,443,143901,30,2464
SonyTV (FR-2),288000,336,98765,336,98765,0,0
SonyTV (FR-2),291600,608,163616,497,152847,111,10769
SonyTV (FR-2),295200,573,134138,479,127692,94,6446
SonyTV (FR-2),298800,556,129290,461,122778,95,6512
SonyTV (FR-2),302400,625,143840,530,137328,95,6512
SonyTV (FR-2),306000,576,134108,481,127596,95,6512
SonyTV (FR-2),309600,738,168725,643,162213,95,6512
SonyTV (FR-2),313200,541,127394,448,121014,93,6380
SonyTV (FR-2),316800,452,124092,402,120538,50,3554
SonyTV (FR-2),320400,411,124569,396,123337,15,1232
SonyTV (FR-2),324000,360,99847,360,99847,0,0
SonyTV (FR-2),327600,558,168475,528,166011,30,2464
