Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
GoogleHome (FR-1),0,19040,2143620,10463,1238625,8577,904995
GoogleHome (FR-1),3600,17254,2034929,9238,1190851,8016,844078
GoogleHome (FR-1),7200,14142,1922888,7969,1220630,6173,702258
GoogleHome (FR-1),10800,17068,2275691,9382,1366665,7686,909026
GoogleHome (FR-1),14400,13601,2019204,7745,1281163,5856,738041
GoogleHome (FR-1),18000,16171,2607890,8935,1292088,7236,1315802
GoogleHome (FR-1),21600,15548,2014674,8463,1231467,7085,783207
GoogleHome (FR-1),25200,12842,1872431,7057,1134687,5785,737744
GoogleHome (FR-1),28800,21313,2409842,11113,1314715,10200,1095127
GoogleHome (FR-1),32400,19606,2174275,10488,1250824,9118,923451
GoogleHome (FR-1),36000,19808,2100552,10359,1158737,9449,941815
GoogleHome (FR-1),39600,23187,6961318,12096,1628173,11091,5333145
GoogleHome (FR-1),43200,16562,1715039,8778,940966,7784,774073
GoogleHome (FR-1),46800,17592,2055155,9661,1197495,7931,857660
GoogleHome (FR-1),50400,16301,1699817,8724,936773,7577,763044
GoogleHome (FR-1),54000,18143,2056611,9685,1097933,8458,958678
GoogleHome (FR-1),57600,20474,2248669,10693,1227348,9781,1021321
GoogleHome (FR-1),61200,18902,1939312,9758,1064902,9144,874410
GoogleHome (FR-1),64800,16449,2279754,8491,985215,7958,1294539
GoogleHome (FR-1),68400,17600,2161893,9044,1166073,8556,995820
GoogleHome (FR-1),72000,16846,1922957,8760,1019242,8086,903715
GoogleHome (FR-1),75600,14531,1681060,7674,979470,6857,701590
GoogleHome (FR-1),79200,18013,2788559,9425,1243182,8588,1545377
GoogleHome (FR-1),82800,18305,2373636,9784,1138399,8521,1235237
GoogleHome (FR-1),86400,17138,2151883,9174,983829,7964,1168054
GoogleHome (FR-1),90000,17741,2304602,9748,1124281,7993,1180321
GoogleHome (FR-1),93600,17054,2158202,9235,1002391,7819,1155811
GoogleHome (FR-1),97200,17011,2166868,9120,1006311,7891,1160557
GoogleHome (FR-1),100800,17585,2293671,9714,1106826,7871,1186845
GoogleHome (FR-1),104400,17473,2674136,9584,1065248,7889,1608888
GoogleHome (FR-1),108000,16710,2067665,8915,941077,7795,1126588
GoogleHome (FR-1),111600,16957,2132014,9090,983353,7867,1148661
GoogleHome (FR-1),115200,17169,2177503,9382,1042902,7787,1134601
GoogleHome (FR-1),118800,16608,2058449,8921,954482,7687,1103967
GoogleHome (FR-1),122400,18806,6374070,9621,1329280,9185,5044790
GoogleHome (FR-1),126000,14268,1423815,7810,849678,6458,574137
GoogleHome (FR-1),129600,14232,1399768,7705,807246,6527,592522
GoogleHome (FR-1),133200,13941,1335580,7478,757877,6463,577703
GoogleHome (FR-1),136800,14540,1491265,7893,850686,6647,640579
GoogleHome (FR-1),140400,13990,1329677,7489,753701,6501,575976
GoogleHome (FR-1),144000,14377,1889922,7712,792314,6665,1097608
GoogleHome (FR-1),147600,14227,1384254,7691,803466,6536,580788
GoogleHome (FR-1),151200,14705,1517611,8051,874660,6654,642951
GoogleHome (FR-1),154800,15405,1646960,8768,1023119,6637,623841
GoogleHome (FR-1),158400,14251,1392792,7706,798414,6545,594378
GoogleHome (FR-1),162000,14627,1944798,7940,846285,6687,1098513
GoogleHome (FR-1),165600,14309,1442201,7644,792077,6665,650124
GoogleHome (FR-1),169200,14480,1484067,7950,861900,6530,622167
GoogleHome (FR-1),172800,14233,1398356,7707,809009,6526,589347
GoogleHome (FR-1),176400,14145,1366213,7711,812614,6434,553599
GoogleHome (FR-1),180000,15484,1722998,8841,1044939,6643,678059
GoogleHome (FR-1),183600,14182,1426017,7679,794787,6503,631230
GoogleHome (FR-1),187200,14392,1885421,7767,803006,6625,1082415
GoogleHome (FR-1),190800,14162,1380276,7625,792490,6537,587786
GoogleHome (FR-1),194400,14322,1447678,7687,804021,6635,643657
GoogleHome (FR-1),198000,14837,1496695,8309,914079,6528,582616
GoogleHome (FR-1),201600,14745,1512652,8220,912154,6525,600498
GoogleHome (FR-1),205200,14815,1957296,8095,865966,6720,1091330
GoogleHome (FR-1),208800,14780,1583033,8020,891020,6760,692013
GoogleHome (FR-1),212400,15139,1606878,8200,934645,6939,672233
GoogleHome (FR-1),216000,18710,6274138,9892,1348236,8818,4925902
GoogleHome (FR-1),219600,15442,1654034,8881,1055057,6561,598977
GoogleHome (FR-1),223200,14257,1401771,7754,826284,6503,575487
GoogleHome (FR-1),226800,14012,1361335,7516,772113,6496,589222
GoogleHome (FR-1),230400,14412,1450022,7809,821118,6603,628904
GoogleHome (FR-1),234000,14642,1486737,8081,871450,6561,615287
GoogleHome (FR-1),237600,14574,1882935,7850,794707,6724,1088228
GoogleHome (FR-1),241200,14702,1607817,8051,874751,6651,733066
GoogleHome (FR-1),244800,14370,1438918,7764,816217,6606,622701
GoogleHome (FR-1),248400,14242,1428595,7622,775538,6620,653057
GoogleHome (FR-1),252000,14453,1419426,7904,821046,6549,598380
GoogleHome (FR-2),0,9990,1596723,5752,995289,4238,601434
GoogleHome (FR-2),3600,10357,1708547,5920,1065038,4437,643509
GoogleHome (FR-2),7200,9917,1623474,5687,1027450,4230,596024
GoogleHome (FR-2),10800,10989,2247860,6173,1071555,4816,1176305
GoogleHome (FR-2),14400,10554,1679817,5985,1057562,4569,622255
GoogleHome (FR-2),18000,9833,1653757,5635,1039462,4198,614295
GoogleHome (FR-2),21600,10567,1674303,6259,1073093,4308,601210
GoogleHome (FR-2),25200,19180,2489041,10215,1463333,8965,1025708
GoogleHome (FR-2),28800,22157,3242397,11569,1587990,10588,1654407
GoogleHome (FR-2),32400,27319,8473720,14043,2251590,13276,6222130
GoogleHome (FR-2),36000,20833,2968536,11065,1608371,9768,1360165
GoogleHome (FR-2),39600,20909,3056917,11110,1647548,9799,1409369
GoogleHome (FR-2),43200,21109,2985032,11178,1601270,9931,1383762
GoogleHome (FR-2),46800,11240,2111994,6393,1146670,4847,965324
GoogleHome (FR-2),50400,12763,2805217,7244,1297729,5519,1507488
GoogleHome (FR-2),54000,11075,2119493,6250,1161750,4825,957743
GoogleHome (FR-2),57600,11864,2148800,6626,1160460,5238,988340
GoogleHome (FR-2),61200,11779,2135277,6622,1182950,5157,952327
GoogleHome (FR-2),64800,11276,2031977,6362,1109270,4914,922707
GoogleHome (FR-2),68400,11658,2177858,6575,1196466,5083,981392
GoogleHome (FR-2),72000,12946,2729672,7211,1220746,5735,1508926
GoogleHome (FR-2),75600,12119,2271290,6797,1257097,5322,1014193
GoogleHome (FR-2),79200,13038,2286084,7191,1219975,5847,1066109
GoogleHome (FR-2),82800,11904,2155648,6651,1156275,5253,999373
GoogleHome (FR-2),86400,11603,2099179,6552,1150627,5051,948552
GoogleHome (FR-2),90000,11763,2538463,6536,1091820,5227,1446643
GoogleHome (FR-2),93600,10717,1959755,6084,1081674,4633,878081
GoogleHome (FR-2),97200,12211,2193979,6969,1222799,5242,971180
GoogleHome (FR-2),100800,10496,1867189,5947,1008148,4549,859041
GoogleHome (FR-2),104400,11181,1994925,6289,1092747,4892,902178
GoogleHome (FR-2),108000,11001,2028809,6229,1120256,4772,908553
GoogleHome (FR-2),111600,11870,2529370,6548,1069936,5322,1459434
GoogleHome (FR-2),115200,11095,1999250,6335,1085667,4760,913583
GoogleHome (FR-2),118800,22868,7873722,11591,1781010,11277,6092712
GoogleHome (FR-2),122400,20813,2638489,10964,1367692,9849,1270797
GoogleHome (FR-2),126000,18704,2325046,9827,1154755,8877,1170291
GoogleHome (FR-2),129600,17971,2239028,9358,1100435,8613,1138593
GoogleHome (FR-2),133200,18512,2297295,9744,1143215,8768,1154080
GoogleHome (FR-2),136800,18158,2233810,9529,1100955,8629,1132855
GoogleHome (FR-2),140400,17341,2620461,9025,1024390,8316,1596071
GoogleHome (FR-2),144000,18444,2283677,9815,1154336,8629,1129341
GoogleHome (FR-2),147600,18643,2336115,9983,1195774,8660,1140341
GoogleHome (FR-2),151200,17290,2108821,9035,1018299,8255,1090522
GoogleHome (FR-2),154800,17307,2112176,9215,1052715,8092,1059461
GoogleHome (FR-2),158400,18686,2941701,9804,1247625,8882,1694076
GoogleHome (FR-2),162000,18227,2407181,9648,1241944,8579,1165237
GoogleHome (FR-2),165600,17067,2073136,9004,1007532,8063,1065604
GoogleHome (FR-2),169200,17760,2178802,9209,1049967,8551,1128835
GoogleHome (FR-2),172800,16694,2030339,8752,984390,7942,1045949
GoogleHome (FR-2),176400,16886,2084582,8819,1012970,8067,1071612
GoogleHome (FR-2),180000,18788,2932447,9881,1153146,8907,1779301
GoogleHome (FR-2),183600,18339,2260901,9879,1155143,8460,1105758
GoogleHome (FR-2),187200,17985,2176621,9418,1065789,8567,1110832
GoogleHome (FR-2),190800,17002,2116241,8883,1031850,8119,1084391
GoogleHome (FR-2),194400,17327,2083743,9120,1022286,8207,1061457
GoogleHome (FR-2),198000,22282,7593667,11234,1668684,11048,5924983
GoogleHome (FR-2),201600,17406,2102328,9119,1027216,8287,1075112
GoogleHome (FR-2),205200,20101,2433068,10390,1192377,9711,1240691
GoogleHome (FR-2),208800,18996,2260413,9899,1112237,9097,1148176
GoogleHome (FR-2),212400,17902,2189937,9415,1083639,8487,1106298
GoogleHome (FR-2),216000,18142,2128673,9441,1033804,8701,1094869
GoogleHome (FR-2),219600,17909,2661107,9389,1057045,8520,1604062
GoogleHome (FR-2),223200,19534,2315976,10081,1124018,9453,1191958
GoogleHome (FR-2),226800,19158,2325672,9999,1150324,9159,1175348
GoogleHome (FR-2),230400,20035,2401734,10460,1195688,9575,1206046
GoogleHome (FR-2),234000,19930,2403614,10644,1255818,9286,1147796
GoogleHome (FR-2),237600,18381,2271606,10018,1188688,8363,1082918
GoogleHome (FR-2),241200,26319,3924334,14102,1884206,12217,2040128
GoogleHome (FR-2),244800,28457,3802356,15479,2166911,12978,1635445
GoogleHome (FR-2),248400,25424,3546549,13755,2011759,11669,1534790
GoogleHome (FR-2),252000,26704,2869019,14171,1498980,12533,1370039
GoogleHome (FR-2),255600,28326,3085176,14624,1568357,13702,1516819
GoogleHome (FR-2),259200,27484,2922254,14244,1478910,13240,1443344
GoogleHome (FR-2),262800,27086,3381971,14223,1490931,12863,1891040
GoogleHome (FR-2),266400,26309,2722880,13798,1392792,12511,1330088
GoogleHome (FR-2),270000,26238,2715283,13782,1390176,12456,1325107
GoogleHome (FR-2),273600,25855,2605165,13485,1305205,12370,1299960
GoogleHome (FR-2),277200,26212,2705151,13779,1381926,12433,1323225
GoogleHome (FR-2),280800,25841,2594777,13402,1278278,12439,1316499
GoogleHome (FR-2),284400,29456,8084649,14956,1903155,14500,6181494
GoogleHome (FR-2),288000,20214,2241056,10719,1142018,9495,1099038
GoogleHome (FR-2),291600,25320,2726166,12952,1347875,12368,1378291
GoogleHome (FR-2),295200,25680,2600188,13221,1289756,12459,1310432
GoogleHome (FR-2),298800,25984,2639761,13570,1317698,12414,1322063
GoogleHome (FR-2),302400,25989,2669837,13551,1352534,12438,1317303
GoogleHome (FR-2),306000,26300,2649981,13593,1321866,12707,1328115
GoogleHome (FR-2),309600,28925,3512349,15256,1565383,13669,1946966
GoogleHome (FR-2),313200,26619,3020380,13687,1520831,12932,1499549
GoogleHome (FR-2),316800,24637,2947029,12778,1524598,11859,1422431
GoogleHome (FR-2),320400,26264,2694627,13566,1342080,12698,1352547
GoogleHome (FR-2),324000,26055,2616911,13540,1298137,12515,1318774
GoogleHome (FR-2),327600,26552,2762611,13923,1411115,12629,1351496
