Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
TPLink (FR-1),0,61,6786,38,3942,23,2844
TPLink (FR-1),3600,62,6840,38,3942,24,2898
TPLink (FR-1),7200,59,6678,38,3942,21,2736
TPLink (FR-1),10800,58,6624,38,3942,20,2682
TPLink (FR-1),14400,57,6498,37,3852,20,2646
TPLink (FR-1),18000,62,6912,39,4032,23,2880
TPLink (FR-1),21600,62,6840,38,3942,24,2898
TPLink (FR-1),25200,59,6678,38,3942,21,2736
TPLink (FR-1),28800,61,6786,38,3942,23,2844
TPLink (FR-1),32400,59,6678,38,3942,21,2736
TPLink (FR-1),36000,60,6732,38,3942,22,2790
TPLink (FR-1),39600,65,7348,40,4279,25,3069
TPLink (FR-1),43200,60,6732,38,3942,22,2790
TPLink (FR-1),46800,60,6732,38,3942,22,2790
TPLink (FR-1),50400,60,6732,38,3942,22,2790
TPLink (FR-1),54000,64,6948,38,3942,26,3006
TPLink (FR-1),57600,63,6894,38,3942,25,2952
TPLink (FR-1),61200,61,6786,38,3942,23,2844
TPLink (FR-1),64800,60,6732,38,3942,22,2790
TPLink (FR-1),68400,59,6678,38,3942,21,2736
TPLink (FR-1),72000,59,6678,38,3942,21,2736
TPLink (FR-1),75600,60,6732,38,3942,22,2790
TPLink (FR-1),79200,62,6840,38,3942,24,2898
TPLink (FR-1),82800,59,6678,38,3942,21,2736
TPLink (FR-1),86400,58,6624,38,3942,20,2682
TPLink (FR-1),90000,58,6624,38,3942,20,2682
TPLink (FR-1),93600,58,6624,38,3942,20,2682
TPLink (FR-1),97200,60,6732,38,3942,22,2790
TPLink (FR-1),100800,60,6732,38,3942,22,2790
TPLink (FR-1),104400,60,6732,38,3942,22,2790
TPLink (FR-1),108000,58,6624,38,3942,20,2682
TPLink (FR-1),111600,59,6678,38,3942,21,2736
TPLink (FR-1),115200,57,6498,37,3852,20,2646
TPLink (FR-1),118800,58,6624,38,3942,20,2682
TPLink (FR-1),122400,59,6678,38,3942,21,2736
TPLink (FR-1),126000,61,7132,40,4279,21,2853
TPLink (FR-1),129600,62,6840,38,3942,24,2898
TPLink (FR-1),133200,61,6786,38,3942,23,2844
TPLink (FR-1),136800,58,6624,38,3942,20,2682
TPLink (FR-1),140400,60,6732,38,3942,22,2790
TPLink (FR-1),144000,59,6678,38,3942,21,2736
TPLink (FR-1),147600,59,6678,38,3942,21,2736
TPLink (FR-1),151200,59,6678,38,3942,21,2736
TPLink (FR-1),154800,58,6624,38,3942,20,2682
TPLink (FR-1),158400,60,6732,38,3942,22,2790
TPLink (FR-1),162000,60,6732,38,3942,22,2790
TPLink (FR-1),165600,59,6678,38,3942,21,2736
TPLink (FR-1),169200,58,6624,38,3942,20,2682
TPLink (FR-1),172800,60,6732,38,3942,22,2790
TPLink (FR-1),176400,60,6732,38,3942,22,2790
TPLink (FR-1),180000,59,6678,38,3942,21,2736
TPLink (FR-1),183600,58,6624,38,3942,20,2682
TPLink (FR-1),187200,59,6678,38,3942,21,2736
TPLink (FR-1),190800,58,6624,38,3942,20,2682
TPLink (FR-1),194400,58,6624,38,3942,20,2682
TPLink (FR-1),198000,59,6678,38,3942,21,2736
TPLink (FR-1),201600,58,6624,38,3942,20,2682
TPLink (FR-1),205200,60,6732,38,3942,22,2790
TPLink (FR-1),208800,58,6624,38,3942,20,2682
TPLink (FR-1),212400,63,7240,40,4279,23,2961
TPLink (FR-1),216000,56,6444,37,3852,19,2592
TPLink (FR-1),219600,58,6624,38,3942,20,2682
TPLink (FR-1),223200,60,6732,38,3942,22,2790
TPLink (FR-1),226800,60,6732,38,3942,22,2790
TPLink (FR-1),230400,59,6678,38,3942,21,2736
TPLink (FR-1),234000,58,6624,38,3942,20,2682
TPLink (FR-1),237600,60,6732,38,3942,22,2790
TPLink (FR-1),241200,58,6624,38,3942,20,2682
TPLink (FR-1),244800,61,6786,38,3942,23,2844
TPLink (FR-1),248400,59,6678,38,3942,21,2736
TPLink (FR-1),252000,58,6624,38,3942,20,2682
TP2ndLink (FR-2),0,59,6678,38,3942,21,2736
TP2ndLink (FR-2),3600,59,6678,38,3942,21,2736
