Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
DreamGlassAir (US1-1),0,0,0,0,0,0,0
DreamGlassAir (US1-1),3600,0,0,0,0,0,0
DreamGlassAir (US1-1),7200,0,0,0,0,0,0
DreamGlassAir (US1-1),10800,0,0,0,0,0,0
DreamGlassAir (US1-1),14400,0,0,0,0,0,0
DreamGlassAir (US1-1),18000,0,0,0,0,0,0
DreamGlassAir (US1-1),21600,0,0,0,0,0,0
DreamGlassAir (US1-1),25200,0,0,0,0,0,0
DreamGlassAir (US1-1),28800,0,0,0,0,0,0
DreamGlassAir (US1-1),32400,0,0,0,0,0,0
DreamGlassAir (US1-1),36000,0,0,0,0,0,0
DreamGlassAir (US1-1),39600,0,0,0,0,0,0
DreamGlassAir (US1-1),43200,0,0,0,0,0,0
DreamGlassAir (US1-1),46800,0,0,0,0,0,0
DreamGlassAir (US1-1),50400,0,0,0,0,0,0
DreamGlassAir (US1-1),54000,0,0,0,0,0,0
DreamGlassAir (US1-1),57600,0,0,0,0,0,0
DreamGlassAir (US1-1),61200,16104,7870306,16104,7870306,0,0
DreamGlassAir (US1-1),64800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),68400,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),72000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),75600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),79200,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),82800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),86400,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),90000,16056,7845852,16056,7845852,0,0
DreamGlassAir (US1-1),93600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),97200,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),100800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),104400,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),108000,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),111600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),115200,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),118800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),122400,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),126000,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),129600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),133200,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),136800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),140400,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),144000,16056,7845852,16056,7845852,0,0
DreamGlassAir (US1-1),147600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),151200,16056,7845852,16056,7845852,0,0
DreamGlassAir (US1-1),154800,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),158400,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),162000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),165600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),169200,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),172800,16186,7910859,16186,7910859,0,0
DreamGlassAir (US1-1),176400,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),180000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),183600,16056,7845852,16056,7845852,0,0
DreamGlassAir (US1-1),187200,16191,7912774,16191,7912774,0,0
DreamGlassAir (US1-1),190800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),194400,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),198000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),201600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),205200,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),208800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),212400,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),216000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),219600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),223200,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),226800,16054,7843248,16054,7843248,0,0
DreamGlassAir (US1-1),230400,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),234000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),237600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),241200,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),244800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),248400,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),252000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),255600,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),259200,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),262800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),266400,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),270000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),273600,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),277200,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),280800,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),284400,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),288000,16056,7845852,16056,7845852,0,0
DreamGlassAir (US1-1),291600,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),295200,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),298800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),302400,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),306000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),309600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),313200,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),316800,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),320400,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),324000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),327600,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),331200,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),334800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),338400,16054,7843248,16054,7843248,0,0
DreamGlassAir (US1-1),342000,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),345600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),349200,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),352800,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),356400,16192,7913184,16192,7913184,0,0
DreamGlassAir (US1-1),360000,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),363600,16190,7910580,16190,7910580,0,0
DreamGlassAir (US1-1),367200,16190,7910580,16190,7910580,0,0
