Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
PhillipsBridge (US1-1),0,4294,976164,2584,833550,1710,142614
PhillipsBridge (US1-1),3600,4451,1010811,2691,864028,1760,146783
PhillipsBridge (US1-1),7200,4293,976092,2583,833478,1710,142614
PhillipsBridge (US1-1),10800,4437,1005729,2677,858946,1760,146783
PhillipsBridge (US1-1),14400,4358,989280,2618,844164,1740,145116
PhillipsBridge (US1-1),18000,4426,1002381,2666,855598,1760,146783
PhillipsBridge (US1-1),21600,4318,984354,2608,841740,1710,142614
PhillipsBridge (US1-1),25200,4438,1005801,2678,859018,1760,146783
PhillipsBridge (US1-1),28800,4291,975234,2581,832620,1710,142614
PhillipsBridge (US1-1),32400,4288,975018,2578,832404,1710,142614
PhillipsBridge (US1-1),36000,4500,1019409,2710,870124,1790,149285
PhillipsBridge (US1-1),39600,4307,980292,2597,837678,1710,142614
PhillipsBridge (US1-1),43200,4432,1004655,2672,857872,1760,146783
PhillipsBridge (US1-1),46800,4288,974136,2578,831522,1710,142614
PhillipsBridge (US1-1),50400,4448,1010595,2688,863812,1760,146783
PhillipsBridge (US1-1),54000,4293,975378,2583,832764,1710,142614
PhillipsBridge (US1-1),57600,4404,1002987,2674,858706,1730,144281
PhillipsBridge (US1-1),61200,4383,997302,2643,852186,1740,145116
PhillipsBridge (US1-1),64800,4395,995733,2649,850135,1746,145598
PhillipsBridge (US1-1),68400,4289,974922,2579,832308,1710,142614
PhillipsBridge (US1-1),72000,4440,1006827,2680,860044,1760,146783
PhillipsBridge (US1-1),75600,4264,974430,2583,834252,1681,140178
PhillipsBridge (US1-1),79200,4387,996123,2650,851392,1737,144731
PhillipsBridge (US1-1),82800,4316,983338,2605,840658,1711,142680
PhillipsBridge (US1-1),86400,4487,1014483,2697,865198,1790,149285
PhillipsBridge (US1-1),90000,4295,976314,2585,833700,1710,142614
PhillipsBridge (US1-1),93600,4432,1003773,2672,856990,1760,146783
PhillipsBridge (US1-1),97200,4301,978978,2591,836364,1710,142614
PhillipsBridge (US1-1),100800,4436,1006371,2676,859588,1760,146783
PhillipsBridge (US1-1),104400,4353,987960,2613,842844,1740,145116
PhillipsBridge (US1-1),108000,4451,1010811,2691,864028,1760,146783
PhillipsBridge (US1-1),111600,4291,975066,2581,832452,1710,142614
PhillipsBridge (US1-1),115200,4451,1010607,2690,863770,1761,146837
PhillipsBridge (US1-1),118800,4298,978048,2588,835434,1710,142614
PhillipsBridge (US1-1),122400,4424,1001517,2664,854734,1760,146783
PhillipsBridge (US1-1),126000,4386,998400,2646,853284,1740,145116
PhillipsBridge (US1-1),129600,4465,1015011,2705,868228,1760,146783
PhillipsBridge (US1-1),133200,4311,981753,2601,839139,1710,142614
PhillipsBridge (US1-1),136800,4423,1001952,2663,855169,1760,146783
PhillipsBridge (US1-1),140400,4302,978330,2591,835650,1711,142680
PhillipsBridge (US1-1),144000,4370,994050,2630,848934,1740,145116
PhillipsBridge (US1-1),147600,4415,998469,2654,851620,1761,146849
PhillipsBridge (US1-1),151200,4295,976950,2585,834336,1710,142614
PhillipsBridge (US1-1),154800,4455,1012527,2695,865744,1760,146783
PhillipsBridge (US1-1),158400,4301,978258,2590,835578,1711,142680
PhillipsBridge (US1-1),162000,4458,1012191,2697,865342,1761,146849
PhillipsBridge (US1-1),165600,4340,991530,2630,848916,1710,142614
PhillipsBridge (US1-1),169200,4506,1020723,2716,871438,1790,149285
PhillipsBridge (US1-1),172800,4306,980220,2596,837606,1710,142614
PhillipsBridge (US1-1),176400,4425,1010085,2695,865804,1730,144281
PhillipsBridge (US1-1),180000,4321,985374,2611,842760,1710,142614
PhillipsBridge (US1-1),183600,4376,995250,2635,850080,1741,145170
PhillipsBridge (US1-1),187200,4323,986400,2613,843786,1710,142614
PhillipsBridge (US1-1),190800,4319,984348,2609,841734,1710,142614
PhillipsBridge (US1-1),194400,4312,982248,2602,839634,1710,142614
PhillipsBridge (US1-1),198000,4416,998625,2656,851842,1760,146783
PhillipsBridge (US1-1),201600,4299,978120,2589,835506,1710,142614
PhillipsBridge (US1-1),205200,4490,1015497,2700,866212,1790,149285
PhillipsBridge (US1-1),208800,4318,984276,2608,841662,1710,142614
PhillipsBridge (US1-1),212400,4434,1005513,2674,858730,1760,146783
PhillipsBridge (US1-1),216000,4306,980220,2596,837606,1710,142614
PhillipsBridge (US1-1),219600,4366,992088,2626,846972,1740,145116
PhillipsBridge (US1-1),223200,4322,985524,2612,842910,1710,142614
PhillipsBridge (US1-1),226800,4301,978228,2590,835560,1711,142668
PhillipsBridge (US1-1),230400,4432,1005201,2672,858418,1760,146783
PhillipsBridge (US1-1),234000,4304,979362,2594,836748,1710,142614
PhillipsBridge (US1-1),237600,4463,1014153,2703,867370,1760,146783
PhillipsBridge (US1-1),241200,4380,997170,2640,852054,1740,145116
PhillipsBridge (US1-1),244800,4362,992803,2645,849815,1717,142988
PhillipsBridge (US1-1),248400,4279,974442,2579,832761,1700,141681
PhillipsBridge (US1-1),252000,4303,979122,2593,836508,1710,142614
PhillipsBridge (US1-1),255600,4291,975948,2581,833334,1710,142614
PhillipsBridge (US1-1),259200,4276,969990,2566,827376,1710,142614
PhillipsBridge (US1-1),262800,4358,989916,2618,844800,1740,145116
PhillipsBridge (US1-1),266400,4452,1010883,2692,864100,1760,146783
PhillipsBridge (US1-1),270000,4284,972966,2574,830352,1710,142614
PhillipsBridge (US1-1),273600,4471,1016289,2710,869452,1761,146837
PhillipsBridge (US1-1),277200,4324,985590,2614,842976,1710,142614
PhillipsBridge (US1-1),280800,4359,989274,2619,844158,1740,145116
PhillipsBridge (US1-1),284400,4421,1001463,2661,854680,1760,146783
PhillipsBridge (US1-1),288000,4310,981390,2600,838776,1710,142614
PhillipsBridge (US1-1),291600,4323,986232,2613,843618,1710,142614
PhillipsBridge (US1-1),295200,4307,980292,2597,837678,1710,142614
PhillipsBridge (US1-1),298800,4456,1012767,2696,865984,1760,146783
PhillipsBridge (US1-1),302400,4362,990366,2621,845184,1741,145182
PhillipsBridge (US1-1),306000,4434,1005513,2674,858730,1760,146783
PhillipsBridge (US1-1),309600,4320,984378,2608,841644,1712,142734
PhillipsBridge (US1-1),313200,4284,973044,2574,830430,1710,142614
PhillipsBridge (US1-1),316800,4378,995598,2638,850482,1740,145116
PhillipsBridge (US1-1),320400,4413,997617,2653,850834,1760,146783
PhillipsBridge (US1-1),324000,4288,974850,2578,832236,1710,142614
PhillipsBridge (US1-1),327600,4313,982398,2603,839784,1710,142614
PhillipsBridge (US1-1),331200,4358,989916,2618,844800,1740,145116
PhillipsBridge (US1-1),334800,4300,978192,2590,835578,1710,142614
PhillipsBridge (US1-1),338400,4440,1007541,2680,860758,1760,146783
PhillipsBridge (US1-1),342000,4289,974922,2579,832308,1710,142614
PhillipsBridge (US1-1),345600,4326,987162,2616,844548,1710,142614
PhillipsBridge (US1-1),349200,4353,987960,2613,842844,1740,145116
