Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
PhillipsBridge (US1-1),0,5089,1064060,3033,892584,2056,171476
PhillipsBridge (US1-1),3600,5201,1092148,3120,922292,2081,169856
PhillipsBridge (US1-1),7200,5150,1111034,3066,931579,2084,179455
PhillipsBridge (US1-1),10800,5181,1087754,3100,914899,2081,172855
PhillipsBridge (US1-1),14400,5162,1089070,3077,912923,2085,176147
PhillipsBridge (US1-1),18000,5104,1072208,3047,904548,2057,167660
PhillipsBridge (US1-1),21600,5013,1058245,3004,894538,2009,163707
PhillipsBridge (US1-1),25200,5170,1086857,3096,914596,2074,172261
PhillipsBridge (US1-1),28800,4985,1051531,2980,888184,2005,163347
PhillipsBridge (US1-1),32400,4990,1052029,2981,888322,2009,163707
PhillipsBridge (US1-1),36000,5179,1091862,3095,921958,2084,169904
PhillipsBridge (US1-1),39600,5021,1059683,3004,892221,2017,167462
PhillipsBridge (US1-1),43200,5122,1080554,3068,913164,2054,167390
PhillipsBridge (US1-1),46800,4969,1046839,2967,883690,2002,163149
PhillipsBridge (US1-1),50400,5140,1086640,3085,919160,2055,167480
PhillipsBridge (US1-1),54000,5015,1058138,3000,890784,2015,167354
PhillipsBridge (US1-1),57600,5091,1076160,3067,911236,2024,164924
PhillipsBridge (US1-1),61200,5073,1070869,3036,904869,2037,166000
PhillipsBridge (US1-1),64800,5406,1128553,3213,934515,2193,194038
PhillipsBridge (US1-1),68400,4994,1050939,2976,883423,2018,167516
PhillipsBridge (US1-1),72000,5133,1083040,3079,915614,2054,167426
PhillipsBridge (US1-1),75600,4953,1048490,2974,886656,1979,161834
PhillipsBridge (US1-1),79200,5067,1068628,3036,903290,2031,165338
PhillipsBridge (US1-1),82800,5147,1089880,3075,907452,2072,182428
PhillipsBridge (US1-1),86400,5206,1094619,3107,920342,2099,174277
PhillipsBridge (US1-1),90000,4976,1048915,2973,885784,2003,163131
PhillipsBridge (US1-1),93600,5273,1131677,3148,949107,2125,182570
PhillipsBridge (US1-1),97200,5009,1055331,2990,887689,2019,167642
PhillipsBridge (US1-1),100800,5189,1095916,3099,919368,2090,176548
PhillipsBridge (US1-1),104400,5031,1060323,2999,894744,2032,165579
PhillipsBridge (US1-1),108000,5146,1087166,3091,919686,2055,167480
PhillipsBridge (US1-1),111600,4995,1051202,2979,883794,2016,167408
PhillipsBridge (US1-1),115200,5120,1079662,3067,912362,2053,167300
PhillipsBridge (US1-1),118800,5074,1072619,3028,895337,2046,177282
PhillipsBridge (US1-1),122400,5201,1093445,3100,911725,2101,181720
PhillipsBridge (US1-1),126000,5113,1081433,3065,911379,2048,170054
PhillipsBridge (US1-1),129600,5157,1091136,3104,923800,2053,167336
PhillipsBridge (US1-1),133200,4995,1055805,2993,892764,2002,163041
PhillipsBridge (US1-1),136800,5101,1073094,3046,905614,2055,167480
PhillipsBridge (US1-1),140400,5024,1058380,3002,890600,2022,167780
PhillipsBridge (US1-1),144000,5052,1066783,3018,901000,2034,165783
PhillipsBridge (US1-1),147600,5092,1068458,3034,900677,2058,167781
PhillipsBridge (US1-1),151200,5123,1075625,3046,898764,2077,176861
PhillipsBridge (US1-1),154800,5168,1090037,3095,917213,2073,172824
PhillipsBridge (US1-1),158400,4984,1050941,2979,887690,2005,163251
PhillipsBridge (US1-1),162000,5162,1091894,3107,924402,2055,167492
PhillipsBridge (US1-1),165600,5034,1067779,3030,904534,2004,163245
PhillipsBridge (US1-1),169200,5254,1109323,3144,933849,2110,175474
PhillipsBridge (US1-1),172800,5024,1060296,3004,892600,2020,167696
PhillipsBridge (US1-1),176400,5105,1082566,3083,917858,2022,164708
PhillipsBridge (US1-1),180000,5165,1116304,3094,938119,2071,178185
PhillipsBridge (US1-1),183600,5103,1078289,3054,908157,2049,170132
PhillipsBridge (US1-1),187200,5102,1086009,3063,913648,2039,172361
PhillipsBridge (US1-1),190800,5002,1057093,2998,893908,2004,163185
PhillipsBridge (US1-1),194400,4998,1055333,2994,892076,2004,163257
PhillipsBridge (US1-1),198000,5124,1075033,3056,903312,2068,171721
PhillipsBridge (US1-1),201600,4976,1050393,2975,887406,2001,162987
PhillipsBridge (US1-1),205200,5274,1110679,3146,926641,2128,184038
PhillipsBridge (US1-1),208800,5001,1057067,2997,893822,2004,163245
PhillipsBridge (US1-1),212400,5153,1085250,3082,913331,2071,171919
PhillipsBridge (US1-1),216000,4985,1052675,2983,889598,2002,163077
PhillipsBridge (US1-1),219600,5051,1065083,3018,899414,2033,165669
PhillipsBridge (US1-1),223200,5016,1061761,3013,898630,2003,163131
PhillipsBridge (US1-1),226800,5020,1058076,3000,890416,2020,167660
PhillipsBridge (US1-1),230400,5092,1070910,3038,903520,2054,167390
PhillipsBridge (US1-1),234000,5006,1057328,2996,892847,2010,164481
PhillipsBridge (US1-1),237600,5488,1153410,3285,958434,2203,194976
PhillipsBridge (US1-1),241200,5104,1079969,3056,909891,2048,170078
PhillipsBridge (US1-1),244800,5043,1065438,3033,901897,2010,163541
PhillipsBridge (US1-1),248400,4955,1046621,2963,884477,1992,162144
PhillipsBridge (US1-1),252000,4978,1048721,2974,885464,2004,163257
PhillipsBridge (US1-1),255600,5021,1060103,2995,891927,2026,168176
PhillipsBridge (US1-1),259200,4973,1043220,2955,875668,2018,167552
PhillipsBridge (US1-1),262800,5040,1062637,3006,896878,2034,165759
PhillipsBridge (US1-1),266400,5289,1141402,3169,959138,2120,182264
PhillipsBridge (US1-1),270000,4995,1049489,2974,881739,2021,167750
PhillipsBridge (US1-1),273600,5256,1116148,3166,939672,2090,176476
PhillipsBridge (US1-1),277200,5024,1062401,3019,899090,2005,163311
PhillipsBridge (US1-1),280800,5053,1065513,3019,899790,2034,165723
PhillipsBridge (US1-1),284400,5175,1088941,3088,912555,2087,176386
PhillipsBridge (US1-1),288000,5001,1057435,2999,894334,2002,163101
PhillipsBridge (US1-1),291600,5105,1081261,3057,903896,2048,177365
PhillipsBridge (US1-1),295200,4991,1053109,2987,889900,2004,163209
PhillipsBridge (US1-1),298800,5186,1096100,3119,924433,2067,171667
PhillipsBridge (US1-1),302400,5064,1069819,3029,904030,2035,165789
PhillipsBridge (US1-1),306000,5111,1077784,3059,910538,2052,167246
PhillipsBridge (US1-1),309600,5003,1057161,2997,893784,2006,163377
PhillipsBridge (US1-1),313200,4998,1050689,2976,882124,2022,168565
PhillipsBridge (US1-1),316800,5091,1078607,3057,912848,2034,165759
PhillipsBridge (US1-1),320400,5101,1071030,3044,903351,2057,167679
PhillipsBridge (US1-1),324000,5120,1073848,3040,896753,2080,177095
PhillipsBridge (US1-1),327600,5027,1061721,3009,894241,2018,167480
PhillipsBridge (US1-1),331200,5040,1062601,3005,896788,2035,165813
PhillipsBridge (US1-1),334800,4983,1051007,2979,887750,2004,163257
PhillipsBridge (US1-1),338400,5121,1080184,3068,912824,2053,167360
PhillipsBridge (US1-1),342000,5013,1056400,2986,887831,2027,168569
PhillipsBridge (US1-1),345600,5033,1063720,3014,896114,2019,167606
PhillipsBridge (US1-1),349200,5034,1060593,3002,895014,2032,165579
PhillipsBridge (US1-1),352800,5276,1135319,3155,952905,2121,182414
PhillipsBridge (US1-1),356400,5035,1062381,3014,894631,2021,167750
PhillipsBridge (US1-1),360000,5213,1102666,3123,926154,2090,176512
PhillipsBridge (US1-1),363600,4997,1055459,2991,892082,2006,163377
PhillipsBridge (US1-1),367200,4978,1048889,2973,885650,2005,163239
PhillipsBridge (US1-1),370800,5168,1091215,3100,919494,2068,171721
PhillipsBridge (US1-1),374400,4997,1055207,2993,891986,2004,163221
PhillipsBridge (US1-1),378000,5083,1074700,3034,897316,2049,177384
PhillipsBridge (US1-1),381600,5009,1059667,3007,896554,2002,163113
PhillipsBridge (US1-1),385200,5127,1076286,3057,904421,2070,171865
PhillipsBridge (US1-1),388800,5027,1058631,2994,892962,2033,165669
PhillipsBridge (US1-1),392400,5119,1085881,3086,919563,2033,166318
PhillipsBridge (US1-1),396000,5006,1057525,3003,894358,2003,163167
PhillipsBridge (US1-1),399600,5038,1064676,3020,897124,2018,167552
PhillipsBridge (US1-1),403200,5011,1059713,3008,896582,2003,163131
PhillipsBridge (US1-1),406800,5031,1062053,3009,897256,2022,164797
PhillipsBridge (US1-1),410400,5298,1114726,3170,933569,2128,181157
PhillipsBridge (US1-1),414000,5010,1053971,2986,886083,2024,167888
PhillipsBridge (US1-1),417600,4959,1042169,2956,879002,2003,163167
PhillipsBridge (US1-1),421200,4999,1058447,2996,895280,2003,163167
PhillipsBridge (US1-1),424800,5006,1059799,3004,896698,2002,163101
PhillipsBridge (US1-1),428400,5074,1067971,3017,897203,2057,170768
PhillipsBridge (US1-1),432000,5180,1094263,3109,922368,2071,171895
PhillipsBridge (US1-1),435600,4963,1045931,2960,882764,2003,163167
PhillipsBridge (US1-1),439200,5150,1112155,3081,934078,2069,178077
PhillipsBridge (US1-1),442800,5142,1080904,3072,909075,2070,171829
PhillipsBridge (US1-1),446400,5053,1065621,3009,892990,2044,172631
PhillipsBridge (US1-1),450000,5169,1089488,3087,919740,2082,169748
PhillipsBridge (US1-1),453600,4990,1053125,2986,889868,2004,163257
PhillipsBridge (US1-1),457200,5011,1057108,2992,889502,2019,167606
PhillipsBridge (US1-1),460800,4951,1040275,2948,877144,2003,163131
PhillipsBridge (US1-1),464400,5141,1086551,3063,906659,2078,179892
PhillipsBridge (US1-1),468000,5137,1084890,3084,917554,2053,167336
