Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Netvue (US1-2),0,309,51108,199,33388,110,17720
Netvue (US1-2),3600,300,46159,187,22902,113,23257
Netvue (US1-2),7200,286,39993,182,22604,104,17389
Netvue (US1-2),10800,297,46031,188,23035,109,22996
Netvue (US1-2),14400,298,46033,187,22903,111,23130
Netvue (US1-2),18000,299,46258,189,23184,110,23074
Netvue (US1-2),21600,320,54624,201,24454,119,30170
Netvue (US1-2),25200,295,45727,187,22795,108,22932
Netvue (US1-2),28800,297,45869,188,22873,109,22996
Netvue (US1-2),32400,326,54765,204,25181,122,29584
Netvue (US1-2),36000,346,62873,216,27081,130,35792
Netvue (US1-2),39600,312,48883,196,25015,116,23868
Netvue (US1-2),43200,323,54925,201,25382,122,29543
Netvue (US1-2),46800,299,46667,189,23607,110,23060
Netvue (US1-2),50400,295,46076,187,23144,108,22932
Netvue (US1-2),54000,295,45871,187,22939,108,22932
Netvue (US1-2),57600,298,45934,190,22992,108,22942
Netvue (US1-2),61200,296,46091,187,23081,109,23010
Netvue (US1-2),64800,301,46211,188,22951,113,23260
Netvue (US1-2),68400,299,46177,187,22993,112,23184
Netvue (US1-2),72000,303,47305,190,23427,113,23878
Netvue (US1-2),75600,299,46659,189,23585,110,23074
Netvue (US1-2),79200,290,40028,182,22399,108,17629
Netvue (US1-2),82800,297,46227,187,23165,110,23062
Netvue (US1-2),86400,295,45711,187,22779,108,22932
Netvue (US1-2),90000,296,45919,187,22909,109,23010
Netvue (US1-2),93600,299,45980,188,22840,111,23140
Netvue (US1-2),97200,311,46795,199,23597,112,23198
Netvue (US1-2),100800,298,46205,187,23086,111,23119
Netvue (US1-2),104400,299,47142,189,24089,110,23053
Netvue (US1-2),108000,298,46187,188,23122,110,23065
Netvue (US1-2),111600,295,45704,187,22758,108,22946
Netvue (US1-2),115200,296,45857,187,22857,109,23000
Netvue (US1-2),118800,321,54400,202,25042,119,29358
Netvue (US1-2),122400,349,62977,216,26972,133,36005
Netvue (US1-2),126000,372,72163,231,29142,141,43021
Netvue (US1-2),129600,321,54757,202,25398,119,29359
Netvue (US1-2),133200,300,46801,188,23616,112,23185
Netvue (US1-2),136800,292,40230,185,22622,107,17608
Netvue (US1-2),140400,297,45908,188,22896,109,23012
Netvue (US1-2),144000,297,46120,188,23109,109,23011
Netvue (US1-2),147600,300,46796,187,23577,113,23219
Netvue (US1-2),151200,299,46022,187,22824,112,23198
Netvue (US1-2),154800,295,45934,187,23000,108,22934
Netvue (US1-2),158400,294,45685,187,22805,107,22880
Netvue (US1-2),162000,300,46293,188,23096,112,23197
Netvue (US1-2),165600,296,45745,187,22757,109,22988
Netvue (US1-2),169200,297,45999,188,22987,109,23012
Netvue (US1-2),172800,296,46121,188,23187,108,22934
Netvue (US1-2),176400,295,45713,188,22833,107,22880
Netvue (US1-2),180000,297,46004,187,22938,110,23066
Netvue (US1-2),183600,297,46230,188,23231,109,22999
Netvue (US1-2),187200,296,45902,188,22957,108,22945
Netvue (US1-2),190800,296,46044,187,23032,109,23012
Netvue (US1-2),194400,286,39936,182,22545,104,17391
Netvue (US1-2),198000,296,46004,187,23004,109,23000
Netvue (US1-2),201600,299,46054,189,22989,110,23065
Netvue (US1-2),205200,350,62724,218,26774,132,35950
Netvue (US1-2),208800,341,58043,211,27538,130,30505
Netvue (US1-2),212400,347,63020,216,27171,131,35849
Netvue (US1-2),216000,368,70765,229,28664,139,42101
Netvue (US1-2),219600,297,46735,187,23693,110,23042
Netvue (US1-2),223200,296,45697,188,22752,108,22945
Netvue (US1-2),226800,296,45875,187,22863,109,23012
Netvue (US1-2),230400,315,49332,198,24597,117,24735
Netvue (US1-2),234000,294,45836,187,22956,107,22880
Netvue (US1-2),237600,295,45846,187,22912,108,22934
Netvue (US1-2),241200,301,46205,190,23043,111,23162
Netvue (US1-2),244800,297,46033,188,23021,109,23012
Netvue (US1-2),248400,295,45868,187,22934,108,22934
Netvue (US1-2),252000,295,45912,187,22978,108,22934
Netvue (US1-2),255600,296,46046,188,23101,108,22945
Netvue (US1-2),259200,294,45745,187,22865,107,22880
Netvue (US1-2),262800,297,45875,188,22876,109,22999
Netvue (US1-2),266400,299,46107,188,22987,111,23120
Netvue (US1-2),270000,298,46065,188,22988,110,23077
Netvue (US1-2),273600,297,45767,187,22725,110,23042
Netvue (US1-2),277200,296,46073,187,23061,109,23012
Netvue (US1-2),280800,295,45712,187,22778,108,22934
Netvue (US1-2),284400,294,45635,187,22755,107,22880
Netvue (US1-2),288000,296,45866,188,22921,108,22945
Netvue (US1-2),291600,369,70529,231,28472,138,42057
Netvue (US1-2),295200,320,54588,202,25283,118,29305
Netvue (US1-2),298800,346,63004,216,27208,130,35796
Netvue (US1-2),302400,345,62687,216,26946,129,35741
Netvue (US1-2),306000,296,46493,187,23481,109,23012
Netvue (US1-2),309600,294,40460,186,22831,108,17629
Netvue (US1-2),313200,295,46690,187,23756,108,22934
Netvue (US1-2),316800,295,45900,188,23020,107,22880
Netvue (US1-2),320400,297,45935,188,22936,109,22999
Netvue (US1-2),324000,298,45893,189,22905,109,22988
Netvue (US1-2),327600,290,40084,184,22561,106,17523
Netvue (US1-2),331200,297,45882,188,22883,109,22999
Netvue (US1-2),334800,295,46096,187,23162,108,22934
Netvue (US1-2),338400,314,48785,198,24115,116,24670
Netvue (US1-2),342000,294,45854,186,22920,108,22934
Netvue (US1-2),345600,301,46173,189,22944,112,23229
Netvue (US1-2),349200,296,46030,188,23085,108,22945
Netvue (US1-2),352800,318,48436,200,24308,118,24128
Netvue (US1-2),356400,297,46443,186,23335,111,23108
Netvue (US1-2),360000,297,46002,188,22991,109,23011
