Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Govee (US1-2),0,179,17742,120,10518,59,7224
Govee (US1-2),3600,179,17604,118,10341,61,7263
Govee (US1-2),7200,179,17604,117,10287,62,7317
Govee (US1-2),10800,201,20271,130,11659,71,8612
Govee (US1-2),14400,177,17496,117,10287,60,7209
Govee (US1-2),18000,177,17496,118,10341,59,7155
Govee (US1-2),21600,179,17604,118,10341,61,7263
Govee (US1-2),25200,203,20517,131,11782,72,8735
Govee (US1-2),28800,177,17496,118,10341,59,7155
Govee (US1-2),32400,175,17388,117,10287,58,7101
Govee (US1-2),36000,179,17604,118,10341,61,7263
Govee (US1-2),39600,203,20379,130,11659,73,8720
Govee (US1-2),43200,176,17442,117,10287,59,7155
Govee (US1-2),46800,179,17604,118,10341,61,7263
Govee (US1-2),50400,182,17904,119,10464,63,7440
Govee (US1-2),54000,200,20218,130,11659,70,8559
Govee (US1-2),57600,176,17442,118,10341,58,7101
Govee (US1-2),61200,176,17442,117,10287,59,7155
Govee (US1-2),64800,178,17550,118,10341,60,7209
Govee (US1-2),68400,198,20110,129,11605,69,8505
Govee (US1-2),72000,178,17550,118,10341,60,7209
Govee (US1-2),75600,180,17796,120,10518,60,7278
Govee (US1-2),79200,176,17442,117,10287,59,7155
Govee (US1-2),82800,201,20271,130,11659,71,8612
Govee (US1-2),86400,175,17388,117,10287,58,7101
Govee (US1-2),90000,180,17658,118,10341,62,7317
Govee (US1-2),93600,176,17442,118,10341,58,7101
Govee (US1-2),97200,199,20163,129,11605,70,8558
Govee (US1-2),100800,179,17742,120,10518,59,7224
Govee (US1-2),104400,175,17388,117,10287,58,7101
Govee (US1-2),108000,176,17442,118,10341,58,7101
Govee (US1-2),111600,200,20217,130,11659,70,8558
Govee (US1-2),115200,177,17496,117,10287,60,7209
Govee (US1-2),118800,178,17550,118,10341,60,7209
Govee (US1-2),122400,175,17388,117,10287,58,7101
Govee (US1-2),126000,202,20463,132,11836,70,8627
Govee (US1-2),129600,176,17442,118,10341,58,7101
Govee (US1-2),133200,177,17496,117,10287,60,7209
Govee (US1-2),136800,181,17712,118,10341,63,7371
Govee (US1-2),140400,201,20271,130,11659,71,8612
Govee (US1-2),144000,178,17550,118,10341,60,7209
Govee (US1-2),147600,176,17442,118,10341,58,7101
Govee (US1-2),151200,181,17886,120,10554,61,7332
Govee (US1-2),154800,199,20163,130,11659,69,8504
Govee (US1-2),158400,175,17388,117,10287,58,7101
Govee (US1-2),162000,176,17442,118,10341,58,7101
Govee (US1-2),165600,176,17442,118,10341,58,7101
Govee (US1-2),169200,201,20271,130,11659,71,8612
Govee (US1-2),172800,176,17442,118,10341,58,7101
Govee (US1-2),176400,181,17850,119,10464,62,7386
Govee (US1-2),180000,182,17766,118,10341,64,7425
Govee (US1-2),183600,200,20217,130,11659,70,8558
Govee (US1-2),187200,175,17388,117,10287,58,7101
Govee (US1-2),190800,180,17658,118,10341,62,7317
Govee (US1-2),194400,175,17388,117,10287,58,7101
Govee (US1-2),198000,202,20325,131,11713,71,8612
Govee (US1-2),201600,180,17796,120,10518,60,7278
Govee (US1-2),205200,180,17658,117,10287,63,7371
Govee (US1-2),208800,179,17604,118,10341,61,7263
Govee (US1-2),212400,199,20163,129,11605,70,8558
Govee (US1-2),216000,177,17496,118,10341,59,7155
Govee (US1-2),219600,178,17550,118,10341,60,7209
Govee (US1-2),223200,176,17442,117,10287,59,7155
Govee (US1-2),226800,205,20625,132,11836,73,8789
Govee (US1-2),230400,179,17604,117,10287,62,7317
Govee (US1-2),234000,178,17550,118,10341,60,7209
Govee (US1-2),237600,177,17496,118,10341,59,7155
Govee (US1-2),241200,198,20109,129,11605,69,8504
Govee (US1-2),244800,183,17820,118,10341,65,7479
Govee (US1-2),248400,178,17550,117,10287,61,7263
Govee (US1-2),252000,178,17550,118,10341,60,7209
Govee (US1-2),255600,202,20463,132,11836,70,8627
Govee (US1-2),259200,175,17388,117,10287,58,7101
Govee (US1-2),262800,176,17442,118,10341,58,7101
Govee (US1-2),266400,177,17496,117,10287,60,7209
Govee (US1-2),270000,203,20379,130,11659,73,8720
Govee (US1-2),273600,175,17388,117,10287,58,7101
Govee (US1-2),277200,178,17550,118,10341,60,7209
Govee (US1-2),280800,181,17850,120,10518,61,7332
Govee (US1-2),284400,200,20217,129,11605,71,8612
Govee (US1-2),288000,176,17442,118,10341,58,7101
Govee (US1-2),291600,176,17442,117,10287,59,7155
Govee (US1-2),295200,179,17604,118,10341,61,7263
Govee (US1-2),298800,202,20325,130,11659,72,8666
Govee (US1-2),302400,177,17496,117,10287,60,7209
Govee (US1-2),306000,180,17796,120,10518,60,7278
Govee (US1-2),309600,176,17442,117,10287,59,7155
Govee (US1-2),313200,204,20433,130,11659,74,8774
Govee (US1-2),316800,176,17442,118,10341,58,7101
Govee (US1-2),320400,179,17604,117,10287,62,7317
Govee (US1-2),324000,180,17658,118,10341,62,7317
Govee (US1-2),327600,199,20163,129,11605,70,8558
Govee (US1-2),331200,180,17796,120,10518,60,7278
Govee (US1-2),334800,179,17604,118,10341,61,7263
Govee (US1-2),338400,179,17604,117,10287,62,7317
Govee (US1-2),342000,201,20271,130,11659,71,8612
Govee (US1-2),345600,176,17442,117,10287,59,7155
Govee (US1-2),349200,176,17442,118,10341,58,7101
Govee (US1-2),352800,179,17604,118,10341,61,7263
Govee (US1-2),356400,201,20409,131,11782,70,8627
Govee (US1-2),360000,177,17496,118,10341,59,7155
Govee (US1-2),363600,180,17658,117,10287,63,7371
Govee (US1-2),367200,177,17496,118,10341,59,7155
Govee (US1-2),370800,200,20217,130,11659,70,8558
Govee (US1-2),374400,176,17442,117,10287,59,7155
Govee (US1-2),378000,176,17442,118,10341,58,7101
Govee (US1-2),381600,185,18066,119,10464,66,7602
Govee (US1-2),385200,202,20325,131,11713,71,8612
Govee (US1-2),388800,178,17550,118,10341,60,7209
Govee (US1-2),392400,175,17388,117,10287,58,7101
Govee (US1-2),396000,178,17550,118,10341,60,7209
Govee (US1-2),399600,217,29084,138,15073,79,14011
Govee (US1-2),403200,198,26614,128,13899,70,12715
Govee (US1-2),406800,176,17442,118,10341,58,7101
Govee (US1-2),410400,175,17388,117,10287,58,7101
Govee (US1-2),414000,201,20271,130,11659,71,8612
Govee (US1-2),417600,178,17550,117,10287,61,7263
Govee (US1-2),421200,179,17742,120,10518,59,7224
Govee (US1-2),424800,176,17442,118,10341,58,7101
Govee (US1-2),428400,198,20109,129,11605,69,8504
Govee (US1-2),432000,176,17442,118,10341,58,7101
Govee (US1-2),435600,175,17388,117,10287,58,7101
Govee (US1-2),439200,176,17442,118,10341,58,7101
