Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
EchoDot5 (US1-1),0,6,468,6,468,0,0
EchoDot5 (US1-1),3600,178,33592,89,8358,89,25234
EchoDot5 (US1-1),7200,6,468,6,468,0,0
EchoDot5 (US1-1),10800,178,33592,89,8358,89,25234
EchoDot5 (US1-1),14400,6,468,6,468,0,0
EchoDot5 (US1-1),18000,178,33592,89,8358,89,25234
EchoDot5 (US1-1),21600,6,468,6,468,0,0
EchoDot5 (US1-1),25200,160,30322,74,7026,86,23296
EchoDot5 (US1-1),28800,24,3738,21,1800,3,1938
EchoDot5 (US1-1),32400,11,863,11,863,0,0
EchoDot5 (US1-1),36000,173,33197,84,7963,89,25234
EchoDot5 (US1-1),39600,11,863,11,863,0,0
EchoDot5 (US1-1),43200,173,33197,84,7963,89,25234
EchoDot5 (US1-1),46800,11,863,11,863,0,0
EchoDot5 (US1-1),50400,173,33197,84,7963,89,25234
EchoDot5 (US1-1),54000,11,863,11,863,0,0
EchoDot5 (US1-1),57600,173,33197,84,7963,89,25234
EchoDot5 (US1-1),61200,29,4133,26,2195,3,1938
EchoDot5 (US1-1),64800,155,29927,69,6631,86,23296
EchoDot5 (US1-1),68400,29,4133,26,2195,3,1938
EchoDot5 (US1-1),72000,155,29927,69,6631,86,23296
EchoDot5 (US1-1),75600,29,4133,26,2195,3,1938
EchoDot5 (US1-1),79200,155,29927,69,6631,86,23296
EchoDot5 (US1-1),82800,29,4133,26,2195,3,1938
EchoDot5 (US1-1),86400,155,29927,69,6631,86,23296
EchoDot5 (US1-1),90000,29,4133,26,2195,3,1938
EchoDot5 (US1-1),93600,155,29927,69,6631,86,23296
EchoDot5 (US1-1),97200,29,4133,26,2195,3,1938
EchoDot5 (US1-1),100800,155,29927,69,6631,86,23296
EchoDot5 (US1-1),104400,29,4133,26,2195,3,1938
EchoDot5 (US1-1),108000,155,29927,69,6631,86,23296
EchoDot5 (US1-1),111600,29,4133,26,2195,3,1938
EchoDot5 (US1-1),115200,154,29849,68,6553,86,23296
EchoDot5 (US1-1),118800,29,4133,26,2195,3,1938
EchoDot5 (US1-1),122400,155,29927,69,6631,86,23296
EchoDot5 (US1-1),126000,29,4133,26,2195,3,1938
EchoDot5 (US1-1),129600,155,29927,69,6631,86,23296
EchoDot5 (US1-1),133200,11,863,11,863,0,0
EchoDot5 (US1-1),136800,173,33197,84,7963,89,25234
EchoDot5 (US1-1),140400,29,4133,26,2195,3,1938
EchoDot5 (US1-1),144000,6,468,6,468,0,0
EchoDot5 (US1-1),147600,178,33592,89,8358,89,25234
EchoDot5 (US1-1),151200,6,468,6,468,0,0
EchoDot5 (US1-1),154800,178,33592,89,8358,89,25234
EchoDot5 (US1-1),158400,6,468,6,468,0,0
EchoDot5 (US1-1),162000,178,33592,89,8358,89,25234
EchoDot5 (US1-1),165600,6,468,6,468,0,0
EchoDot5 (US1-1),169200,160,30322,74,7026,86,23296
EchoDot5 (US1-1),172800,24,3738,21,1800,3,1938
EchoDot5 (US1-1),176400,248,57012,123,19610,125,37402
EchoDot5 (US1-1),180000,2,156,2,156,0,0
EchoDot5 (US1-1),183600,2,156,2,156,0,0
EchoDot5 (US1-1),187200,2,156,2,156,0,0
EchoDot5 (US1-1),190800,2,156,2,156,0,0
EchoDot5 (US1-1),194400,2,156,2,156,0,0
EchoDot5 (US1-1),198000,177,33527,88,8293,89,25234
EchoDot5 (US1-1),201600,6,468,6,468,0,0
EchoDot5 (US1-1),205200,178,33591,89,8357,89,25234
EchoDot5 (US1-1),208800,6,468,6,468,0,0
EchoDot5 (US1-1),212400,174,33279,85,8045,89,25234
EchoDot5 (US1-1),216000,2,156,2,156,0,0
EchoDot5 (US1-1),219600,2,156,2,156,0,0
EchoDot5 (US1-1),223200,2,156,2,156,0,0
EchoDot5 (US1-1),226800,2,156,2,156,0,0
EchoDot5 (US1-1),230400,175,32789,87,8201,88,24588
EchoDot5 (US1-1),234000,6,468,6,468,0,0
EchoDot5 (US1-1),237600,173,33196,84,7962,89,25234
EchoDot5 (US1-1),241200,11,863,11,863,0,0
EchoDot5 (US1-1),244800,152,29692,66,6396,86,23296
EchoDot5 (US1-1),248400,20,3426,17,1488,3,1938
EchoDot5 (US1-1),252000,7,551,7,551,0,0
EchoDot5 (US1-1),255600,2,156,2,156,0,0
EchoDot5 (US1-1),259200,2,156,2,156,0,0
EchoDot5 (US1-1),262800,3,234,3,234,0,0
EchoDot5 (US1-1),266400,178,33591,89,8357,89,25234
EchoDot5 (US1-1),270000,6,468,6,468,0,0
EchoDot5 (US1-1),273600,178,33591,89,8357,89,25234
EchoDot5 (US1-1),277200,4,312,4,312,0,0
EchoDot5 (US1-1),280800,2,156,2,156,0,0
EchoDot5 (US1-1),284400,151,29614,65,6318,86,23296
EchoDot5 (US1-1),288000,2,156,2,156,0,0
EchoDot5 (US1-1),291600,24,3743,21,1805,3,1938
EchoDot5 (US1-1),295200,2,156,2,156,0,0
EchoDot5 (US1-1),298800,155,29926,69,6630,86,23296
EchoDot5 (US1-1),302400,29,4133,26,2195,3,1938
EchoDot5 (US1-1),306000,155,29926,69,6630,86,23296
EchoDot5 (US1-1),309600,28,4055,25,2117,3,1938
EchoDot5 (US1-1),313200,2,156,2,156,0,0
EchoDot5 (US1-1),316800,2,156,2,156,0,0
EchoDot5 (US1-1),320400,151,29614,65,6318,86,23296
EchoDot5 (US1-1),324000,2,156,2,156,0,0
EchoDot5 (US1-1),327600,35,6635,32,4697,3,1938
EchoDot5 (US1-1),331200,2,156,2,156,0,0
EchoDot5 (US1-1),334800,2,156,2,156,0,0
EchoDot5 (US1-1),338400,151,29614,65,6318,86,23296
EchoDot5 (US1-1),342000,2,156,2,156,0,0
EchoDot5 (US1-1),345600,2,156,2,156,0,0
EchoDot5 (US1-1),349200,27,3977,24,2039,3,1938
EchoDot5 (US1-1),352800,155,29926,69,6630,86,23296
EchoDot5 (US1-1),356400,29,4133,26,2195,3,1938
EchoDot5 (US1-1),360000,155,29926,69,6630,86,23296
EchoDot5 (US1-1),363600,27,3977,24,2039,3,1938
EchoDot5 (US1-1),367200,2,156,2,156,0,0
EchoDot5 (US1-1),370800,151,29614,65,6318,86,23296
EchoDot5 (US1-1),374400,2,156,2,156,0,0
EchoDot5 (US1-1),378000,2,156,2,156,0,0
EchoDot5 (US1-1),381600,8,629,8,629,0,0
EchoDot5 (US1-1),385200,173,33196,84,7962,89,25234
EchoDot5 (US1-1),388800,29,4133,26,2195,3,1938
EchoDot5 (US1-1),392400,155,29926,69,6630,86,23296
EchoDot5 (US1-1),396000,3,234,3,234,0,0
EchoDot5 (US1-1),399600,2,156,2,156,0,0
EchoDot5 (US1-1),403200,25,3821,22,1883,3,1938
EchoDot5 (US1-1),406800,2,156,2,156,0,0
EchoDot5 (US1-1),410400,151,29614,65,6318,86,23296
EchoDot5 (US1-1),414000,12,2970,12,2970,0,0
EchoDot5 (US1-1),417600,2,156,2,156,0,0
EchoDot5 (US1-1),421200,7,551,7,551,0,0
EchoDot5 (US1-1),424800,20,3426,17,1488,3,1938
EchoDot5 (US1-1),428400,2,156,2,156,0,0
EchoDot5 (US1-1),432000,151,29614,65,6318,86,23296
EchoDot5 (US1-1),435600,4,312,4,312,0,0
EchoDot5 (US1-1),439200,29,4133,26,2195,3,1938
EchoDot5 (US1-1),442800,155,29926,69,6630,86,23296
EchoDot5 (US1-1),446400,29,4133,26,2195,3,1938
EchoDot5 (US1-1),450000,153,29770,67,6474,86,23296
EchoDot5 (US1-1),453600,2,156,2,156,0,0
EchoDot5 (US1-1),457200,25,3821,22,1883,3,1938
EchoDot5 (US1-1),460800,1,78,1,78,0,0
EchoDot5 (US1-1),464400,3,234,3,234,0,0
EchoDot5 (US1-1),468000,151,29614,65,6318,86,23296
EchoDot5 (US1-1),471600,29,4133,26,2195,3,1938
EchoDot5 (US1-1),475200,155,29926,69,6630,86,23296
EchoDot5 (US1-1),478800,11,863,11,863,0,0
EchoDot5 (US1-1),482400,22,3582,19,1644,3,1938
EchoDot5 (US1-1),486000,151,29614,65,6318,86,23296
EchoDot5 (US1-1),489600,2,156,2,156,0,0
