Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
EchoDot5 (US1-1),0,6172,2842674,3484,1951717,2688,890957
EchoDot5 (US1-1),3600,2274,682549,1235,311558,1039,370991
EchoDot5 (US1-1),7200,2594,871712,1433,453284,1161,418428
EchoDot5 (US1-1),10800,2363,718534,1281,329213,1082,389321
EchoDot5 (US1-1),14400,2543,844770,1393,439418,1150,405352
EchoDot5 (US1-1),18000,2383,724125,1289,321941,1094,402184
EchoDot5 (US1-1),21600,2077,642009,1127,299632,950,342377
EchoDot5 (US1-1),25200,3013,1000001,1655,507673,1358,492328
EchoDot5 (US1-1),28800,2067,649999,1143,300372,924,349627
EchoDot5 (US1-1),32400,2576,857057,1439,451257,1137,405800
EchoDot5 (US1-1),36000,2218,677064,1197,314650,1021,362414
EchoDot5 (US1-1),39600,2649,882876,1455,460828,1194,422048
EchoDot5 (US1-1),43200,2279,691490,1232,312256,1047,379234
EchoDot5 (US1-1),46800,2982,1105075,1629,532235,1353,572840
EchoDot5 (US1-1),50400,2273,688107,1229,315002,1044,373105
EchoDot5 (US1-1),54000,2791,989857,1551,481896,1240,507961
EchoDot5 (US1-1),57600,2220,662526,1194,291996,1026,370530
EchoDot5 (US1-1),61200,2881,985057,1599,507441,1282,477616
EchoDot5 (US1-1),64800,2120,629089,1130,279501,990,349588
EchoDot5 (US1-1),68400,2141,649797,1178,298054,963,351743
EchoDot5 (US1-1),72000,2975,995029,1607,511476,1368,483553
EchoDot5 (US1-1),75600,2021,602164,1104,272724,917,329440
EchoDot5 (US1-1),79200,2830,946466,1533,494939,1297,451527
EchoDot5 (US1-1),82800,2279,704397,1265,306997,1014,397400
EchoDot5 (US1-1),86400,2910,979826,1581,519298,1329,460528
EchoDot5 (US1-1),90000,2379,764295,1333,346933,1046,417362
EchoDot5 (US1-1),93600,2592,849339,1408,437804,1184,411535
EchoDot5 (US1-1),97200,2318,735679,1255,363934,1063,371745
EchoDot5 (US1-1),100800,2746,893343,1495,452536,1251,440807
EchoDot5 (US1-1),104400,2462,755277,1351,342562,1111,412715
EchoDot5 (US1-1),108000,2858,940948,1547,486696,1311,454252
EchoDot5 (US1-1),111600,2244,691530,1225,316208,1019,375322
EchoDot5 (US1-1),115200,2763,903874,1503,459821,1260,444053
EchoDot5 (US1-1),118800,2115,652707,1155,291508,960,361199
EchoDot5 (US1-1),122400,2240,680911,1202,319660,1038,361251
EchoDot5 (US1-1),126000,2793,944969,1541,488577,1252,456392
EchoDot5 (US1-1),129600,2499,848741,1323,359641,1176,489100
EchoDot5 (US1-1),133200,2869,988190,1599,533939,1270,454251
EchoDot5 (US1-1),136800,2248,672434,1203,304356,1045,368078
EchoDot5 (US1-1),140400,2744,914995,1514,464741,1230,450254
EchoDot5 (US1-1),144000,2057,630483,1122,284160,935,346323
EchoDot5 (US1-1),147600,2941,979532,1608,493145,1333,486387
EchoDot5 (US1-1),151200,2143,670717,1169,314470,974,356247
EchoDot5 (US1-1),154800,2807,924515,1527,477709,1280,446806
EchoDot5 (US1-1),158400,2168,684611,1182,329294,986,355317
EchoDot5 (US1-1),162000,3121,1125065,1721,531849,1400,593216
EchoDot5 (US1-1),165600,2128,658765,1161,294005,967,364760
EchoDot5 (US1-1),169200,2421,749803,1316,334400,1105,415403
EchoDot5 (US1-1),172800,23214,91201329,7659,929713,15555,90271616
EchoDot5 (US1-1),176400,22438,27032547,12264,11666857,10174,15365690
EchoDot5 (US1-1),180000,3606,1398850,1987,914382,1619,484468
EchoDot5 (US1-1),183600,2349,1036873,1288,768760,1061,268113
EchoDot5 (US1-1),187200,1338,331335,663,143529,675,187806
EchoDot5 (US1-1),190800,2831,1211220,1522,868033,1309,343187
EchoDot5 (US1-1),194400,1440,354120,729,148344,711,205776
EchoDot5 (US1-1),198000,4547,1880976,2541,1241712,2006,639264
EchoDot5 (US1-1),201600,2599,990734,1440,614413,1159,376321
EchoDot5 (US1-1),205200,3603,1468595,2000,848889,1603,619706
EchoDot5 (US1-1),208800,2821,1133933,1540,717539,1281,416394
EchoDot5 (US1-1),212400,2607,880493,1364,506684,1243,373809
EchoDot5 (US1-1),216000,2018,820148,1076,594951,942,225197
EchoDot5 (US1-1),219600,2892,1206789,1570,812063,1322,394726
EchoDot5 (US1-1),223200,1307,317234,639,140816,668,176418
EchoDot5 (US1-1),226800,2895,1260567,1590,879872,1305,380695
EchoDot5 (US1-1),230400,3275,1395541,1799,841634,1476,553907
EchoDot5 (US1-1),234000,2769,1033265,1551,635545,1218,397720
