Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Litokam (US1-1),0,1300,244025,1041,216335,259,27690
Litokam (US1-1),3600,1324,249751,1054,218107,270,31644
Litokam (US1-1),7200,1300,243887,1041,216266,259,27621
Litokam (US1-1),10800,1300,243829,1041,216139,259,27690
Litokam (US1-1),14400,1319,246803,1051,217834,268,28969
Litokam (US1-1),18000,1327,249937,1056,218355,271,31582
Litokam (US1-1),21600,1326,249883,1055,218173,271,31710
Litokam (US1-1),25200,1300,243829,1041,216139,259,27690
Litokam (US1-1),28800,1303,244223,1043,216467,260,27756
Litokam (US1-1),32400,1326,249883,1055,218173,271,31710
Litokam (US1-1),36000,1300,243829,1041,216139,259,27690
Litokam (US1-1),39600,1351,255859,1069,220323,282,35536
Litokam (US1-1),43200,1302,243961,1042,216205,260,27756
Litokam (US1-1),46800,1301,244091,1042,216401,259,27690
Litokam (US1-1),50400,1321,249415,1052,217906,269,31509
Litokam (US1-1),54000,1300,243829,1041,216139,259,27690
Litokam (US1-1),57600,1314,246669,1049,217898,265,28771
Litokam (US1-1),61200,1317,246463,1050,217688,267,28775
Litokam (US1-1),64800,1294,243433,1038,215941,256,27492
Litokam (US1-1),68400,1343,255459,1065,220123,278,35336
Litokam (US1-1),72000,1285,242851,1034,215689,251,27162
Litokam (US1-1),75600,1290,242271,1034,216637,256,25634
Litokam (US1-1),79200,1294,243629,1038,216137,256,27492
Litokam (US1-1),82800,1360,260515,1073,221437,287,39078
Litokam (US1-1),86400,1312,248959,1048,217711,264,31248
Litokam (US1-1),90000,1289,243299,1036,216005,253,27294
Litokam (US1-1),93600,1300,245411,1041,217105,259,28306
Litokam (US1-1),97200,1296,243565,1039,216007,257,27558
Litokam (US1-1),100800,1282,240219,1032,215666,250,24553
Litokam (US1-1),104400,1341,252385,1063,219656,278,32729
Litokam (US1-1),108000,1301,244091,1042,216401,259,27690
Litokam (US1-1),111600,1319,246803,1051,217834,268,28969
Litokam (US1-1),115200,1303,244223,1043,216467,260,27756
Litokam (US1-1),118800,1300,243829,1041,216139,259,27690
