Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Netvue (US1-1),0,267,50923,169,29784,98,21139
Netvue (US1-1),3600,247,35891,157,20493,90,15398
Netvue (US1-1),7200,257,41765,163,20826,94,20939
Netvue (US1-1),10800,249,35838,159,20452,90,15386
Netvue (US1-1),14400,256,41711,163,20849,93,20862
Netvue (US1-1),18000,257,41783,164,20887,93,20896
Netvue (US1-1),21600,282,50179,178,22885,104,27294
Netvue (US1-1),25200,279,50446,177,23282,102,27164
Netvue (US1-1),28800,280,50601,178,23437,102,27164
Netvue (US1-1),32400,280,50429,177,23187,103,27242
Netvue (US1-1),36000,258,42247,164,21321,94,20926
Netvue (US1-1),39600,255,41893,163,21109,92,20784
Netvue (US1-1),43200,272,44448,173,21995,99,22453
Netvue (US1-1),46800,258,41906,163,20924,95,20982
Netvue (US1-1),50400,255,41607,163,20811,92,20796
Netvue (US1-1),54000,250,35844,160,20425,90,15419
Netvue (US1-1),57600,257,41700,164,20840,93,20860
Netvue (US1-1),61200,255,41903,163,21107,92,20796
Netvue (US1-1),64800,255,41478,163,20682,92,20796
Netvue (US1-1),68400,258,41763,164,20849,94,20914
Netvue (US1-1),72000,258,43254,165,21739,93,21515
Netvue (US1-1),75600,259,41830,164,20838,95,20992
Netvue (US1-1),79200,256,41853,163,20979,93,20874
Netvue (US1-1),82800,256,41784,164,20978,92,20806
Netvue (US1-1),86400,255,41691,163,20895,92,20796
Netvue (US1-1),90000,256,41803,164,20997,92,20806
Netvue (US1-1),93600,257,41605,163,20677,94,20928
Netvue (US1-1),97200,261,42110,165,21051,96,21059
Netvue (US1-1),100800,258,42117,163,21157,95,20960
Netvue (US1-1),104400,256,42640,163,21788,93,20852
Netvue (US1-1),108000,277,49921,177,22887,100,27034
Netvue (US1-1),111600,307,58517,191,24767,116,33750
Netvue (US1-1),115200,304,58380,191,24804,113,33576
Netvue (US1-1),118800,302,58317,191,24837,111,33480
Netvue (US1-1),122400,255,42146,163,21337,92,20809
Netvue (US1-1),126000,258,41895,163,20911,95,20984
Netvue (US1-1),129600,257,41912,164,21049,93,20863
Netvue (US1-1),133200,256,41597,163,20745,93,20852
Netvue (US1-1),136800,256,41811,163,20935,93,20876
Netvue (US1-1),140400,255,41562,163,20764,92,20798
Netvue (US1-1),144000,258,41960,165,21086,93,20874
Netvue (US1-1),147600,280,50514,177,22505,103,28009
Netvue (US1-1),151200,256,41728,164,20919,92,20809
Netvue (US1-1),154800,258,41985,164,21068,94,20917
Netvue (US1-1),158400,264,43528,167,21727,97,21801
Netvue (US1-1),162000,254,41584,163,20840,91,20744
Netvue (US1-1),165600,258,41749,164,20808,94,20941
Netvue (US1-1),169200,255,41968,163,21170,92,20798
Netvue (US1-1),172800,255,41633,163,20835,92,20798
Netvue (US1-1),176400,255,41506,163,20708,92,20798
Netvue (US1-1),180000,260,42379,166,21440,94,20939
Netvue (US1-1),183600,248,35799,158,20433,90,15366
Netvue (US1-1),187200,257,41602,164,20739,93,20863
Netvue (US1-1),190800,250,36183,159,20752,91,15431
Netvue (US1-1),194400,302,57920,192,24507,110,33413
Netvue (US1-1),198000,302,58345,191,24865,111,33480
Netvue (US1-1),201600,278,50361,177,23249,101,27112
Netvue (US1-1),205200,277,50137,176,23069,101,27068
Netvue (US1-1),208800,257,43063,164,22211,93,20852
Netvue (US1-1),212400,254,41661,163,20917,91,20744
Netvue (US1-1),216000,258,41804,164,20863,94,20941
Netvue (US1-1),219600,257,41651,164,20788,93,20863
Netvue (US1-1),223200,255,41605,163,20807,92,20798
Netvue (US1-1),226800,255,41689,163,20891,92,20798
Netvue (US1-1),230400,254,41485,163,20741,91,20744
Netvue (US1-1),234000,257,41824,164,20961,93,20863
Netvue (US1-1),237600,255,41579,163,20781,92,20798
Netvue (US1-1),241200,258,41935,164,21018,94,20917
Netvue (US1-1),244800,260,43127,166,21556,94,21571
Netvue (US1-1),248400,259,41852,165,20912,94,20940
Netvue (US1-1),252000,279,50434,177,22515,102,27919
Netvue (US1-1),255600,258,41976,163,20992,95,20984
Netvue (US1-1),259200,249,35918,159,20541,90,15377
Netvue (US1-1),262800,257,41567,165,20726,92,20841
Netvue (US1-1),266400,256,41494,164,20685,92,20809
Netvue (US1-1),270000,256,42043,162,21115,94,20928
Netvue (US1-1),273600,247,35703,158,20391,89,15312
Netvue (US1-1),277200,254,41689,163,20945,91,20744
Netvue (US1-1),280800,281,50277,178,23034,103,27243
Netvue (US1-1),284400,318,60429,200,26079,118,34350
Netvue (US1-1),288000,282,50725,178,23440,104,27285
Netvue (US1-1),291600,302,58209,192,24808,110,33401
Netvue (US1-1),295200,255,42207,163,21409,92,20798
Netvue (US1-1),298800,261,42241,164,21162,97,21079
Netvue (US1-1),302400,255,41512,163,20714,92,20798
Netvue (US1-1),306000,257,41585,164,20734,93,20851
Netvue (US1-1),309600,255,41648,163,20850,92,20798
Netvue (US1-1),313200,255,42162,163,21364,92,20798
Netvue (US1-1),316800,258,41726,164,20809,94,20917
Netvue (US1-1),320400,255,41900,163,21102,92,20798
Netvue (US1-1),324000,259,41913,165,20985,94,20928
Netvue (US1-1),327600,257,41887,163,20957,94,20930
