Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
TPLink (US1-1),0,53,5466,33,3210,20,2256
TPLink (US1-1),3600,47,4950,31,3015,16,1935
TPLink (US1-1),7200,47,4950,31,3015,16,1935
TPLink (US1-1),10800,50,5268,33,3210,17,2058
TPLink (US1-1),14400,47,4950,31,3015,16,1935
TPLink (US1-1),18000,47,4958,31,3019,16,1939
TPLink (US1-1),21600,47,4980,31,3030,16,1950
TPLink (US1-1),25200,50,5300,33,3226,17,2074
TPLink (US1-1),28800,47,4980,31,3030,16,1950
TPLink (US1-1),32400,47,4980,31,3030,16,1950
TPLink (US1-1),36000,50,5300,33,3226,17,2074
TPLink (US1-1),39600,47,4980,31,3030,16,1950
TPLink (US1-1),43200,47,4980,31,3030,16,1950
TPLink (US1-1),46800,47,4980,31,3030,16,1950
TPLink (US1-1),50400,50,5300,33,3226,17,2074
TPLink (US1-1),54000,48,5070,32,3120,16,1950
TPLink (US1-1),57600,47,4980,31,3030,16,1950
TPLink (US1-1),61200,50,5300,33,3226,17,2074
TPLink (US1-1),64800,47,4980,31,3030,16,1950
TPLink (US1-1),68400,50,5178,31,3030,19,2148
TPLink (US1-1),72000,49,5112,31,3030,18,2082
TPLink (US1-1),75600,50,5300,33,3226,17,2074
TPLink (US1-1),79200,47,4980,31,3030,16,1950
TPLink (US1-1),82800,47,4980,31,3030,16,1950
TPLink (US1-1),86400,50,5300,33,3226,17,2074
TPLink (US1-1),90000,47,4980,31,3030,16,1950
TPLink (US1-1),93600,47,4980,31,3030,16,1950
TPLink (US1-1),97200,47,4980,31,3030,16,1950
TPLink (US1-1),100800,50,5300,33,3226,17,2074
TPLink (US1-1),104400,47,4980,31,3030,16,1950
TPLink (US1-1),108000,47,4980,31,3030,16,1950
TPLink (US1-1),111600,48,5046,31,3030,17,2016
TPLink (US1-1),115200,51,5366,33,3226,18,2140
TPLink (US1-1),118800,47,4980,31,3030,16,1950
TPLink (US1-1),122400,47,4980,31,3030,16,1950
TPLink (US1-1),126000,50,5300,33,3226,17,2074
TPLink (US1-1),129600,47,4980,31,3030,16,1950
TPLink (US1-1),133200,47,4980,31,3030,16,1950
TPLink (US1-1),136800,47,4980,31,3030,16,1950
TPLink (US1-1),140400,50,5300,33,3226,17,2074
TPLink (US1-1),144000,47,4980,31,3030,16,1950
TPLink (US1-1),147600,47,4980,31,3030,16,1950
TPLink (US1-1),151200,50,5300,33,3226,17,2074
TPLink (US1-1),154800,49,5112,31,3030,18,2082
TPLink (US1-1),158400,47,4980,31,3030,16,1950
TPLink (US1-1),162000,47,4980,31,3030,16,1950
TPLink (US1-1),165600,50,5300,33,3226,17,2074
TPLink (US1-1),169200,47,4980,31,3030,16,1950
TPLink (US1-1),172800,47,4980,31,3030,16,1950
TPLink (US1-1),176400,50,5300,33,3226,17,2074
TPLink (US1-1),180000,47,4980,31,3030,16,1950
TPLink (US1-1),183600,47,4980,31,3030,16,1950
TPLink (US1-1),187200,47,4980,31,3030,16,1950
TPLink (US1-1),190800,50,5300,33,3226,17,2074
