Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
HoloLens2 (US1),0,819,387310,455,108380,364,278930
HoloLens2 (US1),3600,144,30319,76,10082,68,20237
HoloLens2 (US1),7200,102,26254,53,8133,49,18121
HoloLens2 (US1),10800,83,20250,45,7267,38,12983
HoloLens2 (US1),14400,149,41959,81,13415,68,28544
HoloLens2 (US1),18000,95,21816,50,7985,45,13831
HoloLens2 (US1),21600,261,130022,143,24312,118,105710
HoloLens2 (US1),25200,153,43998,83,15139,70,28859
HoloLens2 (US1),28800,105,26490,55,8276,50,18214
HoloLens2 (US1),32400,117,29450,64,10745,53,18705
HoloLens2 (US1),36000,180,55330,98,21570,82,33760
HoloLens2 (US1),39600,78,19435,43,7027,35,12408
HoloLens2 (US1),43200,170,47878,92,15118,78,32760
HoloLens2 (US1),46800,238,74277,131,23945,107,50332
HoloLens2 (US1),50400,214,61250,117,18737,97,42513
HoloLens2 (US1),54000,187,51890,103,15203,84,36687
HoloLens2 (US1),57600,102,26255,53,8133,49,18122
HoloLens2 (US1),61200,106,26383,57,8900,49,17483
HoloLens2 (US1),64800,104,28101,56,10002,48,18099
HoloLens2 (US1),68400,124,32221,67,9961,57,22260
HoloLens2 (US1),72000,82,19692,44,7082,38,12610
HoloLens2 (US1),75600,147,39366,80,12158,67,27208
HoloLens2 (US1),79200,160,40397,86,12511,74,27886
HoloLens2 (US1),82800,333,196738,169,30348,164,166390
HoloLens2 (US1),86400,99,26246,55,9036,44,17210
HoloLens2 (US1),90000,102,50208,55,15189,47,35019
HoloLens2 (US1),93600,242,106589,132,31213,110,75376
HoloLens2 (US1),97200,132,35215,70,11878,62,23337
HoloLens2 (US1),100800,166,46252,91,14315,75,31937
HoloLens2 (US1),104400,86,20414,45,7262,41,13152
HoloLens2 (US1),108000,289,107525,155,33974,134,73551
HoloLens2 (US1),111600,81,19596,43,7027,38,12569
HoloLens2 (US1),115200,146,39655,79,12571,67,27084
HoloLens2 (US1),118800,141,39316,77,11686,64,27630
HoloLens2 (US1),122400,253,77751,137,27526,116,50225
HoloLens2 (US1),126000,102,25872,56,8509,46,17363
HoloLens2 (US1),129600,108,28388,57,10034,51,18354
HoloLens2 (US1),133200,173,47565,93,14996,80,32569
HoloLens2 (US1),136800,157,42072,83,13643,74,28429
HoloLens2 (US1),140400,81,19600,43,7030,38,12570
HoloLens2 (US1),144000,147,39404,81,12182,66,27222
HoloLens2 (US1),147600,163,44732,91,12971,72,31761
HoloLens2 (US1),151200,107,26451,55,8758,52,17693
HoloLens2 (US1),154800,148,39293,80,12064,68,27229
HoloLens2 (US1),158400,82,19724,44,7118,38,12606
HoloLens2 (US1),162000,122,32575,67,10451,55,22124
HoloLens2 (US1),165600,158,40250,86,12467,72,27783
HoloLens2 (US1),169200,293,104722,163,29366,130,75356
HoloLens2 (US1),172800,149,42858,81,14367,68,28491
HoloLens2 (US1),176400,84,19730,44,7082,40,12648
HoloLens2 (US1),180000,170,48096,92,15418,78,32678
HoloLens2 (US1),183600,257,160296,143,45929,114,114367
HoloLens2 (US1),187200,103,26119,55,8763,48,17356
HoloLens2 (US1),190800,150,41026,80,13159,70,27867
HoloLens2 (US1),194400,131,36532,71,13036,60,23496
HoloLens2 (US1),198000,128,32498,69,10084,59,22414
HoloLens2 (US1),201600,80,19555,43,7035,37,12520
HoloLens2 (US1),205200,264,84567,144,30142,120,54425
HoloLens2 (US1),208800,97,25800,54,9028,43,16772
HoloLens2 (US1),212400,127,32447,68,10034,59,22413
HoloLens2 (US1),216000,123,33320,68,11030,55,22290
HoloLens2 (US1),219600,122,32480,68,10378,54,22102
HoloLens2 (US1),223200,191,52774,105,15885,86,36889
HoloLens2 (US1),226800,176,48525,94,15142,82,33383
HoloLens2 (US1),230400,82,19672,43,7034,39,12638
HoloLens2 (US1),234000,214,61115,115,17987,99,43128
HoloLens2 (US1),237600,130,36715,71,12869,59,23846
HoloLens2 (US1),241200,100,25654,55,8774,45,16880
HoloLens2 (US1),244800,230,87647,126,28826,104,58821
HoloLens2 (US1),248400,197,52410,104,15024,93,37386
HoloLens2 (US1),252000,162,39972,87,12081,75,27891
HoloLens2 (US1),255600,142,40322,77,13036,65,27286
HoloLens2 (US1),259200,244,86664,131,24863,113,61801
HoloLens2 (US1),262800,81,19827,44,7188,37,12639
HoloLens2 (US1),266400,81,19653,43,7037,38,12616
HoloLens2 (US1),270000,107,50999,59,15531,48,35468
HoloLens2 (US1),273600,167,45909,91,13970,76,31939
HoloLens2 (US1),277200,104,26298,55,8764,49,17534
HoloLens2 (US1),280800,150,40576,80,12901,70,27675
HoloLens2 (US1),284400,123,33012,68,11062,55,21950
HoloLens2 (US1),288000,259,114521,143,33832,116,80689
HoloLens2 (US1),291600,84,19882,44,7122,40,12760
HoloLens2 (US1),295200,203,62399,109,23404,94,38995
HoloLens2 (US1),298800,169,45808,90,13674,79,32134
HoloLens2 (US1),302400,150,39177,80,11555,70,27622
HoloLens2 (US1),306000,82,19658,44,7084,38,12574
HoloLens2 (US1),309600,123,33277,68,11030,55,22247
HoloLens2 (US1),313200,106,26403,55,8761,51,17642
HoloLens2 (US1),316800,149,39318,80,12070,69,27248
HoloLens2 (US1),320400,452,156781,243,56109,209,100672
HoloLens2 (US1),324000,186,38794,107,15121,79,23673
HoloLens2 (US1),327600,198,44308,113,19961,85,24347
HoloLens2 (US1),331200,287,69713,161,22488,126,47225
HoloLens2 (US1),334800,481,152497,260,51164,221,101333
HoloLens2 (US1),338400,378,158415,222,47180,156,111235
HoloLens2 (US1),342000,4776,4811071,1921,239693,2855,4571378
HoloLens2 (US1),345600,3165,1722698,1551,259306,1614,1463392
HoloLens2 (US1),349200,140,19248,90,9270,50,9978
HoloLens2 (US1),352800,246,48347,143,24173,103,24174
HoloLens2 (US1),356400,182,50057,111,18447,71,31610
HoloLens2 (US1),360000,235,47456,140,23815,95,23641
HoloLens2 (US1),363600,564,306226,281,108745,283,197481
HoloLens2 (US1),367200,248,52525,144,24566,104,27959
HoloLens2 (US1),370800,164,27823,103,12220,61,15603
HoloLens2 (US1),374400,224,45888,134,22978,90,22910
HoloLens2 (US1),378000,246,101039,146,32340,100,68699
HoloLens2 (US1),381600,136,31916,78,15135,58,16781
HoloLens2 (US1),385200,155,89573,94,27023,61,62550
HoloLens2 (US1),388800,113,23017,66,11436,47,11581
HoloLens2 (US1),392400,94,18227,58,7593,36,10634
HoloLens2 (US1),396000,113,23001,68,11551,45,11450
HoloLens2 (US1),399600,92,15937,54,6940,38,8997
HoloLens2 (US1),403200,253,51341,143,22954,110,28387
HoloLens2 (US1),406800,39,3719,24,2152,15,1567
HoloLens2 (US1),410400,73,16503,39,8549,34,7954
HoloLens2 (US1),414000,38,3969,21,2108,17,1861
HoloLens2 (US1),417600,149,52881,82,16465,67,36416
HoloLens2 (US1),421200,16,1301,11,832,5,469
HoloLens2 (US1),424800,83,17379,44,8961,39,8418
HoloLens2 (US1),428400,26,2569,15,1404,11,1165
HoloLens2 (US1),432000,1475,538313,798,149860,677,388453
HoloLens2 (US1),435600,19,1629,11,986,8,643
HoloLens2 (US1),439200,88,23790,50,11003,38,12787
HoloLens2 (US1),442800,248,93561,131,30685,117,62876
HoloLens2 (US1),446400,459,218491,171,95448,288,123043
HoloLens2 (US1),450000,99,18511,58,7552,41,10959
HoloLens2 (US1),453600,152,68667,87,14690,65,53977
HoloLens2 (US1),457200,97,18428,59,7711,38,10717
HoloLens2 (US1),460800,110,22749,65,11339,45,11410
HoloLens2 (US1),464400,256,139963,137,48910,119,91053
HoloLens2 (US1),468000,113,22911,66,11393,47,11518
HoloLens2 (US1),471600,70,9585,45,4616,25,4969
HoloLens2 (US1),475200,111,22832,66,11399,45,11433
HoloLens2 (US1),478800,236,117965,137,43599,99,74366
HoloLens2 (US1),482400,111,22849,65,11364,46,11485
HoloLens2 (US1),486000,95,18239,59,7647,36,10592
HoloLens2 (US1),489600,137,30692,79,14066,58,16626
HoloLens2 (US1),493200,70,9660,45,4651,25,5009
HoloLens2 (US1),496800,131,29754,76,12362,55,17392
HoloLens2 (US1),500400,116,24953,70,9482,46,15471
HoloLens2 (US1),504000,117,24303,68,11813,49,12490
HoloLens2 (US1),507600,70,9664,45,4655,25,5009
HoloLens2 (US1),511200,110,22825,66,11429,44,11396
HoloLens2 (US1),514800,70,9664,45,4655,25,5009
HoloLens2 (US1),518400,2136,809641,1148,231850,988,577791
HoloLens2 (US1),522000,70,9664,45,4655,25,5009
HoloLens2 (US1),525600,132,29580,77,13251,55,16329
HoloLens2 (US1),529200,74,10391,47,4894,27,5497
HoloLens2 (US1),532800,136,31527,80,14428,56,17099
HoloLens2 (US1),536400,70,9664,45,4655,25,5009
HoloLens2 (US1),540000,361,243965,163,88304,198,155661
HoloLens2 (US1),543600,124,40237,66,15742,58,24495
HoloLens2 (US1),547200,241,71179,142,28609,99,42570
HoloLens2 (US1),550800,200,27850,130,13412,70,14438
HoloLens2 (US1),554400,231,40354,147,19903,84,20451
HoloLens2 (US1),558000,190,27179,125,13090,65,14089
HoloLens2 (US1),561600,228,40189,144,19763,84,20426
HoloLens2 (US1),565200,214,35720,138,16048,76,19672
HoloLens2 (US1),568800,226,40057,144,19781,82,20276
HoloLens2 (US1),572400,275,107096,174,35465,101,71631
HoloLens2 (US1),576000,242,41383,151,20304,91,21079
HoloLens2 (US1),579600,246,67970,154,24669,92,43301
HoloLens2 (US1),583200,275,53791,172,23598,103,30193
HoloLens2 (US1),586800,202,28150,130,13484,72,14666
HoloLens2 (US1),590400,227,40139,145,19821,82,20318
HoloLens2 (US1),594000,191,27238,125,13095,66,14143
HoloLens2 (US1),597600,227,40136,145,19818,82,20318
HoloLens2 (US1),601200,190,27181,125,13092,65,14089
HoloLens2 (US1),604800,1963,728003,1069,241068,894,486935
HoloLens2 (US1),608400,215,36571,138,16746,77,19825
HoloLens2 (US1),612000,226,40329,144,19891,82,20438
HoloLens2 (US1),615600,190,27419,125,13210,65,14209
HoloLens2 (US1),619200,281,65476,175,35489,106,29987
HoloLens2 (US1),622800,190,27421,125,13212,65,14209
HoloLens2 (US1),626400,254,50324,158,24032,96,26292
HoloLens2 (US1),630000,350,135045,193,55584,157,79461
