Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
MetaQuest1 (US1),0,0,0,0,0,0,0
MetaQuest1 (US1),3600,0,0,0,0,0,0
MetaQuest1 (US1),7200,3,202,2,128,1,74
MetaQuest1 (US1),10800,9,606,6,384,3,222
MetaQuest1 (US1),14400,0,0,0,0,0,0
MetaQuest1 (US1),18000,6,404,4,256,2,148
MetaQuest1 (US1),21600,6,404,4,256,2,148
MetaQuest1 (US1),25200,3,202,2,128,1,74
MetaQuest1 (US1),28800,0,0,0,0,0,0
MetaQuest1 (US1),32400,3,202,2,128,1,74
MetaQuest1 (US1),36000,10,680,6,400,4,280
MetaQuest1 (US1),39600,10,660,7,438,3,222
MetaQuest1 (US1),43200,147,193112,70,183796,77,9316
MetaQuest1 (US1),46800,0,0,0,0,0,0
MetaQuest1 (US1),50400,3,202,2,128,1,74
MetaQuest1 (US1),54000,6,404,4,256,2,148
MetaQuest1 (US1),57600,9,606,6,384,3,222
MetaQuest1 (US1),61200,3,202,2,128,1,74
MetaQuest1 (US1),64800,0,0,0,0,0,0
MetaQuest1 (US1),68400,0,0,0,0,0,0
MetaQuest1 (US1),72000,125,190788,58,182148,67,8640
MetaQuest1 (US1),75600,0,0,0,0,0,0
MetaQuest1 (US1),79200,9,614,6,400,3,214
MetaQuest1 (US1),82800,81,25214,45,15809,36,9405
MetaQuest1 (US1),86400,0,0,0,0,0,0
MetaQuest1 (US1),90000,0,0,0,0,0,0
MetaQuest1 (US1),93600,0,0,0,0,0,0
MetaQuest1 (US1),97200,0,0,0,0,0,0
MetaQuest1 (US1),100800,0,0,0,0,0,0
MetaQuest1 (US1),104400,0,0,0,0,0,0
MetaQuest1 (US1),108000,0,0,0,0,0,0
MetaQuest1 (US1),111600,0,0,0,0,0,0
MetaQuest1 (US1),115200,0,0,0,0,0,0
MetaQuest1 (US1),118800,0,0,0,0,0,0
MetaQuest1 (US1),122400,0,0,0,0,0,0
MetaQuest1 (US1),126000,37,10196,17,4063,20,6133
MetaQuest1 (US1),129600,0,0,0,0,0,0
MetaQuest1 (US1),133200,0,0,0,0,0,0
MetaQuest1 (US1),136800,0,0,0,0,0,0
MetaQuest1 (US1),140400,0,0,0,0,0,0
MetaQuest1 (US1),144000,0,0,0,0,0,0
MetaQuest1 (US1),147600,0,0,0,0,0,0
MetaQuest1 (US1),151200,0,0,0,0,0,0
MetaQuest1 (US1),154800,0,0,0,0,0,0
MetaQuest1 (US1),158400,0,0,0,0,0,0
MetaQuest1 (US1),162000,0,0,0,0,0,0
MetaQuest1 (US1),165600,0,0,0,0,0,0
MetaQuest1 (US1),169200,34,6005,18,3925,16,2080
MetaQuest1 (US1),172800,0,0,0,0,0,0
MetaQuest1 (US1),176400,0,0,0,0,0,0
MetaQuest1 (US1),180000,0,0,0,0,0,0
MetaQuest1 (US1),183600,0,0,0,0,0,0
MetaQuest1 (US1),187200,0,0,0,0,0,0
MetaQuest1 (US1),190800,0,0,0,0,0,0
MetaQuest1 (US1),194400,0,0,0,0,0,0
MetaQuest1 (US1),198000,0,0,0,0,0,0
MetaQuest1 (US1),201600,0,0,0,0,0,0
MetaQuest1 (US1),205200,0,0,0,0,0,0
MetaQuest1 (US1),208800,0,0,0,0,0,0
MetaQuest1 (US1),212400,32,6525,18,2224,14,4301
MetaQuest1 (US1),216000,0,0,0,0,0,0
MetaQuest1 (US1),219600,0,0,0,0,0,0
MetaQuest1 (US1),223200,0,0,0,0,0,0
MetaQuest1 (US1),226800,0,0,0,0,0,0
MetaQuest1 (US1),230400,0,0,0,0,0,0
MetaQuest1 (US1),234000,0,0,0,0,0,0
MetaQuest1 (US1),237600,0,0,0,0,0,0
MetaQuest1 (US1),241200,0,0,0,0,0,0
MetaQuest1 (US1),244800,0,0,0,0,0,0
MetaQuest1 (US1),248400,0,0,0,0,0,0
MetaQuest1 (US1),252000,0,0,0,0,0,0
MetaQuest1 (US1),255600,32,9403,16,3836,16,5567
MetaQuest1 (US1),259200,0,0,0,0,0,0
MetaQuest1 (US1),262800,0,0,0,0,0,0
MetaQuest1 (US1),266400,0,0,0,0,0,0
MetaQuest1 (US1),270000,0,0,0,0,0,0
MetaQuest1 (US1),273600,0,0,0,0,0,0
MetaQuest1 (US1),277200,0,0,0,0,0,0
MetaQuest1 (US1),280800,0,0,0,0,0,0
MetaQuest1 (US1),284400,0,0,0,0,0,0
