Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Roborock (US2),0,711,86031,711,86031,0,0
Roborock (US2),3600,728,88088,728,88088,0,0
Roborock (US2),7200,725,87725,725,87725,0,0
Roborock (US2),10800,726,87846,726,87846,0,0
Roborock (US2),14400,723,87483,723,87483,0,0
Roborock (US2),18000,730,88330,730,88330,0,0
Roborock (US2),21600,808,97768,808,97768,0,0
Roborock (US2),25200,808,97768,808,97768,0,0
Roborock (US2),28800,721,87241,721,87241,0,0
Roborock (US2),32400,725,87725,725,87725,0,0
Roborock (US2),36000,724,87604,724,87604,0,0
Roborock (US2),39600,724,87604,724,87604,0,0
Roborock (US2),43200,722,87362,722,87362,0,0
Roborock (US2),46800,722,87362,722,87362,0,0
Roborock (US2),50400,723,87483,723,87483,0,0
Roborock (US2),54000,724,87604,724,87604,0,0
Roborock (US2),57600,722,87362,722,87362,0,0
Roborock (US2),61200,718,86878,718,86878,0,0
Roborock (US2),64800,729,88209,729,88209,0,0
Roborock (US2),68400,725,87725,725,87725,0,0
Roborock (US2),72000,729,88209,729,88209,0,0
Roborock (US2),75600,726,87846,726,87846,0,0
Roborock (US2),79200,730,88330,730,88330,0,0
Roborock (US2),82800,729,88209,729,88209,0,0
Roborock (US2),86400,725,87725,725,87725,0,0
Roborock (US2),90000,727,87967,727,87967,0,0
Roborock (US2),93600,729,88209,729,88209,0,0
Roborock (US2),97200,727,87967,727,87967,0,0
Roborock (US2),100800,736,89056,736,89056,0,0
Roborock (US2),104400,724,87604,724,87604,0,0
Roborock (US2),108000,724,87604,724,87604,0,0
Roborock (US2),111600,734,88814,734,88814,0,0
Roborock (US2),115200,730,88330,730,88330,0,0
Roborock (US2),118800,731,88451,731,88451,0,0
Roborock (US2),122400,731,88451,731,88451,0,0
Roborock (US2),126000,733,88693,733,88693,0,0
Roborock (US2),129600,723,87483,723,87483,0,0
Roborock (US2),133200,727,87967,727,87967,0,0
Roborock (US2),136800,725,87725,725,87725,0,0
Roborock (US2),140400,725,87725,725,87725,0,0
Roborock (US2),144000,728,88088,728,88088,0,0
Roborock (US2),147600,724,87604,724,87604,0,0
Roborock (US2),151200,723,87483,723,87483,0,0
Roborock (US2),154800,727,87967,727,87967,0,0
Roborock (US2),158400,728,88088,728,88088,0,0
Roborock (US2),162000,724,87604,724,87604,0,0
Roborock (US2),165600,730,88330,730,88330,0,0
Roborock (US2),169200,728,88088,728,88088,0,0
Roborock (US2),172800,729,88209,729,88209,0,0
Roborock (US2),176400,727,87967,727,87967,0,0
Roborock (US2),180000,735,88935,735,88935,0,0
Roborock (US2),183600,730,88330,730,88330,0,0
Roborock (US2),187200,727,87967,727,87967,0,0
Roborock (US2),190800,727,87967,727,87967,0,0
Roborock (US2),194400,726,87846,726,87846,0,0
Roborock (US2),198000,728,88088,728,88088,0,0
Roborock (US2),201600,726,87846,726,87846,0,0
Roborock (US2),205200,731,88451,731,88451,0,0
Roborock (US2),208800,728,88088,728,88088,0,0
Roborock (US2),212400,728,88088,728,88088,0,0
Roborock (US2),216000,723,87483,723,87483,0,0
Roborock (US2),219600,726,87846,726,87846,0,0
Roborock (US2),223200,727,87967,727,87967,0,0
Roborock (US2),226800,725,87725,725,87725,0,0
Roborock (US2),230400,729,88209,729,88209,0,0
Roborock (US2),234000,720,87120,720,87120,0,0
Roborock (US2),237600,728,88088,728,88088,0,0
Roborock (US2),241200,731,88451,731,88451,0,0
Roborock (US2),244800,731,88451,731,88451,0,0
Roborock (US2),248400,731,88451,731,88451,0,0
Roborock (US2),252000,722,87362,722,87362,0,0
Roborock (US2),255600,739,89419,739,89419,0,0
Roborock (US2),259200,734,88814,734,88814,0,0
Roborock (US2),262800,736,89056,736,89056,0,0
Roborock (US2),266400,742,89782,742,89782,0,0
Roborock (US2),270000,727,87967,727,87967,0,0
Roborock (US2),273600,733,88693,733,88693,0,0
Roborock (US2),277200,734,88814,734,88814,0,0
Roborock (US2),280800,765,92565,765,92565,0,0
Roborock (US2),284400,745,90145,745,90145,0,0
Roborock (US2),288000,740,89540,740,89540,0,0
Roborock (US2),291600,743,89903,743,89903,0,0
Roborock (US2),295200,736,89056,736,89056,0,0
Roborock (US2),298800,748,90508,748,90508,0,0
Roborock (US2),302400,740,89540,740,89540,0,0
Roborock (US2),306000,737,89177,737,89177,0,0
Roborock (US2),309600,731,88451,731,88451,0,0
Roborock (US2),313200,734,88814,734,88814,0,0
Roborock (US2),316800,734,88814,734,88814,0,0
Roborock (US2),320400,730,88330,730,88330,0,0
Roborock (US2),324000,735,88935,735,88935,0,0
Roborock (US2),327600,726,87846,726,87846,0,0
Roborock (US2),331200,732,88572,732,88572,0,0
Roborock (US2),334800,745,90145,745,90145,0,0
Roborock (US2),338400,732,88572,732,88572,0,0
Roborock (US2),342000,730,88330,730,88330,0,0
Roborock (US2),345600,744,90024,744,90024,0,0
Roborock (US2),349200,746,90266,746,90266,0,0
Roborock (US2),352800,749,90629,749,90629,0,0
Roborock (US2),356400,728,88088,728,88088,0,0
Roborock (US2),360000,738,89298,738,89298,0,0
Roborock (US2),363600,733,88693,733,88693,0,0
Roborock (US2),367200,746,90266,746,90266,0,0
Roborock (US2),370800,745,90145,745,90145,0,0
Roborock (US2),374400,731,88451,731,88451,0,0
Roborock (US2),378000,738,89298,738,89298,0,0
Roborock (US2),381600,730,88330,730,88330,0,0
Roborock (US2),385200,731,88451,731,88451,0,0
Roborock (US2),388800,728,88088,728,88088,0,0
Roborock (US2),392400,732,88572,732,88572,0,0
Roborock (US2),396000,731,88451,731,88451,0,0
