Device,PacketTotal,ByteTotal,TxPacketTotal,TxPacketPct,TxByteTotal,TxBytePct,RxPacketTotal,RxPacketPct,RxByteTotal,RxBytePct,LanPacketTotal,LanPacketPct,LanByteTotal,LanBytePct,LanTxPacketTotal,LanTxPacketPct,LanTxByteTotal,LanTxBytePct,LanRxPacketTotal,LanRxPacketPct,LanRxByteTotal,LanRxBytePct,WanPacketTotal,WanPacketPct,WanByteTotal,WanBytePct,WanTxPacketTotal,WanTxPacketPct,WanTxByteTotal,WanTxBytePct,WanRxPacketTotal,WanRxPacketPct,WanRxByteTotal,WanRxBytePct
D-Link Camera (FR),141747,121629246,89011,0.627956853,115718118,0.951400439,52736,0.372043147,5911128,0.048599561,601,0.004239949,95777,0.00078745,601,0.004239949,95777,0.00078745,0,0,0,0,141146,0.995760051,121533469,0.99921255,88410,0.623716904,115622341,0.950612988,52736,0.372043147,5911128,0.048599561
Echo Dot 3 (FR),3149840,378767101,1557207,0.49437654,157212197,0.415062968,1592633,0.50562346,221554904,0.584937032,2794271,0.887115219,238668082,0.630118301,1366483,0.433826163,91871938,0.242555221,1427788,0.453289056,146796144,0.387563079,355569,0.112884781,140099019,0.369881699,190724,0.060550377,65340259,0.172507746,164845,0.052334404,74758760,0.197373953
Echo Show 5 (FR),3224304,515003615,1657524,0.514071874,218323835,0.423926801,1566780,0.485928126,296679780,0.576073199,2825336,0.876262288,243684848,0.473171141,1448141,0.449132898,135733831,0.263558987,1377195,0.42712939,107951017,0.209612154,398968,0.123737712,271318767,0.526828859,209383,0.064938976,82590004,0.160367814,189585,0.058798736,188728763,0.366461045
Google Speaker (FR),2862105,390957732,1529861,0.534523017,187676119,0.480041968,1332244,0.465476983,203281613,0.519958032,2492285,0.87078741,265132201,0.678160781,1333667,0.465974169,134601510,0.344286604,1158618,0.404813241,130530691,0.333874177,369820,0.12921259,125825531,0.321839219,196194,0.068548848,53074609,0.135755363,173626,0.060663742,72750922,0.186083855
Hue Bridge (FR),329446,87126562,203032,0.616283093,76278359,0.875489142,126414,0.383716907,10848203,0.124510858,262052,0.795432332,79381027,0.911100188,168992,0.512958118,70946155,0.814288472,93060,0.282474214,8434872,0.096811716,67394,0.204567668,7745535,0.088899812,34040,0.103324976,5332204,0.06120067,33354,0.101242692,2413331,0.027699142
Maxcio Power Strip (FR),108416,15640716,76841,0.7087607,12523878,0.800722806,31575,0.2912393,3116838,0.199277194,40430,0.372915437,9298900,0.594531606,40430,0.372915437,9298900,0.594531606,0,0,0,0,67986,0.627084563,6341816,0.405468394,36411,0.335845263,3224978,0.2061912,31575,0.2912393,3116838,0.199277194
Nest Camera (FR),151402,16061995,75603,0.499352717,9555210,0.59489559,75799,0.500647283,6506785,0.40510441,0,0,0,0,0,0,0,0,0,0,0,0,151402,1,16061995,1,75603,0.499352717,9555210,0.59489559,75799,0.500647283,6506785,0.40510441
Nest Mini (FR),2585200,403559092,1391349,0.538197818,175830758,0.435700153,1193851,0.461802182,227728334,0.564299847,2152212,0.832512765,213793855,0.529770879,1166185,0.451100495,116530413,0.288756753,986027,0.38141227,97263442,0.241014126,432988,0.167487235,189765237,0.470229121,225164,0.087097323,59300345,0.1469434,207824,0.080389912,130464892,0.323285721
Nest Thermostat (FR),136293,55221236,73627,0.540211163,37442041,0.678036996,62666,0.459788837,17779195,0.321963004,0,0,0,0,0,0,0,0,0,0,0,0,136293,1,55221236,1,73627,0.540211163,37442041,0.678036996,62666,0.459788837,17779195,0.321963004
Sony TV (FR),338075,122587480,233769,0.691470827,63144799,0.515099903,104306,0.308529173,59442681,0.484900097,126819,0.375120905,37512549,0.306006364,123716,0.365942468,37256699,0.303919283,3103,0.009178437,255850,0.002087081,211256,0.624879095,85074931,0.693993636,110053,0.325528359,25888100,0.21118062,101203,0.299350736,59186831,0.482813016
TP-Link Plug (FR),77016,25543291,49607,0.644112912,23757265,0.93007847,27409,0.355887088,1786026,0.06992153,67288,0.873688584,24442221,0.956893965,43393,0.563428379,23108740,0.90468922,23895,0.310260206,1333481,0.052204745,9728,0.126311416,1101070,0.043106035,6214,0.080684533,648525,0.02538925,3514,0.045626883,452545,0.017716785
TP-Link Light (FR),93333,39092780,64256,0.688459602,36870916,0.943164339,29077,0.311540398,2221864,0.056835661,59507,0.637577277,35877066,0.917741486,41857,0.448469459,34936191,0.893673742,17650,0.189107818,940875,0.024067743,33826,0.362422723,3215714,0.082258514,22399,0.239990143,1934725,0.049490596,11427,0.12243258,1280989,0.032767918
Amazon Light (US1),34129,5532138,19610,0.574584664,2258135,0.408184865,14519,0.425415336,3274003,0.591815135,0,0,0,0,0,0,0,0,0,0,0,0,34129,1,5532138,1,19610,0.574584664,2258135,0.408184865,14519,0.425415336,3274003,0.591815135
DreamGlass Air (US1),119791,52346841,113954,0.951273468,51734020,0.988293066,5837,0.048726532,612821,0.011706934,103986,0.868061874,50807888,0.970600843,103978,0.867995091,50807247,0.970588598,8,6.68E-05,641,1.22E-05,15805,0.131938126,1538953,0.029399157,9976,0.083278377,926773,0.017704469,5829,0.048659749,612180,0.011694689
Echo Dot 5 (US1),856342,413592415,450853,0.526487081,193703178,0.468343159,405489,0.473512919,219889237,0.531656841,21262,0.024828865,3905465,0.009442787,11300,0.013195662,1076119,0.002601883,9962,0.011633203,2829346,0.006840904,835080,0.975171135,409686950,0.990557213,439553,0.513291419,192627059,0.465741276,395527,0.461879716,217059891,0.524815937
Govee Kettle (US1),67949,7582885,44772,0.658905944,3935848,0.519043609,23177,0.341094056,3647037,0.480956391,0,0,0,0,0,0,0,0,0,0,0,0,67949,1,7582885,1,44772,0.658905944,3935848,0.519043609,23177,0.341094056,3647037,0.480956391
Hue Bridge (US1),1112702,245914902,699811,0.628929399,199586482,0.81160792,412891,0.371070601,46328420,0.18839208,872052,0.783724663,213843061,0.869581547,578545,0.519946041,189366220,0.770047762,293507,0.263778622,24476841,0.099533785,240650,0.216275337,32071841,0.130418453,121266,0.108983358,10220262,0.041560157,119384,0.107291979,21851579,0.088858295
Litokam Camera (US1),475033,89500856,379142,0.798138235,78814284,0.880598103,95891,0.201861765,10686572,0.119401897,261079,0.549601817,68402510,0.764266545,261078,0.549599712,68402436,0.764265718,1,2.11E-06,74,8.27E-07,213954,0.450398183,21098346,0.235733455,118064,0.248538523,10411848,0.116332385,95890,0.20185966,10686498,0.11940107
Metaquest Pro (US1),996919,657199831,520722,0.522331303,191030761,0.290673783,476197,0.477668697,466169070,0.709326217,0,0,0,0,0,0,0,0,0,0,0,0,996919,1,657199831,1,520722,0.522331303,191030761,0.290673783,476197,0.477668697,466169070,0.709326217
Nest Mini (US1),498036,117079997,318979,0.640473781,60276859,0.514834818,179057,0.359526219,56803138,0.485165182,113702,0.228300765,20353848,0.173845648,113702,0.228300765,20353848,0.173845648,0,0,0,0,384334,0.771699235,96726149,0.826154352,205277,0.412173016,39923011,0.34098917,179057,0.359526219,56803138,0.485165182
Netvue Camera (US1),754162,154423172,364350,0.483119012,34351172,0.222448299,389812,0.516880988,120072000,0.777551701,650286,0.862263015,137354791,0.889470079,298591,0.395924218,25912309,0.167800652,351695,0.466338797,111442482,0.721669427,103876,0.137736985,17068381,0.110529921,65759,0.087194794,8438863,0.054647647,38117,0.050542191,8629518,0.055882274
TP-Link Plug (US1),18061,2148120,11944,0.661314434,1357489,0.631942815,6117,0.338685566,790631,0.368057185,330,0.018271414,213180,0.099240266,330,0.018271414,213180,0.099240266,0,0,0,0,17731,0.981728586,1934940,0.900759734,11614,0.643043021,1144309,0.532702549,6117,0.338685566,790631,0.368057185
HoloLens 2 (US2),64754,23687692,39744,0.613769034,7809770,0.32969738,25010,0.386230966,15877922,0.67030262,12533,0.193547889,1910678,0.080661214,12533,0.193547889,1910678,0.080661214,0,0,0,0,52221,0.806452111,21777014,0.919338786,27211,0.420221145,5899092,0.249036166,25010,0.386230966,15877922,0.67030262
MagicLeap (US2),3590,1357836,1955,0.544568245,731119,0.53844426,1635,0.455431755,626717,0.46155574,0,0,0,0,0,0,0,0,0,0,0,0,3590,1,1357836,1,1955,0.544568245,731119,0.53844426,1635,0.455431755,626717,0.46155574
Metaquest 1 (US2),7124955,10106847708,3822073,0.536434686,1158945005,0.114669285,3302882,0.463565314,8947902703,0.885330715,0,0,0,0,0,0,0,0,0,0,0,0,7124955,1,10106847708,1,3822073,0.536434686,1158945005,0.114669285,3302882,0.463565314,8947902703,0.885330715
Metaquest 2 (US2),203879,119833963,100589,0.493375973,87337507,0.728820985,103290,0.506624027,32496456,0.271179015,0,0,0,0,0,0,0,0,0,0,0,0,203879,1,119833963,1,100589,0.493375973,87337507,0.728820985,103290,0.506624027,32496456,0.271179015
Roborock S7 (US2),188140,22409853,165678,0.880610184,19631030,0.875999945,22462,0.119389816,2778823,0.124000055,122804,0.652726693,14859284,0.663069231,122804,0.652726693,14859284,0.663069231,0,0,0,0,65336,0.347273307,7550569,0.336930769,42874,0.227883491,4771746,0.212930714,22462,0.119389816,2778823,0.124000055
