Device,PacketAvg,PacketCoV,ByteAvg,ByteCoV,TxPacketAvg,TxPacketCoV,TxByteAvg,TxByteCoV,RxPacketAvg,RxPacketCoV,RxByteAvg,RxByteCoV,LanPacketAvg,LanPacketCoV,LanByteAvg,LanByteCoV,LanTxPacketAvg,LanTxPacketCoV,LanTxByteAvg,LanTxByteCoV,LanRxPacketAvg,LanRxPacketCoV,LanRxByteAvg,LanRxByteCoV,WanPacketAvg,WanPacketCoV,WanByteAvg,WanByteCoV,WanTxPacketAvg,WanTxPacketCoV,WanTxByteAvg,WanTxByteCoV,WanRxPacketAvg,WanRxPacketCoV,WanRxByteAvg,WanRxByteCoV
D-Link Camera (FR),869.6134969,4.600902012,746191.6933,5.539796354,546.0797546,4.589902499,709927.1043,5.679406838,323.5337423,4.620130247,36264.58896,2.828717981,3.687116564,1.210856105,587.5889571,0.834084884,3.687116564,1.210856105,587.5889571,0.834084884,0,0,0,0,865.9263804,4.620860544,745604.1043,5.544203507,542.392638,4.621699423,709339.5153,5.684155588,323.5337423,4.620130247,36264.58896,2.828717981
Echo Dot 3 (FR),19324.17178,0.018707782,2323724.546,0.132646854,9553.417178,0.02197247,964492.0061,0.140799682,9770.754601,0.020572072,1359232.54,0.131086601,17142.76687,0.037642639,1464221.362,0.078548961,8383.331288,0.036300004,563631.5215,0.036057133,8759.435583,0.038986057,900589.8405,0.106437805,2181.404908,0.277185018,859503.184,0.477824368,1170.08589,0.324488268,400860.4847,0.375907978,1011.319018,0.223601042,458642.6994,0.581260202
Echo Show 5 (FR),19781.00613,0.05127572,3159531.38,0.333699771,10168.8589,0.056138701,1339410.031,0.24410983,9612.147239,0.04749638,1820121.35,0.49617407,17333.34969,0.037660532,1494999.067,0.076651577,8884.300613,0.035081016,832722.8896,0.027910052,8449.04908,0.040689004,662276.1779,0.140479385,2447.656442,0.333259619,1664532.313,0.631219374,1284.558282,0.390108985,506687.1411,0.643862,1163.09816,0.274015331,1157845.172,0.776637043
Google Speaker (FR),17558.92638,0.275521735,2398513.693,0.495693339,9385.650307,0.253072018,1151387.233,0.235404945,8173.276074,0.303052258,1247126.46,0.802247181,15290.09202,0.302287649,1626577.92,0.263444275,8182.006135,0.278941378,825776.135,0.248334113,7108.08589,0.331064874,800801.7853,0.322961376,2268.834356,0.38568671,771935.773,1.357883741,1203.644172,0.32186422,325611.0982,0.400818816,1065.190184,0.460145366,446324.6748,2.109040828
Hue Bridge (FR),3580.934783,0.147180564,947027.8478,0.213572962,2206.869565,0.127297404,829112.5978,0.212084888,1374.065217,0.182794222,117915.25,0.242957573,2848.391304,0.183863566,862837.25,0.239652466,1836.869565,0.15230244,771153.8587,0.232131018,1011.521739,0.246220302,91683.3913,0.306056117,732.5434783,0.232721833,84190.59783,0.330250334,370,0.239596798,57958.73913,0.296132823,362.5434783,0.225779982,26231.8587,0.488498025
Maxcio Power Strip (FR),665.1288344,0.226976857,95955.31288,0.31464318,471.4171779,0.260074181,76833.60736,0.358105433,193.7116564,0.259183913,19121.70552,0.272014053,248.0368098,0.440728749,57048.46626,0.440728749,248.0368098,0.440728749,57048.46626,0.440728749,0,0,0,0,417.0920245,0.231314814,38906.84663,0.258928225,223.3803681,0.211629993,19785.1411,0.248589543,193.7116564,0.259183913,19121.70552,0.272014053
Nest Camera (FR),928.8466258,0.09004517,98539.84663,0.143419465,463.8220859,0.090235144,58620.92025,0.139702831,465.0245399,0.090190972,39918.92638,0.149750211,0,0,0,0,0,0,0,0,0,0,0,0,928.8466258,0.09004517,98539.84663,0.143419465,463.8220859,0.090235144,58620.92025,0.139702831,465.0245399,0.090190972,39918.92638,0.149750211
Nest Mini (FR),15860.1227,0.250459382,2475822.65,0.567135527,8535.883436,0.239036245,1078716.307,0.244157241,7324.239264,0.265737895,1397106.344,0.871078583,13203.7546,0.303643322,1311618.742,0.317013682,7154.509202,0.288941685,714910.5092,0.304376198,6049.245399,0.323194606,596708.2331,0.376437733,2656.368098,0.459261574,1164203.908,1.172019532,1381.374233,0.423294917,363805.7975,0.455044753,1274.993865,0.501045982,800398.1104,1.5114048
Nest Thermostat (FR),1056.534884,1.004563009,428071.5969,1.063326931,570.751938,0.988480243,290248.3798,1.172387182,485.7829457,1.025840346,137823.2171,0.874173463,0,0,0,0,0,0,0,0,0,0,0,0,1056.534884,1.004563009,428071.5969,1.063326931,570.751938,0.988480243,290248.3798,1.172387182,485.7829457,1.025840346,137823.2171,0.874173463
Sony TV (FR),2074.079755,0.227037633,752070.4294,0.683367822,1434.165644,0.213079836,387391.4049,0.229759386,639.9141104,0.301430812,364679.0245,1.260332594,778.0306748,0.251961293,230138.3374,0.262690382,758.993865,0.253788193,228568.7055,0.263519136,19.03680982,1.000144418,1569.631902,0.975081157,1296.04908,0.334967934,521932.092,0.979341618,675.1717791,0.36165813,158822.6994,0.418764997,620.8773006,0.3093925,363109.3926,1.26590783
