Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
AmazonLight (Idle),0,0,0,0,0,0,0
AmazonLight (Idle),3600,0,0,0,0,0,0
AmazonLight (Idle),7200,0,0,0,0,0,0
AmazonLight (Idle),10800,0,0,0,0,0,0
AmazonLight (Idle),14400,0,0,0,0,0,0
AmazonLight (Idle),18000,0,0,0,0,0,0
AmazonLight (Idle),21600,0,0,0,0,0,0
AmazonLight (Idle),25200,0,0,0,0,0,0
AmazonLight (Idle),28800,0,0,0,0,0,0
AmazonLight (Idle),32400,0,0,0,0,0,0
AmazonLight (Idle),36000,0,0,0,0,0,0
AmazonLight (Idle),39600,0,0,0,0,0,0
AmazonLight (Idle),43200,0,0,0,0,0,0
AmazonLight (Idle),46800,0,0,0,0,0,0
AmazonLight (Idle),50400,0,0,0,0,0,0
AmazonLight (Idle),54000,0,0,0,0,0,0
AmazonLight (Idle),57600,0,0,0,0,0,0
AmazonLight (Idle),61200,0,0,0,0,0,0
AmazonLight (Idle),64800,0,0,0,0,0,0
AmazonLight (Idle),68400,0,0,0,0,0,0
AmazonLight (Idle),72000,0,0,0,0,0,0
AmazonLight (Idle),75600,0,0,0,0,0,0
AmazonLight (Idle),79200,0,0,0,0,0,0
AmazonLight (Idle),82800,0,0,0,0,0,0
AmazonLight (Idle),86400,0,0,0,0,0,0
AmazonLight (Idle),90000,0,0,0,0,0,0
AmazonLight (Idle),93600,0,0,0,0,0,0
AmazonLight (Idle),97200,0,0,0,0,0,0
AmazonLight (Idle),100800,0,0,0,0,0,0
AmazonLight (Idle),104400,0,0,0,0,0,0
AmazonLight (Idle),108000,0,0,0,0,0,0
AmazonLight (Idle),111600,0,0,0,0,0,0
AmazonLight (Idle),115200,0,0,0,0,0,0
AmazonLight (Idle),118800,0,0,0,0,0,0
AmazonLight (Idle),122400,0,0,0,0,0,0
AmazonLight (Idle),126000,0,0,0,0,0,0
AmazonLight (Idle),129600,0,0,0,0,0,0
AmazonLight (Idle),133200,0,0,0,0,0,0
AmazonLight (Idle),136800,0,0,0,0,0,0
AmazonLight (Idle),140400,0,0,0,0,0,0
AmazonLight (Idle),144000,0,0,0,0,0,0
AmazonLight (Idle),147600,0,0,0,0,0,0
AmazonLight (Idle),151200,0,0,0,0,0,0
AmazonLight (Idle),154800,0,0,0,0,0,0
AmazonLight (Idle),158400,0,0,0,0,0,0
AmazonLight (Idle),162000,0,0,0,0,0,0
AmazonLight (Idle),165600,0,0,0,0,0,0
AmazonLight (Idle),169200,0,0,0,0,0,0
AmazonLight (Idle),172800,0,0,0,0,0,0
AmazonLight (Idle),176400,0,0,0,0,0,0
AmazonLight (Idle),180000,0,0,0,0,0,0
AmazonLight (Idle),183600,0,0,0,0,0,0
AmazonLight (Idle),187200,0,0,0,0,0,0
AmazonLight (Idle),190800,0,0,0,0,0,0
AmazonLight (Idle),194400,0,0,0,0,0,0
AmazonLight (Idle),198000,0,0,0,0,0,0
AmazonLight (Idle),201600,0,0,0,0,0,0
AmazonLight (Idle),205200,0,0,0,0,0,0
AmazonLight (Idle),208800,0,0,0,0,0,0
AmazonLight (Idle),212400,0,0,0,0,0,0
AmazonLight (Idle),216000,0,0,0,0,0,0
AmazonLight (Idle),219600,0,0,0,0,0,0
AmazonLight (Idle),223200,0,0,0,0,0,0
AmazonLight (Idle),226800,0,0,0,0,0,0
AmazonLight (Idle),230400,0,0,0,0,0,0
AmazonLight (Idle),234000,0,0,0,0,0,0
