Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
EchoDot5 (Idle),0,4105,1926862,2306,1358423,1799,568439
EchoDot5 (Idle),3600,3036,1470531,1639,1038848,1397,431683
EchoDot5 (Idle),7200,3162,1492404,1772,1035894,1390,456510
EchoDot5 (Idle),10800,3077,1438961,1733,1012122,1344,426839
EchoDot5 (Idle),14400,3569,1775076,1959,1288970,1610,486106
EchoDot5 (Idle),18000,3698,1935187,2079,1324639,1619,610548
EchoDot5 (Idle),21600,3666,1789120,2055,1275507,1611,513613
EchoDot5 (Idle),25200,3340,1723535,1861,1244903,1479,478632
EchoDot5 (Idle),28800,3261,1651325,1818,1195986,1443,455339
EchoDot5 (Idle),32400,3373,1718704,1866,1249749,1507,468955
EchoDot5 (Idle),36000,2896,1327615,1594,901606,1302,426009
EchoDot5 (Idle),39600,2979,1457430,1652,1044569,1327,412861
EchoDot5 (Idle),43200,2994,1339874,1668,900432,1326,439442
EchoDot5 (Idle),46800,3322,1554742,1844,1063494,1478,491248
EchoDot5 (Idle),50400,2642,1154815,1441,769282,1201,385533
EchoDot5 (Idle),54000,3066,1555250,1680,1047875,1386,507375
EchoDot5 (Idle),57600,2736,1193786,1491,809479,1245,384307
EchoDot5 (Idle),61200,2580,1085044,1424,695256,1156,389788
EchoDot5 (Idle),64800,2978,1320181,1591,902101,1387,418080
EchoDot5 (Idle),68400,2305,916741,1250,583702,1055,333039
EchoDot5 (Idle),72000,2638,1000357,1445,594542,1193,405815
EchoDot5 (Idle),75600,2717,1149997,1492,704732,1225,445265
EchoDot5 (Idle),79200,2761,1129172,1527,722818,1234,406354
EchoDot5 (Idle),82800,2876,1255468,1553,832491,1323,422977
EchoDot5 (Idle),86400,2580,1104347,1431,729420,1149,374927
EchoDot5 (Idle),90000,2516,1057142,1400,687882,1116,369260
EchoDot5 (Idle),93600,2458,1004652,1337,635759,1121,368893
EchoDot5 (Idle),97200,2987,1163781,1632,717577,1355,446204
EchoDot5 (Idle),100800,2997,1247194,1621,827522,1376,419672
EchoDot5 (Idle),104400,3077,1457512,1694,891791,1383,565721
EchoDot5 (Idle),108000,2738,1142595,1499,743119,1239,399476
EchoDot5 (Idle),111600,2443,980715,1334,601958,1109,378757
EchoDot5 (Idle),115200,2454,964638,1325,619850,1129,344788
EchoDot5 (Idle),118800,2285,889462,1240,545030,1045,344432
EchoDot5 (Idle),122400,2707,1217464,1473,842948,1234,374516
EchoDot5 (Idle),126000,3135,1402239,1706,932500,1429,469739
EchoDot5 (Idle),129600,2625,1083611,1421,711388,1204,372223
EchoDot5 (Idle),133200,2926,1303701,1642,890646,1284,413055
EchoDot5 (Idle),136800,3214,1494083,1763,1033394,1451,460689
EchoDot5 (Idle),140400,3112,1471698,1720,973250,1392,498448
EchoDot5 (Idle),144000,2657,1080939,1456,679609,1201,401330
EchoDot5 (Idle),147600,2328,900145,1259,558791,1069,341354
EchoDot5 (Idle),151200,2379,923269,1288,562586,1091,360683
EchoDot5 (Idle),154800,3669,1626144,2069,1091522,1600,534622
EchoDot5 (Idle),158400,2935,1227452,1634,810250,1301,417202
EchoDot5 (Idle),162000,3189,1442403,1813,986696,1376,455707
EchoDot5 (Idle),165600,3110,1370490,1775,919516,1335,450974
EchoDot5 (Idle),169200,2988,1335375,1675,816655,1313,518720
EchoDot5 (Idle),172800,2967,1276334,1674,849752,1293,426582
EchoDot5 (Idle),176400,2765,1184385,1568,797511,1197,386874
EchoDot5 (Idle),180000,2676,1078325,1497,695423,1179,382902
EchoDot5 (Idle),183600,2700,1117314,1503,720558,1197,396756
EchoDot5 (Idle),187200,3608,1744641,2056,1253596,1552,491045
EchoDot5 (Idle),190800,3376,1556602,1934,1083693,1442,472909
EchoDot5 (Idle),194400,3833,1815215,2225,1284822,1608,530393
EchoDot5 (Idle),198000,3479,1739085,1997,1186903,1482,552182
EchoDot5 (Idle),201600,3975,1931573,2268,1415964,1707,515609
EchoDot5 (Idle),205200,4086,1926642,2313,1390470,1773,536172
EchoDot5 (Idle),208800,2892,1254792,1629,857784,1263,397008
EchoDot5 (Idle),212400,3340,1578347,1893,1129031,1447,449316
EchoDot5 (Idle),216000,2949,1266623,1666,843971,1283,422652
EchoDot5 (Idle),219600,3343,1501182,1865,1033033,1478,468149
EchoDot5 (Idle),223200,2952,1311219,1650,826428,1302,484791
EchoDot5 (Idle),226800,2857,1276350,1616,870725,1241,405625
EchoDot5 (Idle),230400,2856,1236865,1607,819770,1249,417095
EchoDot5 (Idle),234000,3155,1392337,1740,866007,1415,526330
