Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Netvue (Idle),0,4044,837084,1900,173002,2144,664082
Netvue (Idle),3600,4086,851090,1921,173336,2165,677754
Netvue (Idle),7200,4119,859335,1947,175858,2172,683477
Netvue (Idle),10800,4126,859394,1939,174877,2187,684517
Netvue (Idle),14400,4184,865879,1965,177112,2219,688767
Netvue (Idle),18000,4112,855235,1935,174628,2177,680607
Netvue (Idle),21600,4115,854666,1942,175566,2173,679100
Netvue (Idle),25200,4131,861994,1949,177050,2182,684944
Netvue (Idle),28800,4193,882262,1979,180474,2214,701788
Netvue (Idle),32400,4217,882684,1983,180348,2234,702336
Netvue (Idle),36000,4096,847852,1929,174828,2167,673024
Netvue (Idle),39600,4112,855167,1935,174560,2177,680607
Netvue (Idle),43200,4088,851403,1921,173529,2167,677874
Netvue (Idle),46800,4089,844698,1929,173782,2160,670916
Netvue (Idle),50400,4127,857708,1938,174701,2189,683007
Netvue (Idle),54000,4137,884286,1949,206122,2188,678164
Netvue (Idle),57600,4041,843604,1897,173002,2144,670602
Netvue (Idle),61200,4108,853225,1936,174582,2172,678643
Netvue (Idle),64800,3850,795822,1801,163049,2049,632773
Netvue (Idle),68400,4185,874510,1950,177051,2235,697459
Netvue (Idle),72000,4108,853022,1938,174511,2170,678511
Netvue (Idle),75600,4073,846619,1921,173978,2152,672641
Netvue (Idle),79200,4085,851103,1921,173415,2164,677688
Netvue (Idle),82800,4071,845096,1920,173164,2151,671932
Netvue (Idle),86400,4124,857552,1937,174652,2187,682900
Netvue (Idle),90000,4128,857683,1934,174715,2194,682968
Netvue (Idle),93600,4047,838159,1915,172361,2132,665798
Netvue (Idle),97200,4112,856140,1936,175598,2176,680542
Netvue (Idle),100800,4132,860829,1938,175042,2194,685787
Netvue (Idle),104400,4294,946858,2037,244091,2257,702767
Netvue (Idle),108000,4168,875728,1967,180482,2201,695246
Netvue (Idle),111600,4145,868343,1962,178379,2183,689964
Netvue (Idle),115200,4146,863961,1959,178182,2187,685779
Netvue (Idle),118800,4153,869885,1962,178550,2191,691335
Netvue (Idle),122400,4186,872264,1968,178288,2218,693976
Netvue (Idle),126000,4081,846168,1931,173857,2150,672311
Netvue (Idle),129600,4126,859465,1937,174800,2189,684665
Netvue (Idle),133200,4112,855165,1936,174611,2176,680554
Netvue (Idle),136800,4100,855421,1924,173663,2176,681758
Netvue (Idle),140400,4204,899247,1991,207931,2213,691316
Netvue (Idle),144000,4085,854037,1912,174563,2173,679474
Netvue (Idle),147600,4165,888706,1974,204131,2191,684575
Netvue (Idle),151200,4095,852827,1924,174676,2171,678151
Netvue (Idle),154800,3936,819889,1848,167289,2088,652600
Netvue (Idle),158400,4031,836089,1891,171017,2140,665072
Netvue (Idle),162000,4018,837657,1886,171286,2132,666371
Netvue (Idle),165600,4159,865463,1953,175983,2206,689480
Netvue (Idle),169200,4006,832346,1885,170187,2121,662159
Netvue (Idle),172800,4008,833466,1890,171059,2118,662407
Netvue (Idle),176400,4067,843977,1906,172182,2161,671795
Netvue (Idle),180000,4128,856014,1934,174655,2194,681359
Netvue (Idle),183600,4116,857439,1936,174976,2180,682463
Netvue (Idle),187200,4125,859461,1937,174850,2188,684611
Netvue (Idle),190800,4248,931568,2016,234742,2232,696826
Netvue (Idle),194400,4132,863966,1951,179015,2181,684951
Netvue (Idle),198000,4152,869756,1963,178541,2189,691215
Netvue (Idle),201600,4107,855867,1946,177107,2161,678760
Netvue (Idle),205200,4190,873813,1978,179417,2212,694396
Netvue (Idle),208800,4118,858079,1937,175551,2181,682528
Netvue (Idle),212400,4088,848569,1932,174218,2156,674351
Netvue (Idle),216000,4139,862202,1947,176083,2192,686119
Netvue (Idle),219600,4110,855058,1935,174569,2175,680489
Netvue (Idle),223200,4106,856154,1925,174043,2181,682111
Netvue (Idle),226800,4122,859889,1928,174452,2194,685437
Netvue (Idle),230400,4199,904658,1985,212889,2214,691769
Netvue (Idle),234000,4012,837695,1881,171637,2131,666058
