Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
PhillipsBridge (Idle),0,4300,986526,2620,846414,1680,140112
PhillipsBridge (Idle),3600,4518,1037205,2773,891673,1745,145532
PhillipsBridge (Idle),7200,4362,1001994,2652,859380,1710,142614
PhillipsBridge (Idle),10800,4509,1031505,2748,884668,1761,146837
PhillipsBridge (Idle),14400,4452,1022466,2712,877350,1740,145116
PhillipsBridge (Idle),18000,4538,1040783,2778,894000,1760,146783
PhillipsBridge (Idle),21600,4375,1004580,2664,861900,1711,142680
PhillipsBridge (Idle),25200,4512,1032143,2752,885360,1760,146783
PhillipsBridge (Idle),28800,4372,1004064,2662,861450,1710,142614
PhillipsBridge (Idle),32400,4610,1056629,2820,907344,1790,149285
PhillipsBridge (Idle),36000,4386,1007112,2676,864498,1710,142614
PhillipsBridge (Idle),39600,4520,1034335,2760,887552,1760,146783
PhillipsBridge (Idle),43200,4356,1001594,2661,860231,1695,141363
PhillipsBridge (Idle),46800,4486,1024545,2726,877762,1760,146783
PhillipsBridge (Idle),50400,4390,1008866,2678,866120,1712,142746
PhillipsBridge (Idle),54000,4470,1026283,2736,881750,1734,144533
PhillipsBridge (Idle),57600,4328,999824,2659,860711,1669,139113
PhillipsBridge (Idle),61200,4529,1038481,2768,891644,1761,146837
PhillipsBridge (Idle),64800,4104,951688,2531,820687,1573,131001
PhillipsBridge (Idle),68400,4571,1050745,2808,903776,1763,146969
PhillipsBridge (Idle),72000,4419,1018064,2706,875288,1713,142776
PhillipsBridge (Idle),75600,4475,1024083,2729,878485,1746,145598
PhillipsBridge (Idle),79200,4340,997966,2645,856603,1695,141363
PhillipsBridge (Idle),82800,4478,1024289,2732,878703,1746,145586
PhillipsBridge (Idle),86400,4365,1001848,2654,859180,1711,142668
PhillipsBridge (Idle),90000,4544,1042447,2784,895664,1760,146783
PhillipsBridge (Idle),93600,4342,997244,2647,855881,1695,141363
PhillipsBridge (Idle),97200,4536,1040619,2776,893836,1760,146783
PhillipsBridge (Idle),100800,4397,1011776,2687,869162,1710,142614
PhillipsBridge (Idle),104400,4610,1055923,2819,906572,1791,149351
PhillipsBridge (Idle),108000,4390,1008898,2680,866284,1710,142614
PhillipsBridge (Idle),111600,4373,1004482,2662,861814,1711,142668
PhillipsBridge (Idle),115200,4511,1032033,2750,885196,1761,146837
PhillipsBridge (Idle),118800,4510,1031979,2750,885196,1760,146783
PhillipsBridge (Idle),122400,4456,1022794,2716,877678,1740,145116
PhillipsBridge (Idle),126000,4450,1019799,2710,874696,1740,145103
PhillipsBridge (Idle),129600,4428,1016202,2698,871908,1730,144294
PhillipsBridge (Idle),133200,4382,1006706,2672,864092,1710,142614
PhillipsBridge (Idle),136800,4471,1021479,2725,875893,1746,145586
PhillipsBridge (Idle),140400,4414,1012882,2689,869017,1725,143865
PhillipsBridge (Idle),144000,4453,1021435,2722,877088,1731,144347
PhillipsBridge (Idle),147600,4395,1011270,2684,868590,1711,142680
PhillipsBridge (Idle),151200,4478,1023949,2731,878285,1747,145664
PhillipsBridge (Idle),154800,4204,971210,2582,835994,1622,135216
PhillipsBridge (Idle),158400,4463,1027223,2745,884007,1718,143216
PhillipsBridge (Idle),162000,4282,987272,2625,849113,1657,138159
PhillipsBridge (Idle),165600,4555,1043723,2779,895635,1776,148088
PhillipsBridge (Idle),169200,4288,989998,2634,852136,1654,137862
PhillipsBridge (Idle),172800,4419,1012543,2703,869447,1716,143096
PhillipsBridge (Idle),176400,4326,994770,2644,854526,1682,140244
PhillipsBridge (Idle),180000,4512,1033315,2752,886532,1760,146783
PhillipsBridge (Idle),183600,4384,1008406,2674,865792,1710,142614
PhillipsBridge (Idle),187200,4508,1031451,2748,884668,1760,146783
PhillipsBridge (Idle),190800,4400,1013154,2690,870540,1710,142614
PhillipsBridge (Idle),194400,4512,1032143,2752,885360,1760,146783
PhillipsBridge (Idle),198000,4392,1010962,2682,868348,1710,142614
PhillipsBridge (Idle),201600,4500,1028165,2740,881382,1760,146783
PhillipsBridge (Idle),205200,4436,1016546,2696,871430,1740,145116
PhillipsBridge (Idle),208800,4508,1029915,2748,883132,1760,146783
PhillipsBridge (Idle),212400,4342,993846,2632,851232,1710,142614
PhillipsBridge (Idle),216000,4534,1038555,2774,891772,1760,146783
PhillipsBridge (Idle),219600,4380,1006542,2670,863928,1710,142614
PhillipsBridge (Idle),223200,4485,1027599,2739,882013,1746,145586
PhillipsBridge (Idle),226800,4364,1003668,2668,862251,1696,141417
PhillipsBridge (Idle),230400,4543,1043433,2779,896386,1764,147047
PhillipsBridge (Idle),234000,4275,987004,2620,849088,1655,137916
