Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
PhillipsBridge (Idle),0,4891,1030282,2921,868903,1970,161379
PhillipsBridge (Idle),3600,5303,1143792,3181,961179,2122,182613
PhillipsBridge (Idle),7200,4982,1046656,2968,882499,2014,164157
PhillipsBridge (Idle),10800,5192,1093762,3097,916756,2095,177006
PhillipsBridge (Idle),14400,5059,1065958,3019,899659,2040,166299
PhillipsBridge (Idle),18000,5233,1105566,3134,923864,2099,181702
PhillipsBridge (Idle),21600,4983,1049153,2972,885298,2011,163855
PhillipsBridge (Idle),25200,5120,1075725,3061,907849,2059,167876
PhillipsBridge (Idle),28800,4971,1046836,2966,883489,2005,163347
PhillipsBridge (Idle),32400,5369,1128996,3207,945100,2162,183896
PhillipsBridge (Idle),36000,4982,1049614,2978,886357,2004,163257
PhillipsBridge (Idle),39600,5151,1083775,3082,911964,2069,171811
PhillipsBridge (Idle),43200,4940,1043016,2957,881550,1983,161466
PhillipsBridge (Idle),46800,5079,1066849,3027,899531,2052,167318
PhillipsBridge (Idle),50400,4991,1052749,2982,889134,2009,163615
PhillipsBridge (Idle),54000,5110,1079227,3061,909214,2049,170013
PhillipsBridge (Idle),57600,4932,1043140,2964,882963,1968,160177
PhillipsBridge (Idle),61200,5124,1080897,3069,913417,2055,167480
PhillipsBridge (Idle),64800,4786,1015462,2881,850063,1905,165399
PhillipsBridge (Idle),68400,5290,1121365,3177,935548,2113,185817
PhillipsBridge (Idle),72000,5015,1060570,3008,897151,2007,163419
PhillipsBridge (Idle),75600,5071,1066553,3030,900258,2041,166295
PhillipsBridge (Idle),79200,5024,1059613,2996,888159,2028,171454
PhillipsBridge (Idle),82800,5073,1066705,3033,900476,2040,166229
PhillipsBridge (Idle),86400,4957,1043958,2953,880773,2004,163185
PhillipsBridge (Idle),90000,5286,1140004,3167,957788,2119,182216
PhillipsBridge (Idle),93600,4936,1039534,2948,877654,1988,161880
PhillipsBridge (Idle),97200,5209,1101923,3120,925433,2089,176490
PhillipsBridge (Idle),100800,4991,1054102,2988,890935,2003,163167
PhillipsBridge (Idle),104400,5206,1098399,3121,928405,2085,169994
PhillipsBridge (Idle),108000,4990,1052731,2984,889302,2006,163429
PhillipsBridge (Idle),111600,4966,1046718,2962,883497,2004,163221
PhillipsBridge (Idle),115200,5099,1073819,3049,906789,2050,167030
PhillipsBridge (Idle),118800,5267,1104294,3138,923046,2129,181248
PhillipsBridge (Idle),122400,5051,1065210,3017,899451,2034,165759
PhillipsBridge (Idle),126000,5177,1091219,3084,906937,2093,184282
PhillipsBridge (Idle),129600,5025,1058762,3000,893771,2025,164991
PhillipsBridge (Idle),133200,4975,1048978,2973,885865,2002,163113
PhillipsBridge (Idle),136800,5067,1064976,3028,898845,2039,166131
PhillipsBridge (Idle),140400,5050,1064738,3013,895627,2037,169111
PhillipsBridge (Idle),144000,5052,1064429,3025,899204,2027,165225
PhillipsBridge (Idle),147600,4988,1053506,2984,890273,2004,163233
PhillipsBridge (Idle),151200,5072,1066305,3031,899998,2041,166307
PhillipsBridge (Idle),154800,4833,1020474,2902,860230,1931,160244
PhillipsBridge (Idle),158400,5054,1069351,3045,905690,2009,163661
PhillipsBridge (Idle),162000,4874,1029364,2925,870754,1949,158610
PhillipsBridge (Idle),165600,5246,1107010,3132,927425,2114,179585
PhillipsBridge (Idle),169200,4883,1032414,2935,873909,1948,158505
PhillipsBridge (Idle),172800,5176,1084837,3090,907232,2086,177605
PhillipsBridge (Idle),176400,5065,1092527,3024,916778,2041,175749
PhillipsBridge (Idle),180000,5108,1075785,3053,908305,2055,167480
PhillipsBridge (Idle),183600,5219,1099669,3102,913398,2117,186271
PhillipsBridge (Idle),187200,5097,1073327,3046,906171,2051,167156
PhillipsBridge (Idle),190800,4990,1055192,2990,892223,2000,162969
PhillipsBridge (Idle),194400,5112,1075990,3056,908396,2056,167594
PhillipsBridge (Idle),198000,4985,1053238,2982,890035,2003,163203
PhillipsBridge (Idle),201600,5095,1070581,3041,903155,2054,167426
PhillipsBridge (Idle),205200,5031,1058962,2997,893203,2034,165759
PhillipsBridge (Idle),208800,5099,1071971,3048,904815,2051,167156
PhillipsBridge (Idle),212400,5068,1065061,3005,883365,2063,181696
PhillipsBridge (Idle),216000,5128,1080953,3077,913725,2051,167228
PhillipsBridge (Idle),219600,4977,1049060,2972,885757,2005,163303
PhillipsBridge (Idle),223200,5084,1071420,3044,905167,2040,166253
PhillipsBridge (Idle),226800,5008,1056130,2995,889097,2013,167033
PhillipsBridge (Idle),230400,5141,1086307,3080,918356,2061,167951
PhillipsBridge (Idle),234000,4866,1029060,2919,870681,1947,158379
