Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
TPLink (Idle),0,50,5268,33,3210,17,2058
TPLink (Idle),3600,47,4950,31,3015,16,1935
TPLink (Idle),7200,47,4950,31,3015,16,1935
TPLink (Idle),10800,50,5286,33,3219,17,2067
TPLink (Idle),14400,47,4980,31,3030,16,1950
TPLink (Idle),18000,48,5046,31,3030,17,2016
TPLink (Idle),21600,51,5366,33,3226,18,2140
TPLink (Idle),25200,47,4980,31,3030,16,1950
TPLink (Idle),28800,47,4980,31,3030,16,1950
TPLink (Idle),32400,47,4980,31,3030,16,1950
TPLink (Idle),36000,50,5300,33,3226,17,2074
TPLink (Idle),39600,47,4980,31,3030,16,1950
TPLink (Idle),43200,47,4980,31,3030,16,1950
TPLink (Idle),46800,50,5300,33,3226,17,2074
TPLink (Idle),50400,47,4980,31,3030,16,1950
TPLink (Idle),54000,49,5112,31,3030,18,2082
TPLink (Idle),57600,47,4980,31,3030,16,1950
TPLink (Idle),61200,50,5300,33,3226,17,2074
TPLink (Idle),64800,47,4980,31,3030,16,1950
TPLink (Idle),68400,47,4980,31,3030,16,1950
TPLink (Idle),72000,50,5300,33,3226,17,2074
TPLink (Idle),75600,47,4980,31,3030,16,1950
TPLink (Idle),79200,47,4980,31,3030,16,1950
TPLink (Idle),82800,47,4980,31,3030,16,1950
TPLink (Idle),86400,50,5300,33,3226,17,2074
TPLink (Idle),90000,47,4980,31,3030,16,1950
TPLink (Idle),93600,47,4980,31,3030,16,1950
TPLink (Idle),97200,50,5300,33,3226,17,2074
TPLink (Idle),100800,47,4980,31,3030,16,1950
TPLink (Idle),104400,47,4980,31,3030,16,1950
TPLink (Idle),108000,47,4980,31,3030,16,1950
TPLink (Idle),111600,50,5300,33,3226,17,2074
TPLink (Idle),115200,47,4980,31,3030,16,1950
TPLink (Idle),118800,47,4980,31,3030,16,1950
TPLink (Idle),122400,47,4980,31,3030,16,1950
TPLink (Idle),126000,50,5300,33,3226,17,2074
TPLink (Idle),129600,47,4980,31,3030,16,1950
TPLink (Idle),133200,48,5046,31,3030,17,2016
TPLink (Idle),136800,51,5366,33,3226,18,2140
TPLink (Idle),140400,47,4980,31,3030,16,1950
TPLink (Idle),144000,47,4980,31,3030,16,1950
TPLink (Idle),147600,47,4980,31,3030,16,1950
TPLink (Idle),151200,50,5300,33,3226,17,2074
TPLink (Idle),154800,47,4980,31,3030,16,1950
TPLink (Idle),158400,47,4980,31,3030,16,1950
TPLink (Idle),162000,50,5300,33,3226,17,2074
TPLink (Idle),165600,47,4980,31,3030,16,1950
TPLink (Idle),169200,47,4980,31,3030,16,1950
TPLink (Idle),172800,47,4980,31,3030,16,1950
TPLink (Idle),176400,50,5300,33,3226,17,2074
TPLink (Idle),180000,47,4980,31,3030,16,1950
TPLink (Idle),183600,49,5112,31,3030,18,2082
TPLink (Idle),187200,50,5300,33,3226,17,2074
TPLink (Idle),190800,49,5160,33,3210,16,1950
TPLink (Idle),194400,47,4980,31,3030,16,1950
TPLink (Idle),198000,49,5112,31,3030,18,2082
TPLink (Idle),201600,50,5300,33,3226,17,2074
TPLink (Idle),205200,47,4980,31,3030,16,1950
TPLink (Idle),208800,48,5070,32,3120,16,1950
TPLink (Idle),212400,52,5432,33,3226,19,2206
TPLink (Idle),216000,47,4980,31,3030,16,1950
TPLink (Idle),219600,47,4980,31,3030,16,1950
TPLink (Idle),223200,50,5322,33,3237,17,2085
TPLink (Idle),226800,47,5010,31,3045,16,1965
TPLink (Idle),230400,47,5010,31,3045,16,1965
TPLink (Idle),234000,47,5010,31,3045,16,1965
