IP, Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
18.204.83.38,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,100,9000,50,4500,50,4500
18.204.96.150,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,116,10440,58,5220,58,5220
18.205.68.150,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,128,11520,64,5760,64,5760
18.234.8.250,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,122,10980,61,5490,61,5490
209.54.177.114,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,28,8111,13,6160,15,1951
209.54.177.153,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,56,16222,26,12320,30,3902
209.54.177.154,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,56,16251,26,12349,30,3902
209.54.177.157,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,113,32498,52,24640,61,7858
209.54.178.134,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,28,8111,13,6160,15,1951
209.54.178.164,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,141,40609,65,30800,76,9809
209.54.178.166,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,56,16251,26,12349,30,3902
209.54.179.88,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,29,8165,13,6160,16,2005
209.54.180.25,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,56,16222,26,12320,30,3902
209.54.180.27,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,138,40447,64,30746,74,9701
209.54.180.44,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,28,8111,13,6160,15,1951
209.54.181.4,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,28,8111,13,6160,15,1951
3.214.58.173,Support,None,None,None,None,"AMAZON-AES, US",US,None,None,None,None,120,10800,60,5400,60,5400
3.215.53.245,Support,None,None,None,None,"AMAZON-AES, US",US,None,None,None,None,134,12060,67,6030,67,6030
3.234.38.31,Support,None,None,None,None,"AMAZON-AES, US",US,None,None,None,None,88,7920,44,3960,44,3960
