Device,ProtocolType,PacketsOverall,BytesOverall,TxPacketsOverall,TxBytesOverall,RxPacketsOverall,RxBytesOverall,PacketsPctFirst,BytesPctFirst,TxPacketsPctFirst,TxBytesPctFirst,RxPacketsPctFirst,RxBytesPctFirst,PacketsPctSupport,BytesPctSupport,TxPacketsPctSupport,TxBytesPctSupport,RxPacketsPctSupport,RxBytesPctSupport,PacketsPctThird,BytesPctThird,TxPacketsPctThird,TxBytesPctThird,RxPacketsPctThird,RxBytesPctThird,PacketsPctLocal,BytesPctLocal,TxPacketsPctLocal,TxBytesPctLocal,RxPacketsPctLocal,RxBytesPctLocal
AmazonLight,Management,1602,144180,801,72090,801,72090,0.12359550561797752,0.12359550561797752,0.12359550561797752,0.12359550561797752,0.12359550561797752,0.12359550561797752,0.8764044943820225,0.8764044943820225,0.8764044943820225,0.8764044943820225,0.8764044943820225,0.8764044943820225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AmazonLight,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmazonLight,Encrypted,4708,881521,2763,362073,1945,519448,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AmazonLight,Unencrypted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EchoDot5,Management,4,360,2,180,2,180,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EchoDot5,Discovery,6340,1129590,3525,343144,2815,786446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
EchoDot5,Encrypted,191005,88357919,106603,59914630,84402,28443289,0.9955341483207246,0.9900316122202923,0.9945029689595978,0.9990562071400592,0.9968365678538423,0.9710216705248117,0.004465851679275412,0.009968387779707669,0.00549703104040224,0.0009437928599408859,0.003163432146157674,0.02897832947518833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EchoDot5,Unencrypted,12636,1976411,5841,565869,6795,1410542,0.30721747388414056,0.26148913358608106,0.3323061119671289,0.35421272414640137,0.28565121412803535,0.22429108810655762,0.3327002215891105,0.28636250253616274,0.35986988529361413,0.38396165897053913,0.30934510669610005,0.2472085198455629,0.0,0.0,0.0,0.0,0.0,0.0,0.360082304526749,0.4521483638777562,0.307824002739257,0.2618256168830595,0.4050036791758646,0.5285003920478795
Govee,Management,134,12060,67,6030,67,6030,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Govee,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
