MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
EC:B5:FA:99:AC:15,ALL,ip,192.168.1.107,249265,52765676,136976,43402199,112289,9363477
EC:B5:FA:99:AC:15,ALL,ip,192.168.1.109,4352,878880,2752,745472,1600,133408
EC:B5:FA:99:AC:15,ALL,ip,224.0.0.251,5773,1889854,5773,1889854,0,0
EC:B5:FA:99:AC:15,ALL,ip,239.255.255.250,27354,9601254,27354,9601254,0,0
EC:B5:FA:99:AC:15,ALL,tcp,192.168.1.107,224515,44400176,112226,35036699,112289,9363477
EC:B5:FA:99:AC:15,ALL,tcp,192.168.1.109,3200,489504,1600,356096,1600,133408
EC:B5:FA:99:AC:15,ALL,udp,192.168.1.107,24750,8365500,24750,8365500,0,0
EC:B5:FA:99:AC:15,ALL,udp,192.168.1.109,1152,389376,1152,389376,0,0
EC:B5:FA:99:AC:15,ALL,udp,224.0.0.251,5773,1889854,5773,1889854,0,0
EC:B5:FA:99:AC:15,ALL,udp,239.255.255.250,27354,9601254,27354,9601254,0,0
EC:B5:FA:99:AC:15,ALL,http,192.168.1.107,44890,5409245,22445,1346700,22445,4062545
EC:B5:FA:99:AC:15,ALL,http,192.168.1.109,640,77088,320,19200,320,57888
EC:B5:FA:99:AC:15,ALL,ssdp,192.168.1.107,24750,8365500,24750,8365500,0,0
EC:B5:FA:99:AC:15,ALL,ssdp,192.168.1.109,1152,389376,1152,389376,0,0
EC:B5:FA:99:AC:15,ALL,ssdp,239.255.255.250,27354,9601254,27354,9601254,0,0
EC:B5:FA:99:AC:15,ALL,mdns,224.0.0.251,5773,1889854,5773,1889854,0,0
