Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
Netvue (US1-1),0,304,59050,192,25481,112,33569
Netvue (US1-1),3600,281,50933,178,23670,103,27263
Netvue (US1-1),7200,256,42157,163,21263,93,20894
Netvue (US1-1),10800,259,43752,165,21682,94,22070
Netvue (US1-1),14400,254,41957,162,21129,92,20828
Netvue (US1-1),18000,253,41729,163,21033,90,20696
Netvue (US1-1),21600,258,42130,164,21184,94,20946
Netvue (US1-1),25200,253,41779,162,21005,91,20774
Netvue (US1-1),28800,243,35860,158,20761,85,15099
Netvue (US1-1),32400,268,44122,167,21652,101,22470
Netvue (US1-1),36000,257,41940,163,20992,94,20948
Netvue (US1-1),39600,259,42617,164,21605,95,21012
Netvue (US1-1),43200,255,41903,164,21119,91,20784
Netvue (US1-1),46800,248,36260,157,20801,91,15459
Netvue (US1-1),50400,256,42022,165,21274,91,20748
Netvue (US1-1),54000,257,43509,165,21547,92,21962
Netvue (US1-1),57600,255,42162,163,21334,92,20828
Netvue (US1-1),61200,257,42015,164,21121,93,20894
Netvue (US1-1),64800,256,41949,164,21123,92,20826
Netvue (US1-1),68400,257,42255,162,21217,95,21038
Netvue (US1-1),72000,279,50882,177,22879,102,28003
Netvue (US1-1),75600,261,40183,164,21999,97,18184
Netvue (US1-1),79200,281,50660,179,23418,102,27242
Netvue (US1-1),82800,304,59054,191,25461,113,33593
Netvue (US1-1),86400,280,50791,178,23592,102,27199
Netvue (US1-1),90000,305,58980,194,25465,111,33515
Netvue (US1-1),93600,260,42730,166,21757,94,20973
Netvue (US1-1),97200,265,44766,167,22433,98,22333
Netvue (US1-1),100800,255,42360,163,21518,92,20842
Netvue (US1-1),104400,258,42163,164,21190,94,20973
Netvue (US1-1),108000,259,42974,164,21702,95,21272
Netvue (US1-1),111600,255,42044,164,21268,91,20776
Netvue (US1-1),115200,252,37006,159,21158,93,15848
Netvue (US1-1),118800,260,43705,165,21543,95,22162
Netvue (US1-1),122400,267,42839,175,21985,92,20854
Netvue (US1-1),126000,256,42302,165,21527,91,20775
Netvue (US1-1),129600,254,41933,163,21145,91,20788
Netvue (US1-1),133200,254,41884,163,21096,91,20788
Netvue (US1-1),136800,258,42419,167,21655,91,20764
Netvue (US1-1),140400,264,44066,170,21971,94,22095
Netvue (US1-1),144000,252,41832,163,21176,89,20656
Netvue (US1-1),147600,248,36146,159,20805,89,15341
Netvue (US1-1),151200,260,42746,164,21628,96,21118
Netvue (US1-1),154800,255,42071,163,21229,92,20842
Netvue (US1-1),158400,260,43054,164,21717,96,21337
Netvue (US1-1),162000,267,46136,168,22538,99,23598
Netvue (US1-1),165600,303,58883,190,25264,113,33619
Netvue (US1-1),169200,279,51335,177,23890,102,27445
Netvue (US1-1),172800,285,51405,179,23952,106,27453
Netvue (US1-1),176400,331,67802,208,26990,123,40812
Netvue (US1-1),180000,256,42460,164,21619,92,20841
Netvue (US1-1),183600,261,43749,165,21521,96,22228
Netvue (US1-1),187200,261,43032,165,21675,96,21357
Netvue (US1-1),190800,258,42099,166,21258,92,20841
Netvue (US1-1),194400,257,43396,165,21912,92,21484
Netvue (US1-1),198000,254,41917,164,21183,90,20734
Netvue (US1-1),201600,254,37622,161,22019,93,15603
Netvue (US1-1),205200,250,37608,161,21480,89,16128
Netvue (US1-1),208800,255,42265,165,21532,90,20733
Netvue (US1-1),212400,260,42472,165,21444,95,21028
Netvue (US1-1),216000,258,42826,164,21621,94,21205
Netvue (US1-1),219600,255,41987,164,21200,91,20787
Netvue (US1-1),223200,256,42286,164,21445,92,20841
Netvue (US1-1),226800,271,44482,177,22386,94,22096
Netvue (US1-1),230400,337,64627,206,30146,131,34481
Netvue (US1-1),234000,264,42653,166,21416,98,21237
Netvue (US1-1),237600,316,60538,194,27894,122,32644
Netvue (US1-1),241200,258,42387,163,21383,95,21004
Netvue (US1-1),244800,258,43047,166,21576,92,21471
Netvue (US1-1),248400,257,42442,163,21481,94,20961
Netvue (US1-1),252000,351,75005,221,28811,130,46194
Netvue (US1-1),255600,287,51944,178,24050,109,27894
Netvue (US1-1),259200,287,53661,180,24788,107,28873
Netvue (US1-1),262800,312,59421,194,25455,118,33966
Netvue (US1-1),266400,255,42360,161,21417,94,20943
Netvue (US1-1),270000,253,41962,163,21240,90,20722
Netvue (US1-1),273600,255,41984,164,21197,91,20787
Netvue (US1-1),277200,255,42236,165,21503,90,20733
Netvue (US1-1),280800,262,43863,167,21714,95,22149
Netvue (US1-1),284400,249,35474,157,13868,92,21606
Netvue (US1-1),288000,262,44294,166,22327,96,21967
Netvue (US1-1),291600,258,42259,163,21220,95,21039
Netvue (US1-1),295200,260,42408,165,21337,95,21071
Netvue (US1-1),298800,255,42264,163,21434,92,20830
Netvue (US1-1),302400,260,43769,166,21686,94,22083
Netvue (US1-1),306000,255,42331,164,21543,91,20788
Netvue (US1-1),309600,257,42995,163,22033,94,20962
Netvue (US1-1),313200,256,42100,165,21325,91,20775
Netvue (US1-1),316800,253,41892,163,21170,90,20722
Netvue (US1-1),320400,254,42067,162,21236,92,20831
Netvue (US1-1),324000,260,43172,166,21620,94,21552
Netvue (US1-1),327600,248,36821,159,21236,89,15585
Netvue (US1-1),331200,261,44279,168,22088,93,22191
Netvue (US1-1),334800,266,45204,168,22694,98,22510
Netvue (US1-1),338400,327,66679,206,26803,121,39876
Netvue (US1-1),342000,315,59854,196,25821,119,34033
Netvue (US1-1),345600,284,52051,179,24085,105,27966
Netvue (US1-1),349200,330,67048,204,26841,126,40207
Netvue (US1-1),352800,259,43038,163,21733,96,21305
Netvue (US1-1),356400,258,42455,164,21494,94,20961
Netvue (US1-1),360000,260,42495,163,21347,97,21148
Netvue (US1-1),363600,258,42730,164,21536,94,21194
Netvue (US1-1),367200,266,44354,168,22019,98,22335
Netvue (US1-1),370800,256,42147,164,21306,92,20841
Netvue (US1-1),374400,258,42476,163,21448,95,21028
Netvue (US1-1),378000,259,42199,164,21160,95,21039
Netvue (US1-1),381600,217,26179,140,12063,77,14116
Netvue (US1-1),385200,261,44208,167,22605,94,21603
Netvue (US1-1),388800,256,43103,163,21628,93,21475
Netvue (US1-1),392400,283,51327,177,23058,106,28269
Netvue (US1-1),396000,248,36207,159,20855,89,15352
Netvue (US1-1),399600,268,45322,169,22703,99,22619
Netvue (US1-1),403200,255,42139,163,21297,92,20842
Netvue (US1-1),406800,267,45066,168,22490,99,22576
Netvue (US1-1),410400,223,26896,141,11982,82,14914
Netvue (US1-1),414000,214,24999,136,11491,78,13508
