Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
MaxcioSmartStrip (FR-1),0,382,87860,382,87860,0,0
MaxcioSmartStrip (FR-1),3600,416,95680,416,95680,0,0
MaxcioSmartStrip (FR-1),7200,369,84870,369,84870,0,0
MaxcioSmartStrip (FR-1),10800,323,74290,323,74290,0,0
MaxcioSmartStrip (FR-1),14400,364,83720,364,83720,0,0
MaxcioSmartStrip (FR-1),18000,347,79810,347,79810,0,0
MaxcioSmartStrip (FR-1),21600,355,81650,355,81650,0,0
MaxcioSmartStrip (FR-1),25200,364,83720,364,83720,0,0
MaxcioSmartStrip (FR-1),28800,365,83950,365,83950,0,0
MaxcioSmartStrip (FR-1),32400,362,83260,362,83260,0,0
MaxcioSmartStrip (FR-1),36000,353,81190,353,81190,0,0
MaxcioSmartStrip (FR-1),39600,258,59340,258,59340,0,0
MaxcioSmartStrip (FR-1),43200,403,92690,403,92690,0,0
MaxcioSmartStrip (FR-1),46800,410,94300,410,94300,0,0
MaxcioSmartStrip (FR-1),50400,470,108100,470,108100,0,0
MaxcioSmartStrip (FR-1),54000,466,107180,466,107180,0,0
MaxcioSmartStrip (FR-1),57600,450,103500,450,103500,0,0
MaxcioSmartStrip (FR-1),61200,442,101660,442,101660,0,0
MaxcioSmartStrip (FR-1),64800,418,96140,418,96140,0,0
MaxcioSmartStrip (FR-1),68400,355,81650,355,81650,0,0
MaxcioSmartStrip (FR-1),72000,298,68540,298,68540,0,0
MaxcioSmartStrip (FR-1),75600,207,47610,207,47610,0,0
MaxcioSmartStrip (FR-1),79200,245,56350,245,56350,0,0
MaxcioSmartStrip (FR-1),82800,199,45770,199,45770,0,0
MaxcioSmartStrip (FR-1),86400,192,44160,192,44160,0,0
MaxcioSmartStrip (FR-1),90000,167,38410,167,38410,0,0
MaxcioSmartStrip (FR-1),93600,123,28290,123,28290,0,0
MaxcioSmartStrip (FR-1),97200,131,30130,131,30130,0,0
MaxcioSmartStrip (FR-1),100800,114,26220,114,26220,0,0
MaxcioSmartStrip (FR-1),104400,140,32200,140,32200,0,0
MaxcioSmartStrip (FR-1),108000,156,35880,156,35880,0,0
MaxcioSmartStrip (FR-1),111600,152,34960,152,34960,0,0
MaxcioSmartStrip (FR-1),115200,139,31970,139,31970,0,0
MaxcioSmartStrip (FR-1),118800,209,48070,209,48070,0,0
MaxcioSmartStrip (FR-1),122400,133,30590,133,30590,0,0
MaxcioSmartStrip (FR-1),126000,160,36800,160,36800,0,0
MaxcioSmartStrip (FR-1),129600,154,35420,154,35420,0,0
MaxcioSmartStrip (FR-1),133200,169,38870,169,38870,0,0
MaxcioSmartStrip (FR-1),136800,124,28520,124,28520,0,0
MaxcioSmartStrip (FR-1),140400,210,48300,210,48300,0,0
MaxcioSmartStrip (FR-1),144000,154,35420,154,35420,0,0
MaxcioSmartStrip (FR-1),147600,155,35650,155,35650,0,0
MaxcioSmartStrip (FR-1),151200,167,38410,167,38410,0,0
MaxcioSmartStrip (FR-1),154800,102,23460,102,23460,0,0
MaxcioSmartStrip (FR-1),158400,109,25070,109,25070,0,0
MaxcioSmartStrip (FR-1),162000,115,26450,115,26450,0,0
MaxcioSmartStrip (FR-1),165600,141,32430,141,32430,0,0
MaxcioSmartStrip (FR-1),169200,100,23000,100,23000,0,0
MaxcioSmartStrip (FR-1),172800,100,23000,100,23000,0,0
MaxcioSmartStrip (FR-1),176400,109,25070,109,25070,0,0
MaxcioSmartStrip (FR-1),180000,70,16100,70,16100,0,0
MaxcioSmartStrip (FR-1),183600,89,20470,89,20470,0,0
MaxcioSmartStrip (FR-1),187200,86,19780,86,19780,0,0
MaxcioSmartStrip (FR-1),190800,88,20240,88,20240,0,0
MaxcioSmartStrip (FR-1),194400,86,19780,86,19780,0,0
MaxcioSmartStrip (FR-1),198000,66,15180,66,15180,0,0
MaxcioSmartStrip (FR-1),201600,105,24150,105,24150,0,0
MaxcioSmartStrip (FR-1),205200,86,19780,86,19780,0,0
MaxcioSmartStrip (FR-1),208800,94,21620,94,21620,0,0
MaxcioSmartStrip (FR-1),212400,56,12880,56,12880,0,0
MaxcioSmartStrip (FR-1),216000,76,17480,76,17480,0,0
MaxcioSmartStrip (FR-1),219600,34,7820,34,7820,0,0
MaxcioSmartStrip (FR-1),223200,72,16560,72,16560,0,0
MaxcioSmartStrip (FR-1),226800,107,24610,107,24610,0,0
MaxcioSmartStrip (FR-1),230400,78,17940,78,17940,0,0
MaxcioSmartStrip (FR-1),234000,71,16330,71,16330,0,0
MaxcioSmartStrip (FR-1),237600,67,15410,67,15410,0,0
MaxcioSmartStrip (FR-1),241200,80,18400,80,18400,0,0
MaxcioSmartStrip (FR-1),244800,101,23230,101,23230,0,0
MaxcioSmartStrip (FR-1),248400,83,19090,83,19090,0,0
MaxcioSmartStrip (FR-1),252000,76,17480,76,17480,0,0
