Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
PhilipsBridge (FR-2),0,2706,590240,1757,523657,949,66583
PhilipsBridge (FR-2),3600,2764,584119,1754,511614,1010,72505
PhilipsBridge (FR-2),7200,2575,539575,1651,474838,924,64737
PhilipsBridge (FR-2),10800,2576,548010,1668,483587,908,64423
PhilipsBridge (FR-2),14400,2717,591644,1799,527781,918,63863
PhilipsBridge (FR-2),18000,2555,549392,1676,483727,879,65665
PhilipsBridge (FR-2),21600,2854,658339,1819,576437,1035,81902
PhilipsBridge (FR-2),25200,3360,833157,2148,736933,1212,96224
PhilipsBridge (FR-2),28800,3471,905864,2195,799145,1276,106719
PhilipsBridge (FR-2),32400,3481,878553,2182,770259,1299,108294
PhilipsBridge (FR-2),36000,3600,931078,2224,815992,1376,115086
PhilipsBridge (FR-2),39600,3488,911829,2182,804163,1306,107666
PhilipsBridge (FR-2),43200,3540,926988,2216,818010,1324,108978
PhilipsBridge (FR-2),46800,3558,918956,2204,804098,1354,114858
PhilipsBridge (FR-2),50400,3612,944232,2287,835877,1325,108355
PhilipsBridge (FR-2),54000,3579,931336,2226,816996,1353,114340
PhilipsBridge (FR-2),57600,3593,936993,2246,826834,1347,110159
PhilipsBridge (FR-2),61200,3563,927101,2221,813401,1342,113700
PhilipsBridge (FR-2),64800,3578,944384,2269,836371,1309,108013
PhilipsBridge (FR-2),68400,3577,932331,2240,818489,1337,113842
PhilipsBridge (FR-2),72000,3555,930238,2227,820090,1328,110148
PhilipsBridge (FR-2),75600,3740,957217,2300,828009,1440,129208
PhilipsBridge (FR-2),79200,3653,960484,2328,850777,1325,109707
PhilipsBridge (FR-2),82800,3769,994869,2442,885961,1327,108908
PhilipsBridge (FR-2),86400,3570,923046,2217,812941,1353,110105
PhilipsBridge (FR-2),90000,3580,923828,2199,807926,1381,115902
PhilipsBridge (FR-2),93600,3488,900602,2145,791041,1343,109561
PhilipsBridge (FR-2),97200,3560,921018,2229,811806,1331,109212
PhilipsBridge (FR-2),100800,3557,922645,2223,809529,1334,113116
PhilipsBridge (FR-2),104400,3570,936545,2262,824782,1308,111763
