Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
MaxcioSmartStrip (FR-1),0,363,38265,204,20095,159,18170
MaxcioSmartStrip (FR-1),3600,262,26208,154,14225,108,11983
MaxcioSmartStrip (FR-1),7200,356,37463,196,19681,160,17782
MaxcioSmartStrip (FR-1),10800,236,23853,136,12843,100,11010
MaxcioSmartStrip (FR-1),14400,318,33109,184,17975,134,15134
MaxcioSmartStrip (FR-1),18000,451,46387,242,23882,209,22505
MaxcioSmartStrip (FR-1),21600,295,30699,164,16347,131,14352
MaxcioSmartStrip (FR-1),25200,351,35639,197,18616,154,17023
MaxcioSmartStrip (FR-1),28800,364,36617,209,19788,155,16829
MaxcioSmartStrip (FR-1),32400,260,26209,158,14609,102,11600
MaxcioSmartStrip (FR-1),36000,278,30244,148,15653,130,14591
MaxcioSmartStrip (FR-1),39600,347,35802,188,18779,159,17023
MaxcioSmartStrip (FR-1),43200,252,25633,155,14380,97,11253
MaxcioSmartStrip (FR-1),46800,306,32178,175,17045,131,15133
MaxcioSmartStrip (FR-1),50400,236,23563,142,13120,94,10443
MaxcioSmartStrip (FR-1),54000,233,24287,143,13665,90,10622
MaxcioSmartStrip (FR-1),57600,233,22955,145,13000,88,9955
MaxcioSmartStrip (FR-1),61200,328,33993,187,18357,141,15636
MaxcioSmartStrip (FR-1),64800,328,33759,189,17879,139,15880
MaxcioSmartStrip (FR-1),68400,442,44786,243,23420,199,21366
MaxcioSmartStrip (FR-1),72000,488,47231,267,24353,221,22878
MaxcioSmartStrip (FR-1),75600,528,48996,284,25235,244,23761
MaxcioSmartStrip (FR-1),79200,521,50672,273,25546,248,25126
MaxcioSmartStrip (FR-1),82800,573,50696,301,25190,272,25506
MaxcioSmartStrip (FR-1),86400,539,46326,292,23325,247,23001
MaxcioSmartStrip (FR-1),90000,371,33576,201,17176,170,16400
MaxcioSmartStrip (FR-1),93600,485,40728,267,20523,218,20205
MaxcioSmartStrip (FR-1),97200,476,41404,254,20856,222,20548
MaxcioSmartStrip (FR-1),100800,378,32888,202,16316,176,16572
MaxcioSmartStrip (FR-1),104400,467,37212,265,19057,202,18155
