Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
HoloLens2 (US2),0,147,22942,147,22942,0,0
HoloLens2 (US2),3600,0,0,0,0,0,0
HoloLens2 (US2),7200,0,0,0,0,0,0
HoloLens2 (US2),10800,0,0,0,0,0,0
HoloLens2 (US2),14400,0,0,0,0,0,0
HoloLens2 (US2),18000,0,0,0,0,0,0
HoloLens2 (US2),21600,6,816,6,816,0,0
HoloLens2 (US2),25200,0,0,0,0,0,0
HoloLens2 (US2),28800,0,0,0,0,0,0
HoloLens2 (US2),32400,0,0,0,0,0,0
HoloLens2 (US2),36000,0,0,0,0,0,0
HoloLens2 (US2),39600,6,816,6,816,0,0
HoloLens2 (US2),43200,180,28112,180,28112,0,0
HoloLens2 (US2),46800,120,18560,120,18560,0,0
HoloLens2 (US2),50400,120,18560,120,18560,0,0
HoloLens2 (US2),54000,118,18396,118,18396,0,0
HoloLens2 (US2),57600,142,22108,142,22108,0,0
HoloLens2 (US2),61200,124,19324,124,19324,0,0
HoloLens2 (US2),64800,208,32272,208,32272,0,0
HoloLens2 (US2),68400,120,18560,120,18560,0,0
HoloLens2 (US2),72000,144,22272,144,22272,0,0
HoloLens2 (US2),75600,120,18560,120,18560,0,0
HoloLens2 (US2),79200,160,24892,160,24892,0,0
HoloLens2 (US2),82800,118,18396,118,18396,0,0
HoloLens2 (US2),86400,120,18560,120,18560,0,0
HoloLens2 (US2),90000,144,22272,144,22272,0,0
HoloLens2 (US2),93600,120,18560,120,18560,0,0
HoloLens2 (US2),97200,140,21944,140,21944,0,0
HoloLens2 (US2),100800,124,19324,124,19324,0,0
HoloLens2 (US2),104400,118,18396,118,18396,0,0
HoloLens2 (US2),108000,142,22108,142,22108,0,0
HoloLens2 (US2),111600,118,18396,118,18396,0,0
HoloLens2 (US2),115200,120,18560,120,18560,0,0
HoloLens2 (US2),118800,150,23200,150,23200,0,0
HoloLens2 (US2),122400,118,18396,118,18396,0,0
HoloLens2 (US2),126000,120,18560,120,18560,0,0
HoloLens2 (US2),129600,142,22108,142,22108,0,0
HoloLens2 (US2),133200,120,18560,120,18560,0,0
HoloLens2 (US2),136800,118,18396,118,18396,0,0
HoloLens2 (US2),140400,150,23200,150,23200,0,0
HoloLens2 (US2),144000,120,18560,120,18560,0,0
HoloLens2 (US2),147600,144,22272,144,22272,0,0
HoloLens2 (US2),151200,120,18560,120,18560,0,0
HoloLens2 (US2),154800,118,18396,118,18396,0,0
HoloLens2 (US2),158400,124,19324,124,19324,0,0
HoloLens2 (US2),162000,142,22108,142,22108,0,0
HoloLens2 (US2),165600,162,25056,162,25056,0,0
HoloLens2 (US2),169200,120,18560,120,18560,0,0
HoloLens2 (US2),172800,120,18560,120,18560,0,0
HoloLens2 (US2),176400,140,21944,140,21944,0,0
HoloLens2 (US2),180000,120,18560,120,18560,0,0
HoloLens2 (US2),183600,118,18396,118,18396,0,0
HoloLens2 (US2),187200,126,19488,126,19488,0,0
HoloLens2 (US2),190800,120,18560,120,18560,0,0
HoloLens2 (US2),194400,144,22272,144,22272,0,0
HoloLens2 (US2),198000,120,18560,120,18560,0,0
HoloLens2 (US2),201600,144,22272,144,22272,0,0
HoloLens2 (US2),205200,122,19160,122,19160,0,0
HoloLens2 (US2),208800,144,22272,144,22272,0,0
HoloLens2 (US2),212400,120,18560,120,18560,0,0
HoloLens2 (US2),216000,118,18396,118,18396,0,0
HoloLens2 (US2),219600,118,18396,118,18396,0,0
HoloLens2 (US2),223200,142,22108,142,22108,0,0
HoloLens2 (US2),226800,126,19488,126,19488,0,0
HoloLens2 (US2),230400,120,18560,120,18560,0,0
HoloLens2 (US2),234000,142,22108,142,22108,0,0
HoloLens2 (US2),237600,120,18560,120,18560,0,0
HoloLens2 (US2),241200,120,18560,120,18560,0,0
HoloLens2 (US2),244800,122,19160,122,19160,0,0
HoloLens2 (US2),248400,118,18396,118,18396,0,0
HoloLens2 (US2),252000,184,28604,184,28604,0,0
HoloLens2 (US2),255600,120,18560,120,18560,0,0
HoloLens2 (US2),259200,118,18396,118,18396,0,0
HoloLens2 (US2),262800,120,18560,120,18560,0,0
HoloLens2 (US2),266400,120,18560,120,18560,0,0
HoloLens2 (US2),270000,144,22272,144,22272,0,0
HoloLens2 (US2),273600,124,19324,124,19324,0,0
HoloLens2 (US2),277200,144,22272,144,22272,0,0
HoloLens2 (US2),280800,118,18396,118,18396,0,0
HoloLens2 (US2),284400,120,18560,120,18560,0,0
HoloLens2 (US2),288000,120,18560,120,18560,0,0
HoloLens2 (US2),291600,150,23200,150,23200,0,0
HoloLens2 (US2),295200,120,18560,120,18560,0,0
HoloLens2 (US2),298800,144,22272,144,22272,0,0
HoloLens2 (US2),302400,120,18560,120,18560,0,0
HoloLens2 (US2),306000,120,18560,120,18560,0,0
HoloLens2 (US2),309600,120,18560,120,18560,0,0
HoloLens2 (US2),313200,124,19324,124,19324,0,0
HoloLens2 (US2),316800,144,22272,144,22272,0,0
HoloLens2 (US2),320400,210,31688,210,31688,0,0
HoloLens2 (US2),324000,162,24720,162,24720,0,0
HoloLens2 (US2),327600,132,20192,132,20192,0,0
HoloLens2 (US2),331200,144,21936,144,21936,0,0
HoloLens2 (US2),334800,66,9872,66,9872,0,0
HoloLens2 (US2),338400,36,4584,36,4584,0,0
HoloLens2 (US2),342000,100,13964,100,13964,0,0
HoloLens2 (US2),345600,162,23964,162,23964,0,0
HoloLens2 (US2),349200,12,1632,12,1632,0,0
HoloLens2 (US2),352800,24,3152,24,3152,0,0
HoloLens2 (US2),356400,12,1632,12,1632,0,0
HoloLens2 (US2),360000,24,3264,24,3264,0,0
HoloLens2 (US2),363600,12,1632,12,1632,0,0
