Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes
MetaQuest1 (US2),0,31442,20961383,17055,17264425,14387,3696958
MetaQuest1 (US2),3600,238622,397907207,135394,27845794,103228,370061413
MetaQuest1 (US2),7200,30904,20143743,16851,16865983,14053,3277760
MetaQuest1 (US2),10800,182297,406982671,102956,24853123,79341,382129548
MetaQuest1 (US2),14400,31719,20418918,17518,17202062,14201,3216856
MetaQuest1 (US2),18000,95652,165899769,62195,21237751,33457,144662018
MetaQuest1 (US2),21600,30768,19888440,16820,17057526,13948,2830914
MetaQuest1 (US2),25200,31180,20103254,17156,17118209,14024,2985045
MetaQuest1 (US2),28800,30764,19818003,16781,16977928,13983,2840075
MetaQuest1 (US2),32400,31601,20481425,17499,17144054,14102,3337371
MetaQuest1 (US2),36000,31177,20128245,17302,17235005,13875,2893240
MetaQuest1 (US2),39600,37970,33968066,19810,17977435,18160,15990631
MetaQuest1 (US2),43200,30114,19706054,16786,16942305,13328,2763749
MetaQuest1 (US2),46800,30790,20064696,17195,17126452,13595,2938244
MetaQuest1 (US2),50400,30594,20185893,17128,17035496,13466,3150397
MetaQuest1 (US2),54000,31003,20069652,17269,17126259,13734,2943393
MetaQuest1 (US2),57600,30527,20185654,16970,17347953,13557,2837701
MetaQuest1 (US2),61200,30845,20150963,17081,17159379,13764,2991584
MetaQuest1 (US2),64800,29929,19753742,16575,16936954,13354,2816788
MetaQuest1 (US2),68400,30875,20536597,16984,17180539,13891,3356058
MetaQuest1 (US2),72000,30871,19948480,16843,17089989,14028,2858491
MetaQuest1 (US2),75600,30600,20185073,16732,17203079,13868,2981994
MetaQuest1 (US2),79200,31316,20826977,16971,17884593,14345,2942384
MetaQuest1 (US2),82800,22635,14805166,12295,12430491,10340,2374675
MetaQuest1 (US2),86400,73315,114567009,36960,110281758,36355,4285251
MetaQuest1 (US2),90000,5005180,8063111677,2654032,231270038,2351148,7831841639
MetaQuest1 (US2),93600,5211,2721682,2760,1952347,2451,769335
MetaQuest1 (US2),97200,5463,2899363,2891,1993696,2572,905667
MetaQuest1 (US2),100800,5113,2656167,2639,1899208,2474,756959
MetaQuest1 (US2),104400,5745,3395922,2954,2109543,2791,1286379
MetaQuest1 (US2),108000,4917,2555354,2535,1829567,2382,725787
MetaQuest1 (US2),111600,5196,2849958,2636,1969679,2560,880279
MetaQuest1 (US2),115200,5208,2717416,2677,1954143,2531,763273
MetaQuest1 (US2),118800,5338,2887106,2783,2009263,2555,877843
MetaQuest1 (US2),122400,5473,3140378,2862,2018968,2611,1121410
MetaQuest1 (US2),126000,5356,2851138,2765,1931567,2591,919571
MetaQuest1 (US2),129600,4911,2644533,2606,1916939,2305,727594
MetaQuest1 (US2),133200,5149,2909277,2761,2042641,2388,866636
MetaQuest1 (US2),136800,4977,2678897,2641,1935133,2336,743764
MetaQuest1 (US2),140400,5605,3248587,3034,2016990,2571,1231597
MetaQuest1 (US2),144000,5162,2731693,2774,1966863,2388,764830
MetaQuest1 (US2),147600,5250,2879306,2781,2001332,2469,877974
MetaQuest1 (US2),151200,4986,2686781,2681,1940741,2305,746040
