IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
129.250.35.250,"None","None","None","None","NTT-LTD-2914, US","US",uk.pool.ntp.org,uk.pool.ntp.org,None,None,4,360,2,180,2,180
129.250.35.251,"None","None","None","None","NTT-LTD-2914, US","US",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
130.159.196.118,"None","None","None","None","JANET Jisc Services Limited, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
131.111.8.60,"None","None","None","None","JANET Jisc Services Limited, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,8,720,4,360,4,360
131.111.8.61,"None","None","None","None","JANET Jisc Services Limited, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,10,900,5,450,5,450
131.111.8.63,"None","None","None","None","JANET Jisc Services Limited, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,6,540,3,270,3,270
132.226.210.133,"None","None","None","None","ORACLE-BMC-31898, US","US",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
139.143.5.30,"None","None","None","None","NPL-MANG-LTD, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,4,360,2,180,2,180
139.143.5.31,"None","None","None","None","NPL-MANG-LTD, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
139.162.219.252,"None","None","None","None","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","NL",uk.pool.ntp.org,uk.pool.ntp.org,None,None,6,540,3,270,3,270
152.67.150.30,"None","None","None","None","ORACLE-BMC-31898, US","US",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
162.159.200.1,"None","None","None","None","CLOUDFLARENET, US","US",uk.pool.ntp.org,uk.pool.ntp.org,None,None,14,1260,7,630,7,630
162.159.200.123,"None","None","None","None","CLOUDFLARENET, US","US",uk.pool.ntp.org,uk.pool.ntp.org,None,None,24,2160,12,1080,12,1080
176.58.109.199,"None","None","None","None","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US",uk.pool.ntp.org,uk.pool.ntp.org,None,None,4,360,2,180,2,180
178.215.228.24,"None","None","None","None","ESEVEN, DE","DE",uk.pool.ntp.org,uk.pool.ntp.org,None,None,14,1260,7,630,7,630
178.62.68.79,"None","None","None","None","DIGITALOCEAN-ASN, US","US",uk.pool.ntp.org,uk.pool.ntp.org,None,None,4,360,2,180,2,180
178.79.155.116,"None","None","None","None","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US",uk.pool.ntp.org,uk.pool.ntp.org,None,None,3,270,0,0,3,270
185.103.119.60,"None","None","None","None","ACKLO, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
185.16.161.37,"None","None","None","None","TROOLI-AS Trooli Ltd, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,4,360,2,180,2,180
