IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
18.204.83.38,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,320,28800,160,14400,160,14400
18.204.96.150,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,310,27900,155,13950,155,13950
18.205.68.150,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,326,29340,163,14670,163,14670
18.234.8.250,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,364,32760,182,16380,182,16380
209.38.132.42,Support,None,None,None,None,"DIGITALOCEAN-ASN, US",US,pool.ntp.org,pool.ntp.org,None,None,1,90,0,0,1,90
209.54.177.114,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,251,72974,116,55415,135,17559
209.54.177.117,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,141,40609,65,30800,76,9809
209.54.177.153,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,141,40609,65,30800,76,9809
209.54.177.154,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,167,48612,77,36906,90,11706
209.54.177.157,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,170,48774,78,36960,92,11814
209.54.178.134,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,163,48396,76,36852,87,11544
209.54.178.164,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,112,32444,52,24640,60,7804
209.54.178.166,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,168,48666,78,36960,90,11706
209.54.179.88,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,28,8111,13,6160,15,1951
209.54.179.93,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,82,24225,38,18426,44,5799
209.54.180.25,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,140,40555,65,30800,75,9755
209.54.180.27,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,136,40339,64,30746,72,9593
209.54.180.44,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,223,64863,103,49255,120,15608
209.54.181.4,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,131,38257,60,29603,71,8654
209.54.181.98,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,84,24333,39,18480,45,5853
3.214.58.173,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,326,29340,163,14670,163,14670
3.215.53.245,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,344,30960,172,15480,172,15480
3.234.38.31,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,308,27720,154,13860,154,13860
34.226.24.249,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,304,27360,152,13680,152,13680
34.236.6.206,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,326,29340,163,14670,163,14670
34.239.12.200,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,302,27180,151,13590,151,13590
35.153.21.233,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,252,22680,126,11340,126,11340
35.168.46.68,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,294,26460,147,13230,147,13230
35.175.22.69,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,298,26820,149,13410,149,13410
44.215.129.154,First,None,None,None,None,"AMAZON-AES, US",US,softwareupdates.amazon.com,softwareupdates.amazon.com,None,None,82,23667,36,17130,46,6537
44.215.134.182,First,None,None,None,None,"AMAZON-AES, US",US,softwareupdates.amazon.com,softwareupdates.amazon.com,None,None,82,23667,36,17130,46,6537
44.215.138.245,First,None,None,None,None,"AMAZON-AES, US",US,softwareupdates.amazon.com,softwareupdates.amazon.com,None,None,54,15742,24,11420,30,4322
5.161.111.190,Support,None,None,None,None,"HETZNER-CLOUD2-AS, DE",DE,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
52.119.196.31,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,226,64996,104,49280,122,15716
52.119.198.101,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,56,16222,26,12320,30,3902
52.119.198.106,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,112,32444,52,24640,60,7804
52.119.198.109,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,278,81002,129,61546,149,19456
52.119.198.118,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,57,16276,26,12320,31,3956
52.119.198.186,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,140,40555,65,30800,75,9755
52.119.198.189,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,112,32444,52,24640,60,7804
52.119.198.2,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,113,32498,52,24640,61,7858
52.203.151.208,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,340,30600,170,15300,170,15300
52.45.237.36,Support,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,322,28980,161,14490,161,14490
52.46.128.81,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,168,48695,78,36989,90,11706
52.46.131.169,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,138,40447,64,30746,74,9701
52.46.131.184,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,140,40555,65,30800,75,9755
52.46.131.209,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,168,48666,78,36960,90,11706
52.46.143.123,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,26,8003,12,6106,14,1897
52.46.146.126,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,57,16276,26,12320,31,3956
52.46.149.20,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,82,24225,38,18426,44,5799
52.46.149.29,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,138,40447,64,30746,74,9701
52.46.149.57,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,197,56831,91,43120,106,13711
52.46.155.112,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,334,97224,156,73920,178,23304
52.46.158.193,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,28,8111,13,6160,15,1951
52.54.202.251,Support,None,None,None,None,"AMAZON-AES, US",US,None,None,None,None,4317,443871,1475,124867,2842,319004
52.55.224.174,First,None,None,None,None,"AMAZON-AES, US",US,a1ha4b58medu5w-ats.iot.us-east-1.amazonaws.com,a1ha4b58medu5w-ats.iot.us-east-1.amazonaws.com,None,None,37,9390,20,6724,17,2666
52.94.231.169,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,196,56777,91,43120,105,13657
52.94.240.240,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,164,48450,76,36852,88,11598
52.94.241.146,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,138,40447,64,30746,74,9701
52.94.242.236,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,166,48558,77,36906,89,11652
54.164.217.206,First,None,None,None,None,"AMAZON-AES, US",US,a1ha4b58medu5w-ats.iot.us-east-1.amazonaws.com,a1ha4b58medu5w-ats.iot.us-east-1.amazonaws.com,None,None,2959,307466,1017,91260,1942,216206
54.197.145.146,First,None,None,None,None,"AMAZON-AES, US",US,a1ha4b58medu5w-ats.iot.us-east-1.amazonaws.com,a1ha4b58medu5w-ats.iot.us-east-1.amazonaws.com,None,None,45,10008,22,6894,23,3114
54.198.238.112,First,None,None,None,None,"AMAZON-AES, US",US,a1ha4b58medu5w-ats.iot.us-east-1.amazonaws.com,a1ha4b58medu5w-ats.iot.us-east-1.amazonaws.com,None,None,304,44783,118,14840,186,29943
54.239.27.82,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,196,56777,91,43120,105,13657
72.21.207.143,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,168,48695,78,36989,90,11706
