IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
20.10.31.115,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,client.wns.windows.com,client.wns.windows.com,None,None,4957,777030,1715,415673,3242,361357
20.7.1.246,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,client.wns.windows.com,client.wns.windows.com,None,None,5096,584419,2167,320132,2929,264287
20.7.2.167,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,client.wns.windows.com,client.wns.windows.com,None,None,2999,470256,1041,251657,1958,218599
13.86.61.82,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,continuum.dds.microsoft.com,continuum.dds.microsoft.com,None,None,45,29973,19,25124,26,4849
20.190.4.251,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,continuum.dds.microsoft.com,continuum.dds.microsoft.com,None,None,179,114494,81,94666,98,19828
52.138.124.216,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,continuum.dds.microsoft.com,continuum.dds.microsoft.com,None,None,42,29816,19,25136,23,4680
23.195.92.131,First,Microsoft,US,None,None,"AKAMAI-AS, US",US,cp801.prod.do.dsp.mp.microsoft.com,cp801.prod.do.dsp.mp.microsoft.com,None,None,120,54299,72,46674,48,7625
23.48.24.78,First,Microsoft,US,None,None,"AKAMAI-AS, US",US,cp801.prod.do.dsp.mp.microsoft.com,cp801.prod.do.dsp.mp.microsoft.com,None,None,22,9147,12,7688,10,1459
20.22.113.133,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,displaycatalog.mp.microsoft.com,displaycatalog.mp.microsoft.com,None,None,44,18595,21,13295,23,5300
20.96.52.198,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,displaycatalog.mp.microsoft.com,displaycatalog.mp.microsoft.com,None,None,160,149859,81,136184,79,13675
52.154.209.174,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,displaycatalog.mp.microsoft.com,displaycatalog.mp.microsoft.com,None,None,91,36987,43,26650,48,10337
52.185.73.156,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,displaycatalog.mp.microsoft.com,displaycatalog.mp.microsoft.com,None,None,47,18385,23,13397,24,4988
13.85.23.206,First,Microsoft,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,fe3cr.delivery.mp.microsoft.com,fe3cr.delivery.mp.microsoft.com,None,None,33,18392,14,4670,19,13722
20.3.187.198,First,Microsoft,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,fe3cr.delivery.mp.microsoft.com,fe3cr.delivery.mp.microsoft.com,None,None,159,128132,71,19609,88,108523
52.165.164.15,First,Microsoft,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,fe3cr.delivery.mp.microsoft.com,fe3cr.delivery.mp.microsoft.com,None,None,33,18394,14,4673,19,13721
23.199.50.2,First,None,None,None,None,"AKAMAI-AS, US",US,fs.microsoft.com,fs.microsoft.com,None,None,170,53708,90,44868,80,8840
23.54.68.82,First,None,None,None,None,"AKAMAI-AS, US",US,fs.microsoft.com,fs.microsoft.com,None,None,21,6691,11,5586,10,1105
20.54.25.4,First,Microsoft,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,geo.prod.do.dsp.mp.microsoft.com,geo.prod.do.dsp.mp.microsoft.com,None,None,21,4998,9,3666,12,1332
51.104.167.245,First,Microsoft,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",GB,geo.prod.do.dsp.mp.microsoft.com,geo.prod.do.dsp.mp.microsoft.com,None,None,20,4943,8,3611,12,1332
52.184.216.174,First,Microsoft,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,geo.prod.do.dsp.mp.microsoft.com,geo.prod.do.dsp.mp.microsoft.com,None,None,20,4943,8,3612,12,1331
20.190.152.152,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,graph.microsoft.com,graph.microsoft.com,None,None,21,8498,10,5686,11,2812
40.126.23.96,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,graph.microsoft.com,graph.microsoft.com,None,None,19,8387,9,5629,10,2758
96.16.76.107,First,Microsoft,US,None,None,"AKAMAI-AS, US",US,kv801.prod.do.dsp.mp.microsoft.com,kv801.prod.do.dsp.mp.microsoft.com,None,None,22,9439,12,8219,10,1220
20.190.151.131,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,129,155612,58,112837,71,42775
20.190.151.133,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,106,119885,45,86964,61,32921
20.190.151.134,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,83,106038,35,77616,48,28422
