MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
60:74:F4:1B:24:16,ALL,ip,18.214.50.20,76,8541,37,4008,39,4533
60:74:F4:1B:24:16,ALL,ip,203.107.6.88,62,5580,31,2790,31,2790
60:74:F4:1B:24:16,ALL,ip,216.239.35.0,59,5310,30,2700,29,2610
60:74:F4:1B:24:16,ALL,ip,216.239.35.12,40,3600,20,1800,20,1800
60:74:F4:1B:24:16,ALL,ip,216.239.35.4,38,3420,19,1710,19,1710
60:74:F4:1B:24:16,ALL,ip,216.239.35.8,44,3960,22,1980,22,1980
60:74:F4:1B:24:16,ALL,ip,3.209.71.57,92,10884,48,5272,44,5612
60:74:F4:1B:24:16,ALL,ip,3.215.33.68,236,27535,123,13342,113,14193
60:74:F4:1B:24:16,ALL,ip,3.223.139.253,117,13713,62,6698,55,7015
60:74:F4:1B:24:16,ALL,ip,52.5.162.6,20473,2020344,13559,1189587,6914,830757
60:74:F4:1B:24:16,ALL,ip,54.198.184.189,47,5496,25,2690,22,2806
60:74:F4:1B:24:16,ALL,ip,54.87.230.241,116,13660,60,6590,56,7070
60:74:F4:1B:24:16,ALL,tcp,18.214.50.20,76,8541,37,4008,39,4533
60:74:F4:1B:24:16,ALL,tcp,3.209.71.57,92,10884,48,5272,44,5612
60:74:F4:1B:24:16,ALL,tcp,3.215.33.68,236,27535,123,13342,113,14193
60:74:F4:1B:24:16,ALL,tcp,3.223.139.253,117,13713,62,6698,55,7015
60:74:F4:1B:24:16,ALL,tcp,52.5.162.6,20473,2020344,13559,1189587,6914,830757
60:74:F4:1B:24:16,ALL,tcp,54.198.184.189,47,5496,25,2690,22,2806
60:74:F4:1B:24:16,ALL,tcp,54.87.230.241,116,13660,60,6590,56,7070
60:74:F4:1B:24:16,ALL,udp,203.107.6.88,62,5580,31,2790,31,2790
60:74:F4:1B:24:16,ALL,udp,216.239.35.0,59,5310,30,2700,29,2610
60:74:F4:1B:24:16,ALL,udp,216.239.35.12,40,3600,20,1800,20,1800
60:74:F4:1B:24:16,ALL,udp,216.239.35.4,38,3420,19,1710,19,1710
60:74:F4:1B:24:16,ALL,udp,216.239.35.8,44,3960,22,1980,22,1980
60:74:F4:1B:24:16,ALL,tls,52.5.162.6,13258,1630734,6629,815367,6629,815367
60:74:F4:1B:24:16,ALL,http,18.214.50.20,12,4059,6,1332,6,2727
60:74:F4:1B:24:16,ALL,http,3.209.71.57,16,5412,8,1776,8,3636
60:74:F4:1B:24:16,ALL,http,3.215.33.68,40,13531,20,4440,20,9091
60:74:F4:1B:24:16,ALL,http,3.223.139.253,20,6765,10,2220,10,4545
60:74:F4:1B:24:16,ALL,http,54.198.184.189,8,2706,4,888,4,1818
60:74:F4:1B:24:16,ALL,http,54.87.230.241,20,6766,10,2220,10,4546
60:74:F4:1B:24:16,ALL,ntp,203.107.6.88,62,5580,31,2790,31,2790
60:74:F4:1B:24:16,ALL,ntp,216.239.35.0,59,5310,30,2700,29,2610
60:74:F4:1B:24:16,ALL,ntp,216.239.35.12,40,3600,20,1800,20,1800
60:74:F4:1B:24:16,ALL,ntp,216.239.35.4,38,3420,19,1710,19,1710
60:74:F4:1B:24:16,ALL,ntp,216.239.35.8,44,3960,22,1980,22,1980
60:74:F4:1B:24:16,ALL,tcp:8883,52.5.162.6,20473,2020344,13559,1189587,6914,830757
