MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
40:A2:DB:2C:8A:68,ALL,ip,100.21.0.103,980,265317,530,67459,450,197858
40:A2:DB:2C:8A:68,ALL,ip,100.26.14.217,132,99033,76,86700,56,12333
40:A2:DB:2C:8A:68,ALL,ip,107.23.108.62,111,84675,67,72608,44,12067
40:A2:DB:2C:8A:68,ALL,ip,107.23.153.61,106,83481,64,71546,42,11935
40:A2:DB:2C:8A:68,ALL,ip,108.138.179.76,126,41403,63,8318,63,33085
40:A2:DB:2C:8A:68,ALL,ip,108.138.181.195,136,28712,68,11897,68,16815
40:A2:DB:2C:8A:68,ALL,ip,108.156.57.75,69,25363,33,5713,36,19650
40:A2:DB:2C:8A:68,ALL,ip,108.157.19.49,24,8675,13,1750,11,6925
40:A2:DB:2C:8A:68,ALL,ip,13.224.68.3,10,2115,6,578,4,1537
40:A2:DB:2C:8A:68,ALL,ip,13.225.233.147,81,18807,41,6914,40,11893
40:A2:DB:2C:8A:68,ALL,ip,13.225.235.83,164,53772,86,10787,78,42985
40:A2:DB:2C:8A:68,ALL,ip,13.249.9.114,35,9319,19,2017,16,7302
40:A2:DB:2C:8A:68,ALL,ip,13.249.9.70,67,18339,35,3805,32,14534
40:A2:DB:2C:8A:68,ALL,ip,13.32.158.17,161,287351,94,7035,67,280316
40:A2:DB:2C:8A:68,ALL,ip,13.32.158.66,335,549172,230,17951,105,531221
40:A2:DB:2C:8A:68,ALL,ip,146.75.73.16,2110,2190518,1353,111991,757,2078527
40:A2:DB:2C:8A:68,ALL,ip,176.32.101.46,76,43060,44,22594,32,20466
40:A2:DB:2C:8A:68,ALL,ip,176.32.98.108,60,34887,35,20362,25,14525
40:A2:DB:2C:8A:68,ALL,ip,18.155.120.74,9574,3295708,4853,639042,4721,2656666
40:A2:DB:2C:8A:68,ALL,ip,18.155.122.209,655,825154,453,40234,202,784920
40:A2:DB:2C:8A:68,ALL,ip,18.155.130.184,82,24550,42,6870,40,17680
40:A2:DB:2C:8A:68,ALL,ip,18.161.103.75,63,22644,32,4145,31,18499
40:A2:DB:2C:8A:68,ALL,ip,18.161.234.211,30,9167,15,2001,15,7166
40:A2:DB:2C:8A:68,ALL,ip,18.161.88.75,93,31885,45,5998,48,25887
40:A2:DB:2C:8A:68,ALL,ip,18.165.180.74,31,10682,16,2145,15,8537
40:A2:DB:2C:8A:68,ALL,ip,18.172.207.74,31,10624,15,2013,16,8611
40:A2:DB:2C:8A:68,ALL,ip,18.172.210.181,59,15384,29,4859,30,10525
40:A2:DB:2C:8A:68,ALL,ip,18.203.57.224,20333,14911590,9408,4255169,10925,10656421
40:A2:DB:2C:8A:68,ALL,ip,18.205.100.7,266,170683,158,139644,108,31039
