MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
64:FF:0A:88:AF:4A,ALL,ip,192.168.231.108,2220,823055,1695,779935,525,43120
64:FF:0A:88:AF:4A,ALL,ip,192.168.231.171,2240,831075,1715,787955,525,43120
64:FF:0A:88:AF:4A,ALL,ip,224.0.0.251,23083,5362511,23083,5362511,0,0
64:FF:0A:88:AF:4A,ALL,ip,239.255.255.250,6816,2475344,6816,2475344,0,0
64:FF:0A:88:AF:4A,ALL,tcp,192.168.231.108,980,327810,455,284690,525,43120
64:FF:0A:88:AF:4A,ALL,tcp,192.168.231.171,980,327810,455,284690,525,43120
64:FF:0A:88:AF:4A,ALL,udp,192.168.231.108,1240,495245,1240,495245,0,0
64:FF:0A:88:AF:4A,ALL,udp,192.168.231.171,1260,503265,1260,503265,0,0
64:FF:0A:88:AF:4A,ALL,udp,224.0.0.251,23083,5362511,23083,5362511,0,0
64:FF:0A:88:AF:4A,ALL,udp,239.255.255.250,6816,2475344,6816,2475344,0,0
64:FF:0A:88:AF:4A,ALL,http,192.168.231.108,140,59535,70,47005,70,12530
64:FF:0A:88:AF:4A,ALL,http,192.168.231.171,140,59535,70,47005,70,12530
64:FF:0A:88:AF:4A,ALL,mdns,224.0.0.251,23083,5362511,23083,5362511,0,0
64:FF:0A:88:AF:4A,ALL,ssdp,239.255.255.250,6816,2475344,6816,2475344,0,0
64:FF:0A:88:AF:4A,ALL,udp:50000,192.168.231.108,1240,495245,1240,495245,0,0
64:FF:0A:88:AF:4A,ALL,udp:50000,192.168.231.171,1260,503265,1260,503265,0,0
