MAC,Type,Network,Transport,Session,Application
A0:85:FC:2F:7D:A0,ALL,"ipv6,ip","udp,tcp","tls","mdns,http,llmnr,https,ntp"
A0:85:FC:2F:7D:A0,WAN,"ipv6,ip","tcp,udp","tls","http,https,ntp"
A0:85:FC:2F:7D:A0,LAN,"ipv6,ip","udp","","mdns,llmnr"
60:4B:AA:01:46:62,ALL,"ip","tcp,udp","tls","http,ntp,https"
60:4B:AA:01:46:62,WAN,"ip","tcp,udp","tls","http,ntp,https"
60:4B:AA:01:46:62,LAN,"","","",""
2C:26:17:56:C7:22,ALL,"ipv6,ip","tcp,udp","tls","http,ntp,https"
2C:26:17:56:C7:22,WAN,"ipv6,ip","tcp,udp","tls","http,ntp,https"
2C:26:17:56:C7:22,LAN,"","","",""
80:F3:EF:F7:F7:C1,ALL,"ipv6,ip","tcp,udp","tls","ntp,https,http"
80:F3:EF:F7:F7:C1,WAN,"ipv6,ip","tcp,udp","tls","ntp,https,http"
80:F3:EF:F7:F7:C1,LAN,"","","",""
B0:4A:39:24:BB:A6,ALL,"ip","tcp,udp","tls","udp:58866,tcp:8883,https"
B0:4A:39:24:BB:A6,WAN,"ip","tcp","tls","tcp:8883,https"
B0:4A:39:24:BB:A6,LAN,"ip","udp","","udp:58866"
