IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
150.136.255.34,"None","None","None","None","ORACLE-BMC-31898, US","US",ap2.agora.io,ap2.agora.io,None,None,36,13662,18,11178,18,2484
16.15.192.81,"None","None","None","None","AMAZON-AES, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,45,19073,19,7852,26,11221
16.15.216.184,"None","None","None","None","AMAZON-AES, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17665,18,7798,25,9867
16.182.100.120,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17066,17,7500,25,9566
16.182.101.240,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,18192,17,7500,26,10692
16.182.102.56,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17428,17,7500,25,9928
16.182.104.88,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,47,17386,22,7770,25,9616
16.182.106.0,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,16914,16,7446,25,9468
16.182.106.152,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,40,16908,15,7392,25,9516
16.182.32.152,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17077,17,7500,25,9577
16.182.34.112,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17098,17,7500,25,9598
16.182.38.216,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17101,17,7500,25,9601
16.182.39.160,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17061,17,7500,25,9561
16.182.43.24,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,40,16806,15,7392,25,9414
16.182.43.56,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,16964,16,7446,25,9518
16.182.66.176,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17840,18,7554,25,10286
16.182.72.144,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,16970,18,7554,25,9416
16.182.96.56,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17256,17,7500,25,9756
16.182.97.240,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,16979,17,7500,24,9479
208.67.220.220,"None","None","None","None","CISCO-UMBRELLA, US","US",None,None,None,None,400,47250,200,31619,200,15631
3.218.218.223,"None","None","None","None","AMAZON-AES, US","US",deviceapi.nvts.co,deviceapi.nvts.co,None,None,28,9074,12,7314,16,1760
3.226.69.144,"None","None","None","None","AMAZON-AES, US","US",deviceapi.nvts.co,deviceapi.nvts.co,None,None,112,36344,48,29304,64,7040
3.5.0.72,"None","None","None","None","AMAZON-AES, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,88,35649,37,15662,51,19987
3.5.0.83,"None","None","None","None","AMAZON-AES, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,44,18048,19,7852,25,10196
3.5.12.137,"None","None","None","None","AMAZON-AES, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17743,18,7798,25,9945
3.5.12.213,"None","None","None","None","AMAZON-AES, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,18313,16,7666,25,10647
3.5.14.151,"None","None","None","None","AMAZON-AES, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17942,18,7798,25,10144
3.5.20.82,"None","None","None","None","AMAZON-AES, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17753,17,7732,25,10021
