IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
108.177.15.100,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,44,12665,21,3085,23,9580
108.177.15.101,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,93,31947,43,12396,50,19551
108.177.15.102,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,49,18673,23,9611,26,9062
108.177.15.113,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,47,18524,22,9457,25,9067
108.177.15.138,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,97,38292,45,19127,52,19165
108.177.15.139,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,46,19045,21,9678,25,9367
108.177.15.188,"None","None","None","None","GOOGLE, US","US",mtalk.google.com,mtalk.google.com,None,None,7340,590372,3423,315926,3917,274446
142.250.110.188,"None","None","None","None","GOOGLE, US","US",mtalk.google.com,mtalk.google.com,None,None,964,86449,444,48380,520,38069
142.250.178.131,"None","None","None","None","GOOGLE, US","US",connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,None,None,22788,3711431,9068,1232656,13720,2478775
142.250.178.138,"None","None","None","None","GOOGLE, US","US",geller-pa.googleapis.com,geller-pa.googleapis.com,None,None,1423,481089,643,289628,780,191461
142.250.178.142,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,899,2035378,528,1965972,371,69406
142.250.179.106,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,1453,499075,648,309201,805,189874
142.250.179.70,"None","None","None","None","GOOGLE, US","US",static.doubleclick.net,static.doubleclick.net,None,None,113,28715,52,20942,61,7773
142.250.179.74,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,3099,1055091,1395,594704,1704,460387
142.250.179.78,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,500,1021058,318,986582,182,34476
142.250.201.170,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,1661,554802,757,289451,904,265351
142.250.201.174,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,1171,809764,561,621896,610,187868
142.250.74.234,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,1419,480722,645,278787,774,201935
142.250.74.238,"None","None","None","None","GOOGLE, US","US",tools.google.com,tools.google.com,None,None,519,200196,229,156268,290,43928
142.250.75.227,"None","None","None","None","GOOGLE, US","US",connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,None,None,492,87804,187,27736,305,60068
142.250.75.234,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,3007,986331,1364,609319,1643,377012
142.250.75.251,"None","None","None","None","GOOGLE, US","US",storage.googleapis.com,storage.googleapis.com,None,None,962,2266638,639,2242609,323,24029
142.251.168.102,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,51,19002,22,9720,29,9282
142.251.173.102,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,47,19146,23,9714,24,9432
172.217.18.202,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,1014,342994,459,205930,555,137064
172.217.20.170,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,1665,568337,730,334292,935,234045
172.217.20.187,"None","None","None","None","GOOGLE, US","US",storage.googleapis.com,storage.googleapis.com,None,None,86,121075,45,110323,41,10752
172.217.20.202,"None","None","None","None","GOOGLE, US","US",geller-pa.googleapis.com,geller-pa.googleapis.com,None,None,1665,569960,743,340985,922,228975
172.217.20.206,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,176,53741,82,19372,94,34369
172.217.20.219,"None","None","None","None","GOOGLE, US","US",storage.googleapis.com,storage.googleapis.com,None,None,823,2257592,605,2240418,218,17174
173.194.76.100,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,50,19204,24,9799,26,9405
173.194.76.101,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,48,19194,23,9664,25,9530
173.194.76.113,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,49,20234,22,9723,27,10511
173.194.76.138,"None","None","None","None","GOOGLE, US","US",clients3.google.com,clients3.google.com,None,None,195,68194,89,31872,106,36322
173.194.76.139,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,48,19225,21,9618,27,9607
173.194.76.188,"None","None","None","None","GOOGLE, US","US",mtalk.google.com,mtalk.google.com,None,None,4849,376464,2223,189245,2626,187219
216.239.35.0,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,160,14400,80,7200,80,7200
216.239.35.12,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,132,11880,66,5940,66,5940
216.239.35.4,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,144,12960,72,6480,72,6480
216.239.35.8,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,136,12240,68,6120,68,6120
216.58.213.67,"None","None","None","None","GOOGLE, US","US",www.gstatic.com,www.gstatic.com,None,None,365,418047,196,387126,169,30921
216.58.213.74,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,1322,461242,594,277774,728,183468
216.58.213.78,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,1680,477120,782,111488,898,365632
216.58.213.91,"None","None","None","None","GOOGLE, US","US",storage.googleapis.com,storage.googleapis.com,None,None,943,2265419,646,2243082,297,22337
216.58.214.163,"None","None","None","None","GOOGLE, US","US",connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,None,None,489,74401,197,24737,292,49664
216.58.214.170,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,1554,533665,692,320500,862,213165
216.58.214.67,"None","None","None","None","GOOGLE, US","US",gstatic.com,gstatic.com,None,None,246,77847,104,47383,142,30464
216.58.214.74,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,1393,458866,623,263468,770,195398
216.58.215.35,"None","None","None","None","GOOGLE, US","US",www.gstatic.com,www.gstatic.com,None,None,283,249503,130,227241,153,22262
216.58.215.42,"None","None","None","None","GOOGLE, US","US",geller-pa.googleapis.com,geller-pa.googleapis.com,None,None,1465,508713,681,261462,784,247251
216.58.215.46,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,43273,17810556,20403,9194858,22870,8615698
64.233.166.101,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,152,57651,68,28909,84,28742
64.233.166.102,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,50,20508,22,9556,28,10952
64.233.166.138,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,52,26015,21,9540,31,16475
64.233.166.139,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,48,19584,22,9526,26,10058
64.233.166.188,"None","None","None","None","GOOGLE, US","US",mtalk.google.com,mtalk.google.com,None,None,10001,768587,4638,391250,5363,377337
64.233.167.100,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,47,18942,23,9557,24,9385
64.233.167.101,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,44,12446,21,2717,23,9729
64.233.167.139,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,49,19142,23,9611,26,9531
64.233.184.101,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,97,31747,44,12417,53,19330
64.233.184.113,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,50,19068,22,9425,28,9643
64.233.184.139,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,42,11960,21,2784,21,9176
66.102.1.100,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,46,18492,22,9497,24,8995
66.102.1.101,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,48,19164,23,9620,25,9544
66.102.1.102,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,99,39022,46,19188,53,19834
66.102.1.138,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,96,38520,46,19133,50,19387
74.125.133.102,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,47,18672,23,9597,24,9075
74.125.133.139,"None","None","None","None","GOOGLE, US","US",clients4.google.com,clients4.google.com,None,None,43,11716,20,2791,23,8925
