IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
128.138.140.44,Time,None,None,None,None,"COLORADO-AS, US",US,time.nist.gov,time.nist.gov,None,None,6,540,3,270,3,270
128.138.141.172,Time,None,None,None,None,"COLORADO-AS, US",US,time.nist.gov,time.nist.gov,None,None,8,720,4,360,4,360
129.151.225.244,Time,None,None,None,None,"ORACLE-BMC-31898, US",US,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
129.250.35.250,Time,None,None,None,None,"NTT-LTD-2914, US",US,pool.ntp.org,pool.ntp.org,None,None,6,540,3,270,3,270
129.6.15.26,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,2,180,1,90,1,90
132.163.96.1,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,12,1080,6,540,6,540
132.163.96.2,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,20,1800,10,900,10,900
132.163.96.3,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,6,540,3,270,3,270
132.163.96.4,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,16,1440,8,720,8,720
132.163.96.6,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,18,1620,9,810,9,810
132.163.97.1,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,14,1260,7,630,7,630
132.163.97.2,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,10,900,5,450,5,450
132.163.97.3,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,4,360,2,180,2,180
132.163.97.4,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,24,2160,12,1080,12,1080
132.163.97.6,Time,None,None,None,None,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US,time.nist.gov,time.nist.gov,None,None,10,900,5,450,5,450
141.95.158.40,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
146.59.30.179,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
146.59.35.38,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
146.59.88.209,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
149.202.2.105,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,4,360,2,180,2,180
162.159.200.1,Time,None,None,None,None,"CLOUDFLARENET, US",US,pool.ntp.org,pool.ntp.org,None,None,18,1620,9,810,9,810
162.159.200.123,Time,None,None,None,None,"CLOUDFLARENET, US",US,pool.ntp.org,pool.ntp.org,None,None,6,540,3,270,3,270
162.19.224.29,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,4,360,2,180,2,180
163.172.179.38,Time,None,None,None,None,"Online SAS, FR",GB,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
176.137.36.37,Time,None,None,None,None,"BOUYGTEL-ISP, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
178.32.220.61,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
178.33.41.123,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
185.123.84.51,Time,None,None,None,None,"ALTINEA-AS, FR",FR,pool.ntp.org,pool.ntp.org,None,None,6,540,3,270,3,270
188.165.201.225,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
188.165.224.178,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
194.177.34.116,Time,None,None,None,None,"INHERENT, FR",FR,pool.ntp.org,pool.ntp.org,None,None,14,1260,7,630,7,630
194.57.169.1,Time,None,None,None,None,"FR-RENATER Reseau National de telecommunications pour la Technologie, FR",FR,pool.ntp.org,pool.ntp.org,None,None,4,360,2,180,2,180
195.154.226.102,Time,None,None,None,None,"Online SAS, FR",FR,pool.ntp.org,pool.ntp.org,None,None,6,540,3,270,3,270
20.199.63.250,Time,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
212.83.158.83,Time,None,None,None,None,"Online SAS, FR",FR,pool.ntp.org,pool.ntp.org,None,None,6,540,3,270,3,270
212.85.158.10,Time,None,None,None,None,"IELO IELO Main Network, FR",FR,pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
217.182.137.208,Time,None,None,None,None,"OVH, FR",FR,pool.ntp.org,pool.ntp.org,None,None,4,360,2,180,2,180
