IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
142.250.31.101,"None","None","None","None","GOOGLE, US","US",clients3.google.com,clients3.google.com,None,None,10,874,5,465,5,409
142.250.31.102,"None","None","None","None","GOOGLE, US","US",clients3.google.com,clients3.google.com,None,None,9,808,4,399,5,409
142.250.31.95,"None","None","None","None","GOOGLE, US","US",embeddedassistant.googleapis.com,embeddedassistant.googleapis.com,None,None,34,11284,15,6478,19,4806
142.251.111.138,"None","None","None","None","GOOGLE, US","US",clients3.google.com,clients3.google.com,None,None,172,531929,128,524552,44,7377
142.251.111.190,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,20,10305,8,2934,12,7371
142.251.111.95,"None","None","None","None","GOOGLE, US","US",geller-pa.googleapis.com,geller-pa.googleapis.com,None,None,27,8030,12,6305,15,1725
142.251.16.139,"None","None","None","None","GOOGLE, US","US",android.clients.google.com,android.clients.google.com,None,None,41,12991,21,10509,20,2482
142.251.16.190,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,677,67024,346,28765,331,38259
142.251.16.95,"None","None","None","None","GOOGLE, US","US",www.googleapis.com,www.googleapis.com,None,None,1,74,0,0,1,74
142.251.163.190,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,721,76695,366,31345,355,45350
142.251.163.95,"None","None","None","None","GOOGLE, US","US",play.googleapis.com,play.googleapis.com,None,None,35,13844,16,6867,19,6977
142.251.167.100,"None","None","None","None","GOOGLE, US","US",android.clients.google.com,android.clients.google.com,None,None,66,23028,33,18737,33,4291
142.251.167.101,"None","None","None","None","GOOGLE, US","US",clients3.google.com,clients3.google.com,None,None,9,808,4,399,5,409
142.251.167.102,"None","None","None","None","GOOGLE, US","US",clients3.google.com,clients3.google.com,None,None,29,2556,12,1197,17,1359
142.251.167.113,"None","None","None","None","GOOGLE, US","US",clients3.google.com,clients3.google.com,None,None,9,808,4,399,5,409
142.251.167.188,"None","None","None","None","GOOGLE, US","US",mtalk.google.com,mtalk.google.com,None,None,37,19845,19,17005,18,2840
142.251.167.91,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,1412,145183,717,61422,695,83761
142.251.167.93,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,703,74302,356,30567,347,43735
142.251.167.95,"None","None","None","None","GOOGLE, US","US",www.googleapis.com,www.googleapis.com,None,None,1,74,0,0,1,74
142.251.179.102,"None","None","None","None","GOOGLE, US","US",android.clients.google.com,android.clients.google.com,None,None,21,11200,10,7276,11,3924
142.251.179.188,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2,132,0,0,2,132
172.253.115.138,"None","None","None","None","GOOGLE, US","US",android.clients.google.com,android.clients.google.com,None,None,42,12979,21,10419,21,2560
172.253.115.188,"None","None","None","None","GOOGLE, US","US",mtalk.google.com,mtalk.google.com,None,None,38,19959,20,17070,18,2889
172.253.115.190,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,41,12121,25,4145,16,7976
172.253.115.94,"None","None","None","None","GOOGLE, US","US",connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,None,None,189,53033,82,38636,107,14397
172.253.115.95,"None","None","None","None","GOOGLE, US","US",lycraservice-pa.googleapis.com,lycraservice-pa.googleapis.com,None,None,129,65995,74,29443,55,36552
172.253.122.94,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1,66,0,0,1,66
172.253.122.95,"None","None","None","None","GOOGLE, US","US",geller-pa.googleapis.com,geller-pa.googleapis.com,None,None,51,15835,24,12563,27,3272
172.253.62.136,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,731,76876,370,31614,361,45262
172.253.62.91,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,684,74147,346,29753,338,44394
172.253.62.93,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,32,13320,13,3860,19,9460
172.253.62.95,"None","None","None","None","GOOGLE, US","US",www.googleapis.com,www.googleapis.com,None,None,45,12566,22,8385,23,4181
172.253.63.139,"None","None","None","None","GOOGLE, US","US",android.clients.google.com,android.clients.google.com,None,None,41,13076,22,10660,19,2416
172.253.63.190,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,1416,146625,717,61354,699,85271
172.253.63.93,"None","None","None","None","GOOGLE, US","US",www.youtube.com,www.youtube.com,None,None,705,70504,357,30593,348,39911
172.253.63.94,"None","None","None","None","GOOGLE, US","US",connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,None,None,24,7718,11,5960,13,1758
2001:4860:4806:4::,"None","None","None","None","GOOGLE, US","US",None,None,None,None,312,34320,156,17160,156,17160
2001:4860:4806:8::,"None","None","None","None","GOOGLE, US","US",None,None,None,None,400,44000,200,22000,200,22000
2001:4860:4806::,"None","None","None","None","GOOGLE, US","US",None,None,None,None,488,53680,244,26840,244,26840
2001:4860:4806:c::,"None","None","None","None","GOOGLE, US","US",None,None,None,None,338,37180,169,18590,169,18590
2001:4860:4860::8888,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1546,159696,8,1432,1538,158264
216.239.35.0,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,4,360,2,180,2,180
216.239.35.12,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,4,360,2,180,2,180
216.239.35.4,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,4,360,2,180,2,180
216.239.35.8,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,4,360,2,180,2,180
2607:f8b0:4004:c06::5b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2863,356063,1448,152732,1415,203331
2607:f8b0:4004:c06::5d,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4211,521355,2131,223911,2080,297444
2607:f8b0:4004:c06::5e,"None","None","None","None","GOOGLE, US","US",None,None,None,None,115386,26024862,40197,8010039,75189,18014823
2607:f8b0:4004:c06::5f,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1481,528058,659,264952,822,263106
2607:f8b0:4004:c06::66,"None","None","None","None","GOOGLE, US","US",None,None,None,None,34,12758,15,9658,19,3100
2607:f8b0:4004:c06::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4531,568757,2285,242256,2246,326501
2607:f8b0:4004:c06::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,871,100364,429,59641,442,40723
2607:f8b0:4004:c06::be,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4566,574042,2311,245401,2255,328641
2607:f8b0:4004:c07::5b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2116,260085,1070,112563,1046,147522
2607:f8b0:4004:c07::5d,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4935,616573,2493,264092,2442,352481
2607:f8b0:4004:c07::5e,"None","None","None","None","GOOGLE, US","US",None,None,None,None,411,312272,185,284254,226,28018
2607:f8b0:4004:c07::5f,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1021,340977,472,164991,549,175986
2607:f8b0:4004:c07::64,"None","None","None","None","GOOGLE, US","US",None,None,None,None,83,27788,37,15190,46,12598
2607:f8b0:4004:c07::65,"None","None","None","None","GOOGLE, US","US",None,None,None,None,25,12682,12,3244,13,9438
2607:f8b0:4004:c07::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3696,1428715,2036,1192759,1660,235956
2607:f8b0:4004:c07::8b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,72,27489,33,8656,39,18833
2607:f8b0:4004:c07::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,10817,1039190,5383,559251,5434,479939
2607:f8b0:4004:c07::be,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3247,409199,1648,173861,1599,235338
2607:f8b0:4004:c08::5b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3572,437775,1814,190670,1758,247105
2607:f8b0:4004:c08::5d,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3508,434174,1773,186966,1735,247208
2607:f8b0:4004:c08::5e,"None","None","None","None","GOOGLE, US","US",None,None,None,None,298,159585,134,137082,164,22503
2607:f8b0:4004:c08::5f,"None","None","None","None","GOOGLE, US","US",None,None,None,None,885,342804,394,181027,491,161777
2607:f8b0:4004:c08::64,"None","None","None","None","GOOGLE, US","US",None,None,None,None,487,555932,398,541907,89,14025
2607:f8b0:4004:c08::65,"None","None","None","None","GOOGLE, US","US",None,None,None,None,121,42470,56,14249,65,28221
2607:f8b0:4004:c08::66,"None","None","None","None","GOOGLE, US","US",None,None,None,None,506,644914,173,568497,333,76417
2607:f8b0:4004:c08::71,"None","None","None","None","GOOGLE, US","US",None,None,None,None,74,27672,34,8744,40,18928
2607:f8b0:4004:c08::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,5111,1603696,2780,1271290,2331,332406
2607:f8b0:4004:c08::8a,"None","None","None","None","GOOGLE, US","US",None,None,None,None,67,25589,31,8904,36,16685
2607:f8b0:4004:c08::8b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,121,42463,56,14250,65,28213
2607:f8b0:4004:c08::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,7956,775762,3956,420713,4000,355049
2607:f8b0:4004:c08::be,"None","None","None","None","GOOGLE, US","US",None,None,None,None,720,89149,363,38257,357,50892
2607:f8b0:4004:c09::5b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4373,1512705,2374,1228490,1999,284215
2607:f8b0:4004:c09::5d,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2249,279186,1139,120909,1110,158277
2607:f8b0:4004:c09::5e,"None","None","None","None","GOOGLE, US","US",None,None,None,None,45,7565,20,3648,25,3917
2607:f8b0:4004:c09::5f,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1302,474437,551,251700,751,222737
2607:f8b0:4004:c09::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,703,88561,359,37913,344,50648
2607:f8b0:4004:c09::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,5758,559892,2864,302404,2894,257488
2607:f8b0:4004:c09::be,"None","None","None","None","GOOGLE, US","US",None,None,None,None,5054,1594651,2737,1266537,2317,328114
2607:f8b0:4004:c0b::5b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,3911,494363,1976,209728,1935,284635
2607:f8b0:4004:c0b::5d,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4743,594936,2395,253340,2348,341596
2607:f8b0:4004:c0b::5f,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1403,520602,624,245550,779,275052
2607:f8b0:4004:c0b::64,"None","None","None","None","GOOGLE, US","US",None,None,None,None,5295,4626740,3397,4038159,1898,588581
2607:f8b0:4004:c0b::65,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4405,3618842,2434,3010701,1971,608141
2607:f8b0:4004:c0b::66,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4966,4119209,3321,3516888,1645,602321
2607:f8b0:4004:c0b::71,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4351,3586172,2604,2969992,1747,616180
2607:f8b0:4004:c0b::88,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4315,530549,2188,229507,2127,301042
2607:f8b0:4004:c0b::8a,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2656,1366921,1388,815708,1268,551213
2607:f8b0:4004:c0b::8b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4393,3200342,2250,2497083,2143,703259
2607:f8b0:4004:c0b::bc,"None","None","None","None","GOOGLE, US","US",None,None,None,None,835,81083,415,43673,420,37410
2607:f8b0:4004:c0b::be,"None","None","None","None","GOOGLE, US","US",None,None,None,None,2237,280906,1131,120262,1106,160644
2607:f8b0:4004:c17::5b,"None","None","None","None","GOOGLE, US","US",None,None,None,None,1430,177709,723,76290,707,101419
2607:f8b0:4004:c17::5d,"None","None","None","None","GOOGLE, US","US",None,None,None,None,4010,503383,2031,214850,1979,288533
2607:f8b0:4004:c17::5e,"None","None","None","None","GOOGLE, US","US",None,None,None,None,31,11585,15,7790,16,3795
