IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
18.204.83.38,Time,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,830,74700,415,37350,415,37350
18.204.96.150,Time,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,850,76500,425,38250,425,38250
18.234.8.250,Time,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,924,83160,462,41580,462,41580
209.54.177.114,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,162,48714,72,36810,90,11904
209.54.177.117,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,160,48606,71,36756,89,11850
209.54.177.153,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,54,16267,24,12299,30,3968
209.54.177.154,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,108,32505,48,24569,60,7936
209.54.177.157,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,55,16321,25,12353,30,3968
209.54.178.134,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,54,16238,24,12270,30,3968
209.54.178.164,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,162,48714,72,36810,90,11904
209.54.178.166,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,187,56725,83,42891,104,13834
209.54.179.88,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,55,16321,25,12353,30,3968
209.54.179.93,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,108,32476,48,24540,60,7936
209.54.180.25,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,135,40595,60,30675,75,9920
209.54.180.27,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,187,56725,83,42891,104,13834
209.54.180.44,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,108,32476,48,24540,60,7936
209.54.181.4,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,54,16238,24,12270,30,3968
209.54.181.98,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,81,24357,36,18405,45,5952
35.153.21.233,Time,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,764,68760,382,34380,382,34380
35.168.46.68,Time,None,None,None,None,"AMAZON-AES, US",US,ack.ntp-fireos.com,ack.ntp-fireos.com,None,None,726,65340,363,32670,363,32670
44.215.114.101,First,None,None,None,None,"AMAZON-AES, US",US,softwareupdates.amazon.com,softwareupdates.amazon.com,None,None,26,7922,11,5728,15,2194
44.215.139.77,First,None,None,None,None,"AMAZON-AES, US",US,softwareupdates.amazon.com,softwareupdates.amazon.com,None,None,52,15873,22,11485,30,4388
44.215.142.74,First,None,None,None,None,"AMAZON-AES, US",US,softwareupdates.amazon.com,softwareupdates.amazon.com,None,None,78,23723,33,17141,45,6582
52.119.196.31,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,81,24357,36,18405,45,5952
52.119.198.101,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,108,32476,48,24540,60,7936
52.119.198.106,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,136,40649,61,30729,75,9920
52.119.198.109,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,162,48743,72,36839,90,11904
52.119.198.118,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,190,56887,84,42945,106,13942
52.119.198.186,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,106,32368,47,24486,59,7882
52.119.198.189,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,52,16130,23,12216,29,3914
52.119.198.2,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,27,8119,12,6135,15,1984
52.2.121.24,Support,None,None,None,None,"AMAZON-AES, US",US,None,None,None,None,6816,716843,2539,205992,4277,510851
52.46.128.81,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,154,48282,68,36594,86,11688
52.46.131.169,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,76,24087,34,18297,42,5790
52.46.131.184,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,161,48660,71,36756,90,11904
52.46.131.209,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,106,32368,47,24486,59,7882
52.46.143.123,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,132,40433,58,30567,74,9866
52.46.146.126,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,108,32476,48,24540,60,7936
52.46.149.20,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,53,16184,24,12270,29,3914
52.46.149.29,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,108,32476,48,24540,60,7936
52.46.149.57,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,160,48606,71,36756,89,11850
52.46.155.112,First,None,None,None,None,"AMAZON-02, US",US,api.amazon.com,api.amazon.com,None,None,108,32476,48,24540,60,7936
