IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
1.12.218.103,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,84,7197,30,2623,54,4574
1.12.231.205,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
1.12.251.126,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
1.12.53.79,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,706,59550,236,21410,470,38140
1.14.243.105,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,gslb.hpplay.cn,gslb.hpplay.cn,None,None,68,7986,30,4266,38,3720
1.14.243.123,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,sdkauth.hpplay.cn,sdkauth.hpplay.cn,None,None,75,19446,30,11170,45,8276
1.14.243.233,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,sdkauth.hpplay.cn,sdkauth.hpplay.cn,None,None,62,13081,24,6015,38,7066
1.14.243.65,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,gslb.hpplay.cn,gslb.hpplay.cn,None,None,127,14766,55,7820,72,6946
1.14.243.73,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,sdkauth.hpplay.cn,sdkauth.hpplay.cn,None,None,41,8504,16,3811,25,4693
101.226.26.145,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,11,1658,5,1032,6,626
101.226.26.146,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,10,1602,4,964,6,638
101.226.26.196,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,11,1657,5,1031,6,626
101.226.28.234,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,12,1699,5,1019,7,680
101.226.28.235,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,24,3419,11,2113,13,1306
101.226.28.236,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,11,1656,5,1030,6,626
101.226.28.237,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,10,1591,4,965,6,626
101.226.28.239,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,26,3810,12,2168,14,1642
101.226.28.240,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,12,1699,5,1019,7,680
101.226.28.241,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,11,1657,5,1031,6,626
101.33.212.175,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,43,3637,17,1431,26,2206
101.33.227.204,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
101.33.239.106,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,754,63598,252,22866,502,40732
101.33.241.86,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,394,33238,132,11946,262,21292
101.33.244.212,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,235,19829,79,7123,156,12706
106.52.178.223,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
114.132.172.71,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,572,48286,191,17340,381,30946
114.132.173.132,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,39,3318,15,1274,24,2044
