IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
107.22.14.153,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,1064,684959,435,96278,629,588681
107.22.28.41,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,305,196951,121,26394,184,170557
107.22.99.156,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,645,455361,271,61441,374,393920
108.138.104.73,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,36,24293,13,21714,23,2579
108.138.125.14,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,240,32322,120,19914,120,12408
108.138.125.193,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,190,25584,95,15761,95,9823
108.138.125.194,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,330,44442,165,27381,165,17061
108.138.125.198,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,310,41742,155,25715,155,16027
108.138.61.102,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,22,2822,11,1722,11,1100
108.138.61.34,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,54,6985,27,4268,27,2717
108.138.61.8,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,20,2688,10,1654,10,1034
108.138.74.73,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,15631,6011585,6350,4781238,9281,1230347
