Device,PacketsOverall,BytesOverall,TxPacketsOverall,TxBytesOverall,RxPacketsOverall,RxBytesOverall,PacketsPctFirst,BytesPctFirst,TxPacketsPctFirst,TxBytesPctFirst,RxPacketsPctFirst,RxBytesPctFirst,PacketsPctSupport,BytesPctSupport,TxPacketsPctSupport,TxBytesPctSupport,RxPacketsPctSupport,RxBytesPctSupport,PacketsPctThird,BytesPctThird,TxPacketsPctThird,TxBytesPctThird,RxPacketsPctThird,RxBytesPctThird,PacketsPctLocal,BytesPctLocal,TxPacketsPctLocal,TxBytesPctLocal,RxPacketsPctLocal,RxBytesPctLocal
Echo Dot 3 (FR),1776000,190816933,905465,111367922,870535,79449011,0.08367792792792793,0.24491367335832823,0.08059836658512477,0.18661922236458717,0.08688105590240484,0.32662811875656955,0.004318693693693694,0.004129743558974402,0.004197843097193155,0.003600354507826769,0.0044443933902715,0.004871816466035053,0.0,0.0,0.0,0.0,0.0,0.0,0.9120033783783784,0.7509565830826974,0.9152037903176821,0.809780423127586,0.9086745507073236,0.6685000647773954
Echo Show 5 (FR),1848885,291159361,901004,168036695,947881,123122666,0.10459601327286445,0.3794166727821607,0.10381529937713928,0.3953224919116625,0.10533811733751389,0.3577085554661398,0.013765593857919773,0.12036419121005008,0.011853443491926784,0.20090315392123131,0.015583179745136785,0.010445347244186541,0.0,0.0,0.0,0.0,0.0,0.0,0.8816383928692157,0.5002191360077892,0.884331257130934,0.40377435416710616,0.8790787029173494,0.6318460972896737
Google Speaker (FR),1377678,209256432,640238,113584733,737440,95671699,0.14458966463861658,0.326447160295651,0.1452834727085865,0.33702922029142773,0.1439873074419614,0.31388377455280686,0.0005342322371410446,0.00031654940957800525,0.0005747862513627744,0.00029158848311066596,0.0004990236493816446,0.00034618388035525534,0.02872949992668824,0.06066045797818057,0.031992790181151386,0.057728480111847426,0.02589634410935127,0.06414140298689584,0.8261466031975542,0.6125758323165904,0.8221489508588994,0.6049507111136142,0.8296173247993057,0.621628638579942
Maxcio Power Strip (FR),41462,4040211,19672,1997657,21790,2042554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nest Camera (FR),85728,9198049,42972,3739101,42756,5458948,0.9948558230683091,0.9956849544941542,0.9948803872288933,0.9947046094769839,0.9948311348114884,0.9963564408380515,0.00514417693169093,0.004315045505845859,0.005119612771106767,0.005295390523016094,0.0051688651885115535,0.0036435591619484193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nest Mini (FR),1362560,243103401,626154,146255409,736406,96847992,0.16740327031470173,0.4753665951386669,0.17316347096720616,0.5737153625545569,0.16250546573493427,0.3268447837307768,0.0006546500704556129,0.0004322646230687657,0.000699508427639207,0.00041807000792702307,0.0006165077416533815,0.0004537006817859476,0.037284963597933304,0.08493232474357691,0.04127099723071321,0.08509031621524507,0.033895704271828316,0.08469373324745855,0.7946571160169094,0.4392688154946874,0.7848660233744414,0.340776251222271,0.8029823222515841,0.5880077823399787
Nest Thermostat (FR),109308,43772491,50068,13485837,59240,30286654,0.9968895231822007,0.9993174251837759,0.9969841016217944,0.9989927210302186,0.9968095881161377,0.9994620072590389,0.0031104768177992463,0.0006825748162241897,0.0030158983782056403,0.0010072789697814085,0.0031904118838622553,0.0005379927409610847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sony TV (FR),188528,66424481,59498,30655021,129030,35769460,0.006285538487651701,0.005497988008366975,0.009395273790715654,0.00825910378596707,0.0048515849027357975,0.003131665951904222,0.6024144954595604,0.5948779938528989,0.926888298766345,0.871110510738192,0.4527939238936681,0.3581421413686424,0.030382754816260713,0.06986348903501406,0.040471948636928975,0.11692534805309708,0.02573045028287995,0.02953069462049469,0.3609172112365272,0.32976052910372006,0.023244478806010285,0.003705037422743896,0.5166240409207161,0.6091954980589587
TP-Link Plug (FR),44308,16079468,14143,923602,30165,15155866,0.0,0.0,0.0,0.0,0.0,0.0,0.12413108242303873,0.03880302507520771,0.14056423672488158,0.27730559266870364,0.11642632189623736,0.024268623119259567,0.0,0.0,0.0,0.0,0.0,0.0,0.8758689175769613,0.9611969749247923,0.8594357632751184,0.7226944073312964,0.8835736781037626,0.9757313768807404
TP-Link Light (FR),64342,25911107,20635,1517427,43707,24393680,0.29399148301265116,0.06952408478726903,0.3052580566997819,0.4703791352071632,0.2886722950557119,0.04458859835826329,0.005859314289266731,0.0013094770516751755,0.009062272837412164,0.011091143099470353,0.004347129750383234,0.0007010012429448939,0.0,0.0,0.0,0.0,0.0,0.0,0.7001492026980821,0.9291664381610558,0.6856796704628059,0.5185297216933664,0.7069805751939049,0.9547104003987918
