MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
64:B7:08:A9:2B:20,ALL,ip,108.181.220.94,1,90,1,90,0,0
64:B7:08:A9:2B:20,ALL,ip,142.202.190.19,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,159.203.82.102,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,167.248.62.201,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,173.255.255.133,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,198.199.14.18,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,198.71.50.75,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,208.76.2.12,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,209.54.177.114,57,17118,31,3956,26,13162
64:B7:08:A9:2B:20,ALL,ip,209.54.177.117,84,25596,45,5853,39,19743
64:B7:08:A9:2B:20,ALL,ip,209.54.177.153,141,42743,76,9809,65,32934
64:B7:08:A9:2B:20,ALL,ip,209.54.177.154,139,42606,74,9701,65,32905
64:B7:08:A9:2B:20,ALL,ip,209.54.177.157,85,25650,45,5853,40,19797
64:B7:08:A9:2B:20,ALL,ip,209.54.178.134,28,8532,15,1951,13,6581
64:B7:08:A9:2B:20,ALL,ip,209.54.178.164,136,42444,73,9647,63,32797
64:B7:08:A9:2B:20,ALL,ip,209.54.178.166,29,8586,16,2005,13,6581
64:B7:08:A9:2B:20,ALL,ip,209.54.179.88,84,25625,45,5853,39,19772
64:B7:08:A9:2B:20,ALL,ip,209.54.179.93,28,8532,15,1951,13,6581
64:B7:08:A9:2B:20,ALL,ip,209.54.180.25,57,17118,31,3956,26,13162
64:B7:08:A9:2B:20,ALL,ip,209.54.180.27,166,51084,89,11652,77,39432
64:B7:08:A9:2B:20,ALL,ip,209.54.180.44,84,25596,45,5853,39,19743
64:B7:08:A9:2B:20,ALL,ip,209.54.181.4,56,17064,30,3902,26,13162
64:B7:08:A9:2B:20,ALL,ip,216.31.16.12,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,3.86.4.106,273,24570,138,12420,135,12150
64:B7:08:A9:2B:20,ALL,ip,3.87.127.143,288,25920,146,13140,142,12780
64:B7:08:A9:2B:20,ALL,ip,3.94.91.31,302,27180,152,13680,150,13500
64:B7:08:A9:2B:20,ALL,ip,44.201.148.133,259,23310,130,11700,129,11610
64:B7:08:A9:2B:20,ALL,ip,44.215.134.182,80,23559,44,6429,36,17130
64:B7:08:A9:2B:20,ALL,ip,44.215.138.245,26,7817,14,2107,12,5710
64:B7:08:A9:2B:20,ALL,ip,5.161.196.15,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,5.161.44.72,3,270,2,180,1,90
64:B7:08:A9:2B:20,ALL,ip,50.205.57.38,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,51.81.226.229,1,90,1,90,0,0
64:B7:08:A9:2B:20,ALL,ip,52.119.196.31,140,42660,75,9755,65,32905
64:B7:08:A9:2B:20,ALL,ip,52.119.198.101,198,59832,106,13711,92,46121
64:B7:08:A9:2B:20,ALL,ip,52.119.198.106,166,51084,89,11652,77,39432
64:B7:08:A9:2B:20,ALL,ip,52.119.198.109,56,17064,30,3902,26,13162
64:B7:08:A9:2B:20,ALL,ip,52.119.198.118,57,17118,30,3902,27,13216
64:B7:08:A9:2B:20,ALL,ip,52.119.198.186,83,25542,44,5799,39,19743
64:B7:08:A9:2B:20,ALL,ip,52.119.198.189,58,17172,31,3956,27,13216
64:B7:08:A9:2B:20,ALL,ip,52.119.198.2,57,17118,31,3956,26,13162
64:B7:08:A9:2B:20,ALL,ip,52.207.222.50,286,25740,143,12870,143,12870
64:B7:08:A9:2B:20,ALL,ip,52.46.128.81,83,25542,45,5853,38,19689
64:B7:08:A9:2B:20,ALL,ip,52.46.131.169,57,17118,31,3956,26,13162
64:B7:08:A9:2B:20,ALL,ip,52.46.131.184,138,42552,74,9701,64,32851
64:B7:08:A9:2B:20,ALL,ip,52.46.131.209,113,34182,61,7858,52,26324
64:B7:08:A9:2B:20,ALL,ip,52.46.143.123,28,8532,15,1951,13,6581
64:B7:08:A9:2B:20,ALL,ip,52.46.146.126,28,8532,15,1951,13,6581
64:B7:08:A9:2B:20,ALL,ip,52.46.149.20,28,8532,15,1951,13,6581
64:B7:08:A9:2B:20,ALL,ip,52.46.149.29,111,34074,59,7750,52,26324
64:B7:08:A9:2B:20,ALL,ip,52.46.149.57,142,42768,75,9755,67,33013
64:B7:08:A9:2B:20,ALL,ip,52.46.155.112,82,25488,44,5799,38,19689
64:B7:08:A9:2B:20,ALL,ip,52.46.158.193,85,25650,45,5853,40,19797
64:B7:08:A9:2B:20,ALL,ip,52.94.240.240,169,51246,91,11760,78,39486
64:B7:08:A9:2B:20,ALL,ip,52.94.241.146,28,8532,15,1951,13,6581
64:B7:08:A9:2B:20,ALL,ip,52.94.242.236,113,34182,60,7804,53,26378
64:B7:08:A9:2B:20,ALL,ip,54.161.254.100,299,26910,150,13500,149,13410
64:B7:08:A9:2B:20,ALL,ip,54.166.46.86,4541,447704,2886,312688,1655,135016
64:B7:08:A9:2B:20,ALL,ip,54.197.201.248,277,24930,139,12510,138,12420
64:B7:08:A9:2B:20,ALL,ip,54.210.225.137,273,24570,137,12330,136,12240
64:B7:08:A9:2B:20,ALL,ip,54.239.27.82,56,17064,30,3902,26,13162
64:B7:08:A9:2B:20,ALL,ip,54.81.127.33,266,23940,133,11970,133,11970
64:B7:08:A9:2B:20,ALL,ip,54.90.191.9,259,23310,130,11700,129,11610
64:B7:08:A9:2B:20,ALL,ip,69.89.207.99,2,180,1,90,1,90
64:B7:08:A9:2B:20,ALL,ip,72.21.207.143,85,25650,45,5853,40,19797
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.114,57,17118,31,3956,26,13162
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.117,84,25596,45,5853,39,19743
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.153,141,42743,76,9809,65,32934
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.154,139,42606,74,9701,65,32905
64:B7:08:A9:2B:20,ALL,tcp,209.54.177.157,85,25650,45,5853,40,19797
64:B7:08:A9:2B:20,ALL,tcp,209.54.178.134,28,8532,15,1951,13,6581
64:B7:08:A9:2B:20,ALL,tcp,209.54.178.164,136,42444,73,9647,63,32797
64:B7:08:A9:2B:20,ALL,tcp,209.54.178.166,29,8586,16,2005,13,6581
64:B7:08:A9:2B:20,ALL,tcp,209.54.179.88,84,25625,45,5853,39,19772
64:B7:08:A9:2B:20,ALL,tcp,209.54.179.93,28,8532,15,1951,13,6581
64:B7:08:A9:2B:20,ALL,tcp,209.54.180.25,57,17118,31,3956,26,13162
64:B7:08:A9:2B:20,ALL,tcp,209.54.180.27,166,51084,89,11652,77,39432
64:B7:08:A9:2B:20,ALL,tcp,209.54.180.44,84,25596,45,5853,39,19743
